formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,photos,rating,user_ratings_total,permanently_closed,opening_hours,plus_code,url
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,nostalgiabanua,ChIJnwGDXjMj5C0RfcAYHLsg0Sk,ChIJnwGDXjMj5C0RfcAYHLsg0Sk,"['point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJnwGDXjMj5C0RfcAYHLsg0Sk
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perkebunan trans,ChIJ9XVerGvH_i0RiyH8h8izy8Q,ChIJ9XVerGvH_i0RiyH8h8izy8Q,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9XVerGvH_i0RiyH8h8izy8Q
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batang serangan,ChIJqYHjCADH_i0RbIAWZTZhPVs,ChIJqYHjCADH_i0RbIAWZTZhPVs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqYHjCADH_i0RbIAWZTZhPVs
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Laut pangandaran,ChIJQ6TTzSfH_i0R-77Ci1Qyc8g,ChIJQ6TTzSfH_i0R-77Ci1Qyc8g,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107331284920648110132"">A Google User</a>'], 'photo_reference': 'AUGGfZk0qEIFVPy65OyyiWv4TQaZxoDZevgSBu_uguaN236sU1xFTRmpNgjJsVnA9CVn6hzDAH9CNuqigWSkgGYjJW8emg0NxmqYKBSB-P2UbAxRkFCMsLmvmoyPEvYcrh180DizsUlXaWdt2b1KghWEpnWTLyr8szshOjYhNDo4b0TroA5F', 'width': 2304}]",3.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ6TTzSfH_i0R-77Ci1Qyc8g
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pokdakan RESTU IBU,ChIJl-SNnFDH_i0RE2k-8a1iXIM,ChIJl-SNnFDH_i0RE2k-8a1iXIM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJl-SNnFDH_i0RE2k-8a1iXIM
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Romo laci,ChIJ1biSSQDH_i0Rkw-sASJfXIQ,ChIJ1biSSQDH_i0Rkw-sASJfXIQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,2.0,4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1biSSQDH_i0Rkw-sASJfXIQ
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cicalengka,ChIJI_w9LRTH_i0RpqutRLinGkU,ChIJI_w9LRTH_i0RpqutRLinGkU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJI_w9LRTH_i0RpqutRLinGkU
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah Bengkok,ChIJo4prdQDH_i0R4PgCxWdjZoE,ChIJo4prdQDH_i0R4PgCxWdjZoE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJo4prdQDH_i0R4PgCxWdjZoE
"6W39+8C9, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.7967120999999999, 'lng': 113.9186012}, 'viewport': {'northeast': {'lat': -0.7953622701072778, 'lng': 113.9199510298927}, 'southwest': {'lat': -0.7980619298927223, 'lng': 113.9172513701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WATUWULA,ChIJ_w2MPwDH_i0Rn2B_VJ0TbB0,ChIJ_w2MPwDH_i0Rn2B_VJ0TbB0,"['point_of_interest', 'establishment']",OPERATIONAL,,1.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_w2MPwDH_i0Rn2B_VJ0TbB0
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Ruteng Puu,ChIJCXjsMc3H_i0R5Be1MrIPYbI,ChIJCXjsMc3H_i0R5Be1MrIPYbI,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,5.0,2.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJCXjsMc3H_i0R5Be1MrIPYbI
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai kelapa doyong,ChIJod7zaADH_i0R-ygYwDKNPi4,ChIJod7zaADH_i0R-ygYwDKNPi4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJod7zaADH_i0R-ygYwDKNPi4
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,巴淡岛,ChIJsTbCudzH_i0RCPB1snA0boY,ChIJsTbCudzH_i0RCPB1snA0boY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJsTbCudzH_i0RCPB1snA0boY
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,pantai nggelu,ChIJpWQllsDH_i0RU-TNFpzAW9o,ChIJpWQllsDH_i0RU-TNFpzAW9o,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJpWQllsDH_i0RU-TNFpzAW9o
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bumi Suga Damai,ChIJ0Xuhhg_H_i0RGy-960P1YyE,ChIJ0Xuhhg_H_i0RGy-960P1YyE,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ0Xuhhg_H_i0RGy-960P1YyE
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,باندونج,ChIJbXqEowrH_i0R5zU2eKuaEoI,ChIJbXqEowrH_i0R5zU2eKuaEoI,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJbXqEowrH_i0R5zU2eKuaEoI
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Port of Larantuka,ChIJWUhfqq7H_i0Rp87VbtfuJtM,ChIJWUhfqq7H_i0Rp87VbtfuJtM,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_PERMANENTLY,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113500878199070586662"">Boyke Frenky</a>'], 'photo_reference': 'AUGGfZlIEEXB8tqHB3fc_VvpC79LIknNmCB6fmX-ZrR_gdln-8y_HnDqRqPGm8IK59OKnU10BqTI50cHFTdjzZVeB4wgFrYtupF3ZsUUcGck-5y8k022N5pps6EJMnFYAWuTTDNyAk-r3lQB8bJyyBCdsFSF0iQHwn5J2YkfVQuSee36olw', 'width': 1080}]",0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJWUhfqq7H_i0Rp87VbtfuJtM
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Solok muaropingai,ChIJ_Zi3ORzH_i0RZ6_Evi-U1Tc,ChIJ_Zi3ORzH_i0RZ6_Evi-U1Tc,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ_Zi3ORzH_i0RZ6_Evi-U1Tc
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Boneoge,ChIJj8hC1C3H_i0RkP364rNxD0g,ChIJj8hC1C3H_i0RkP364rNxD0g,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJj8hC1C3H_i0RkP364rNxD0g
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tebing tinggi,ChIJR_4-QYbH_i0RMY3b2cLAJT0,ChIJR_4-QYbH_i0RMY3b2cLAJT0,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,,0.0,0.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJR_4-QYbH_i0RMY3b2cLAJT0
