formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,photos,business_status,opening_hours,rating,user_ratings_total,plus_code,permanently_closed,url
"WQR8+9RV, Bedegung, Tanjung Agung, Muara Enim Regency, South Sumatra 31356, Indonesia","{'location': {'lat': -4.0590039, 'lng': 103.7670503}, 'viewport': {'northeast': {'lat': -4.057539470107278, 'lng': 103.7686546298927}, 'southwest': {'lat': -4.060239129892722, 'lng': 103.7659549701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,"Curup Quiet, Bedegung",ChIJbUulCPHEOS4RX2WMNwEWSp4,ChIJbUulCPHEOS4RX2WMNwEWSp4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","[{'height': 2464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101992432715858021357"">Ari Kurniawan</a>'], 'photo_reference': 'AUGGfZkHq78bcEtw27ezKAl_Dm4BkU8eRkESVOqwZ86n7oEF1qfN4xnIeEzM6hlvBeNcKNV_iKvD75l8HxvhbNmUe0iTxtjOIZ0n-mhCHaXmPgw9wWvM3hsjCTK6K_RM1Gmh1Rb6-KrrJMbWvg9FWgUU6m-Y7Z1TsJUPsDyxDTPwt5ua364K', 'width': 3280}]",OPERATIONAL,{'open_now': True},4.4,450.0,,,https://www.google.com/maps/place/?q=place_id:ChIJbUulCPHEOS4RX2WMNwEWSp4
"Rekimai Jaya, Semende Darat Tengah, Muara Enim Regency, South Sumatra 31462, Indonesia","{'location': {'lat': -4.1189693, 'lng': 103.4935559}, 'viewport': {'northeast': {'lat': -4.117619470107279, 'lng': 103.4949057298927}, 'southwest': {'lat': -4.120319129892723, 'lng': 103.4922060701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cughup Nunum,ChIJvZLNFwl9Ny4R0Reqz5ZPMoY,ChIJvZLNFwl9Ny4R0Reqz5ZPMoY,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113167427324424709034"">A Google User</a>'], 'photo_reference': 'AUGGfZliMBg6CCApG_6rREau4GxZN8-Tx8pnHQjbuMX9iXI3HpRsxPMzp4YeIGZ7DYvoYYQp7gQVLwi44FlVZcRABo9gHW5dtQNbRgfxag_DGBU3UlUEqEKzklUMtu_8mUX-6rxS9Muy-U5wY-HZWLmRvjxfM-PPSUycesDKa74YQ6-yG2YA', 'width': 960}]",OPERATIONAL,{'open_now': True},5.0,3.0,"{'compound_code': 'VFJV+CC Rekimai Jaya, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P75VFJV+CC'}",,https://www.google.com/maps/place/?q=place_id:ChIJvZLNFwl9Ny4R0Reqz5ZPMoY
"QH4M+VG, Tanjung Agung, Semendo Darat Ulu, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.2428127, 'lng': 103.5837726}, 'viewport': {'northeast': {'lat': -4.241521520107277, 'lng': 103.5852024798927}, 'southwest': {'lat': -4.244221179892721, 'lng': 103.5825028201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata Puncak Liku 9,ChIJAVh5-bvVOS4Rh7RvhW1uiTg,ChIJAVh5-bvVOS4Rh7RvhW1uiTg,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109001673496453481531"">Serli Mardian</a>'], 'photo_reference': 'AUGGfZlj-sHwtTBkdEAfqcrZSDIKEj9Mah4o_bASvXxTw_1Q1qpld2Bkb-L5bFFaYW4gzt7KaplGldBwY9BST8jfQG3ymiyuHtmyM_g7ZC3Sf-f-wuUlQnV53d4OJBPgEdURq4e-_Vj02-d_eMR-LW6hzY2AhTIopHPWii5XNPNQFo01rn6l', 'width': 8000}]",OPERATIONAL,{'open_now': True},5.0,8.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAVh5-bvVOS4Rh7RvhW1uiTg
"QH3H+Q5P, Tanjung Tiga, Semendo Darat Ulu, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.24553, 'lng': 103.5779445}, 'viewport': {'northeast': {'lat': -4.244180170107278, 'lng': 103.5792943298927}, 'southwest': {'lat': -4.246879829892722, 'lng': 103.5765946701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cughup Luang Aik Datae Mayan,ChIJCQCFJBbVOS4R3KCdbCQzflI,ChIJCQCFJBbVOS4R3KCdbCQzflI,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113139734887632851511"">Mariani Ani</a>'], 'photo_reference': 'AUGGfZnN8-t6UlDDvvVpFrxEOv80cVcySNtmvzgkXOt-OLey-2qlfmqLTC0mR4etGu9SihGJM5pu2wtf8H9-0hPR_MaTC8LywqqzA1faI5RBxPEGbw6HmIizzjAFFVyoqgGvgc-QJL3Mm6x1smEqtWnoOCNTa2-gFkgj0Vo5_RqhgD8gSfc', 'width': 2448}]",OPERATIONAL,{'open_now': True},5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJCQCFJBbVOS4R3KCdbCQzflI
"Jl. Kapten Idham No.62, Pulau Panggung, Kec. Semendo Darat Laut, Kabupaten Muara Enim, Sumatera Selatan 31356, Indonesia","{'location': {'lat': -4.1200116, 'lng': 103.6121925}, 'viewport': {'northeast': {'lat': -4.118644920107278, 'lng': 103.6135112298927}, 'southwest': {'lat': -4.121344579892723, 'lng': 103.6108115701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Rumah Adat Semende,ChIJhdImbPLXOS4Rzkc4co6CQcQ,ChIJhdImbPLXOS4Rzkc4co6CQcQ,"['museum', 'point_of_interest', 'establishment']","[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110527060891459460492"">Siti Zubaidah</a>'], 'photo_reference': 'AUGGfZlxbk2wwOHLCQ9j0UbYMl5gUXzEGYKvGMlm7tqkChxX0DQm9md2LuR1Pa1lfq-gNCCiw6d56jlmKBVFI0LlSTXNtpo045ad6BRS03ZjOMf4xoAT_9wBqY-aaeQ52FporHqz8lihDPS5okeYQLjzNjsriuzB254MtGt23oaOC5cjFj2e', 'width': 4608}]",OPERATIONAL,,4.3,4.0,"{'compound_code': 'VJH6+XV Panggung Island, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P75VJH6+XV'}",,https://www.google.com/maps/place/?q=place_id:ChIJhdImbPLXOS4Rzkc4co6CQcQ
"QFGV+R2G, Segamit, Semendo Darat Ulu, Muara Enim Regency, South Sumatra 31462, Indonesia","{'location': {'lat': -4.2229496, 'lng': 103.4925688}, 'viewport': {'northeast': {'lat': -4.219567399999998, 'lng': 103.4934322}, 'southwest': {'lat': -4.224077000000001, 'lng': 103.4899786}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agrowisata Strawbery Purba,ChIJlwn6XqB_Ny4R7qygvpNnsuU,ChIJlwn6XqB_Ny4R7qygvpNnsuU,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106148016820591616688"">A Google User</a>'], 'photo_reference': 'AUGGfZm6aYcNIq1DXlw3pFi6aMvxyIHGF9mnf6lZO0Y7kF4ZEVAGpGHU2OGnv8Md8CSJRgMMx4wG-9V1tXXticPejQ7GTqFDUXLnKIdA7W-nrnp2tx6IbGj-5c7Wxwx0BmAfgAcsL8K4h69G4NTBzdqCl-Jxeb78TKxhp0rhgJg2DYQLL_2R', 'width': 3264}]",OPERATIONAL,{'open_now': True},4.6,27.0,,,https://www.google.com/maps/place/?q=place_id:ChIJlwn6XqB_Ny4R7qygvpNnsuU
"RFM3+FCQ, Swarna Dwipa, Semende Darat Tengah, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.1662789, 'lng': 103.4536154}, 'viewport': {'northeast': {'lat': -4.1614783, 'lng': 103.4547618298927}, 'southwest': {'lat': -4.1678791, 'lng': 103.4520621701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dangau acha,ChIJsxM21jR9Ny4Rm2yGuqurgKo,ChIJsxM21jR9Ny4Rm2yGuqurgKo,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109975190383523283291"">A Google User</a>'], 'photo_reference': 'AUGGfZmmwPi6W4VeLRR1l4nmgqpzyCqZFa_pJYkVqTs5PVt4H9dcztZFPMsVHxYcPpEgS3M6AMPN7kh1mfr4tU7VWISFzDQcA91TERqRBdpvGwYSGpUnaOR85mehYVvWh--XmBANANue3HP8hI35Sly0SWOWycFDyJGuYLI3XsDqSwrLSTSr', 'width': 1080}]",OPERATIONAL,{'open_now': True},5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJsxM21jR9Ny4Rm2yGuqurgKo
"QCXV+67Q, Swarna Dwipa, Semende Darat Tengah, Muara Enim Regency, South Sumatra 31462, Indonesia","{'location': {'lat': -4.2019093, 'lng': 103.4432403}, 'viewport': {'northeast': {'lat': -4.200249170107279, 'lng': 103.4442522298927}, 'southwest': {'lat': -4.202948829892723, 'lng': 103.4415525701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dedughuk Swarna Dwipa,ChIJB0SStRx5Ny4RZq7okOJ1q_4,ChIJB0SStRx5Ny4RZq7okOJ1q_4,"['tourist_attraction', 'point_of_interest', 'establishment']",,OPERATIONAL,{'open_now': True},4.8,4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJB0SStRx5Ny4RZq7okOJ1q_4
"Jl. Kapten Idham No.62, Pulau Panggung, Kec. Semendo Darat Laut, Kabupaten Muara Enim, Sumatera Selatan 31356, Indonesia","{'location': {'lat': -4.1198464, 'lng': 103.6119171}, 'viewport': {'northeast': {'lat': -4.118502120107278, 'lng': 103.6132252298927}, 'southwest': {'lat': -4.121201779892722, 'lng': 103.6105255701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Nahdatul Ulama MWCNU Kecamatan Semende Darat Laut Kab. Muara Enim,ChIJd5SUawXXOS4ROQCSYCvzh4A,ChIJd5SUawXXOS4ROQCSYCvzh4A,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100855673457322243622"">A Google User</a>'], 'photo_reference': 'AUGGfZlIknX5CadvP1w5Ww7hd7HVaUgjF2iPoKokkBrRDV0vWgxyVjTMXwjpK7863pM7oRvT5O9Gtb__ymeyIKGuyliunRhV-cTal7QMFYnNTosDM83DszIPm9h8N3FKT1rubfp5HiX_UB6MsLrGkz87Ml7m7D0WjNCZgOibFCXxwuhV1kbC', 'width': 3264}]",OPERATIONAL,{'open_now': True},5.0,3.0,"{'compound_code': 'VJJ6+3Q Panggung Island, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P75VJJ6+3Q'}",,https://www.google.com/maps/place/?q=place_id:ChIJd5SUawXXOS4ROQCSYCvzh4A
"3P92+CFQ, Muara Emil, Tanjung Agung, Muara Enim Regency, South Sumatra 31355, Indonesia","{'location': {'lat': -3.9314136, 'lng': 103.7012366}, 'viewport': {'northeast': {'lat': -3.930063770107279, 'lng': 103.7025864298927}, 'southwest': {'lat': -3.932763429892723, 'lng': 103.6998867701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curup Napal Carik,ChIJu2Qoia_nOS4Rkm7TBYqVeTA,ChIJu2Qoia_nOS4Rkm7TBYqVeTA,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105902132771729798337"">MaticSupermoto Vlog</a>'], 'photo_reference': 'AUGGfZnTOgYave9wIqDiUxAifgCfBcTec-Da5Rg4I67U2WmqR7vjCL9PCqRKsnfF2uX7aSzwzJya0lWkSNDcf3aCiUfKrEmCybGvGiGdSIhbRBkQguLWtMgeAY4AeiIyJPbsrw1rf5cW-17V2bQc98TTcURMpPr5FtVHgA2uTmFeFTTqL3j7', 'width': 4000}]",OPERATIONAL,{'open_now': True},3.9,18.0,,,https://www.google.com/maps/place/?q=place_id:ChIJu2Qoia_nOS4Rkm7TBYqVeTA
"XM44+P4, Karya Nyata, Semendo Darat Laut, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.0431709, 'lng': 103.6552515}, 'viewport': {'northeast': {'lat': -4.041821070107278, 'lng': 103.6566013298927}, 'southwest': {'lat': -4.044520729892722, 'lng': 103.6539016701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lubuk Lesung,ChIJK15y7z7bOS4Rwp0MuHonuqs,ChIJK15y7z7bOS4Rwp0MuHonuqs,"['tourist_attraction', 'point_of_interest', 'establishment']",,OPERATIONAL,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJK15y7z7bOS4Rwp0MuHonuqs
"Padang Bindu, Tanjung Agung, Muara Enim Regency, South Sumatra 31356, Indonesia","{'location': {'lat': -4.0579295, 'lng': 103.6924976}, 'viewport': {'northeast': {'lat': -4.056576170107278, 'lng': 103.6938481298927}, 'southwest': {'lat': -4.059275829892722, 'lng': 103.6911484701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebon Kopi Tepi Bedes,ChIJGfcnylvbOS4RkiPdxDaa1B0,ChIJGfcnylvbOS4RkiPdxDaa1B0,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110798705880017127074"">A Google User</a>'], 'photo_reference': 'AUGGfZn6XrMuwIqgVhiVEM2_6J4nqfVwLFaEisIR3XtT8xqZcNKQ0amSGe8fFY7MnLE4jp7dBWjAVPbDsykeZcr01I0lRpIljF5dqdIYXLjw5FG_92x-SVq51SMd1U1V7tEAwgsozyFXtjkyk-N1tbtHpcZ-BIwa6e_aRUpFNBg6hHK2dcqR', 'width': 3120}]",OPERATIONAL,,1.0,1.0,"{'compound_code': 'WMRR+RX Padang Bindu, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P75WMRR+RX'}",,https://www.google.com/maps/place/?q=place_id:ChIJGfcnylvbOS4RkiPdxDaa1B0
