business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,photos,price_level,url
OPERATIONAL,"VXX2+P3V, Jl. Trikora, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.100637, 'lng': 138.9501825}, 'viewport': {'northeast': {'lat': -4.099215870107279, 'lng': 138.9516732298927}, 'southwest': {'lat': -4.101915529892723, 'lng': 138.9489735701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Belicia Hotel,ChIJxYB9U49sPmgRW-1wVyhWAXA,3.6,ChIJxYB9U49sPmgRW-1wVyhWAXA,"['lodging', 'point_of_interest', 'establishment']",14.0,,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117313019546038783581"">A Google User</a>'], 'photo_reference': 'AUGGfZlgQu8fEoF0-cQQChQ0rL7Ly-UUN5u1cflNjxJaKgpLuJuc25Sp_S_YVqbOV6yWrD7DmMGcLyprbF1vQziP6WMiUQIufa5bB_WOVYMXm8x2RQf1LFNXUqJtIhnZABJUGawaScwFaKhSijcKqgILeHeA6mBFx8bPkuiYopKuv52F2amR', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJxYB9U49sPmgRW-1wVyhWAXA
OPERATIONAL,"Jl. Bayangkara, Hurekama, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0989887, 'lng': 138.9395079}, 'viewport': {'northeast': {'lat': -4.097602470107278, 'lng': 138.9408406798927}, 'southwest': {'lat': -4.100302129892722, 'lng': 138.9381410201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Sartika,ChIJb7dgfr5tPmgRC64oNk4r9m8,4.0,ChIJb7dgfr5tPmgRC64oNk4r9m8,"['lodging', 'point_of_interest', 'establishment']",274.0,"{'compound_code': 'WW2Q+CR Hurekama, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW2Q+CR'}",,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117794416794904326125"">A Google User</a>'], 'photo_reference': 'AUGGfZl1J__K-QgzOOQ4OB3CH1983KtHmN8k6g65VI90lDqllYUUttLDe4W7WHmEUdhFdk3aukFFNad--Za8Cpnf_NFYXC1jh3IhONSCosrCOUkzS55iYm2QoPgcRA7phJi7ErX34_WNOVyS_eDT4RO5A8gsajM3udf9ue8cq3uP960XelHV', 'width': 1280}]",,https://www.google.com/maps/place/?q=place_id:ChIJb7dgfr5tPmgRC64oNk4r9m8
OPERATIONAL,"Jl. Irian No.40, Hurekama, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0957582, 'lng': 138.9392487}, 'viewport': {'northeast': {'lat': -4.094447220107279, 'lng': 138.9406169798928}, 'southwest': {'lat': -4.097146879892723, 'lng': 138.9379173201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Putri Dani,ChIJ4bU9KFFtPmgREntV6sLgdI8,4.1,ChIJ4bU9KFFtPmgREntV6sLgdI8,"['lodging', 'point_of_interest', 'establishment']",50.0,"{'compound_code': 'WW3Q+MM Hurekama, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW3Q+MM'}",{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115751856670608836834"">Semuel Yigibalom</a>'], 'photo_reference': 'AUGGfZnqB5OmapOehA2xZxNAex2n3RqiLJutb45LIe8xTt-_rtYXrh1zzLBrEDA_2vyK8_MkUtcx6EDYjF9kgrl84IwbUQiLCTq7MotoqQWe_M7CVH4jkThim_N-OX5V_gx-MZxoLXpdoumpb3vJaI6XkJNsL4vNYmjFjn7A3s9SdY45kJZ8', 'width': 3000}]",,https://www.google.com/maps/place/?q=place_id:ChIJ4bU9KFFtPmgREntV6sLgdI8
OPERATIONAL,"Jl Pattimura No 32 Wamena, Kama, Wesaput, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.088417499999999, 'lng': 138.9453802}, 'viewport': {'northeast': {'lat': -4.087020520107278, 'lng': 138.9466996298927}, 'southwest': {'lat': -4.089720179892722, 'lng': 138.9439999701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Mas Budi,ChIJaSFdn8mJFWgR61UiG6z5G2g,3.8,ChIJaSFdn8mJFWgR61UiG6z5G2g,"['lodging', 'point_of_interest', 'establishment']",71.0,"{'compound_code': 'WW6W+J5 Kama, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW6W+J5'}",,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101670126549042304114"">Suryaputraramadhan67 67</a>'], 'photo_reference': 'AUGGfZmbyDTvXNtYZNc4_I-ibNiwfQRA0tu8ukIv7PMMIhY82AA9_9rFMSWOjhkjlxaFF_bxYf3foeHcX7SvPIWMguY5Z8hTUv_-nJhqS0X1MT6VYkIg_Gu1vqBbL28Nm-nJK0MSWl_GQMbn89R-rJ0jnr9RG60z13wkZ_jxvMx2hvSDWhNC', 'width': 4608}]",,https://www.google.com/maps/place/?q=place_id:ChIJaSFdn8mJFWgR61UiG6z5G2g
OPERATIONAL,"Jl. Ambon No.1, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0941263, 'lng': 138.9482536}, 'viewport': {'northeast': {'lat': -4.092841070107278, 'lng': 138.9496371798927}, 'southwest': {'lat': -4.095540729892722, 'lng': 138.9469375201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Baliem Guest House,ChIJK7V5oLBtPmgRbCsMLXmjkEY,5.0,ChIJK7V5oLBtPmgRbCsMLXmjkEY,"['lodging', 'point_of_interest', 'establishment']",2.0,"{'compound_code': 'WW4X+88 Wamena Kota, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW4X+88'}",{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101702020812679019167"">A Google User</a>'], 'photo_reference': 'AUGGfZlPaoWBmMM-Lux_bwr_SXA0P3k4odqFPcrRLfj_ZtvIWXzcSRM1Bg4tzuH2xz44BJmD2kOgmo3eAa9anoUbTG8EZHdB-2sN2kW8m5MqhI4RmZVKmb8jpydfO-CWbfNhLsa7DliUmMWZm1EHO4BuSpsSp7qvJzM44rDIqnXBxwPQGnNE', 'width': 4624}]",,https://www.google.com/maps/place/?q=place_id:ChIJK7V5oLBtPmgRbCsMLXmjkEY
OPERATIONAL,"WX32+74C, JL. Jenderal Gatot Subroto, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.096816, 'lng': 138.9502641}, 'viewport': {'northeast': {'lat': -4.095449020107278, 'lng': 138.9516497798927}, 'southwest': {'lat': -4.098148679892722, 'lng': 138.9489501201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Syahrial Jaya Hotel,ChIJI_wKpppsPmgRUVQLzkDOINs,3.0,ChIJI_wKpppsPmgRUVQLzkDOINs,"['lodging', 'point_of_interest', 'establishment']",4.0,,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105891912755258830153"">A Google User</a>'], 'photo_reference': 'AUGGfZl8nzRiAF0IEkHsTV-z4AyFijqaPsdwU-Rv7XB30f4ZBYVAGh4UBhgaNEx-uixedfx74_cPGnCrVeV4Dz5Xawn035eTt-nN3_sucoyxtyZN7F_GUjcUHFZJTEjSuLFpmBEqcQPJhHVKRTBwyuxMq74ew3x2bU_mj4Z8fnA4UdeqnJEM', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJI_wKpppsPmgRUVQLzkDOINs
OPERATIONAL,"WW2W+63H, Wamena Kota, Wamena, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.0996356, 'lng': 138.9453423}, 'viewport': {'northeast': {'lat': -4.098285620107277, 'lng': 138.9466931798927}, 'southwest': {'lat': -4.100985279892721, 'lng': 138.9439935201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Home sweet home,ChIJ2TzLDQBtPmgRhKXccwMDNsc,0.0,ChIJ2TzLDQBtPmgRhKXccwMDNsc,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2TzLDQBtPmgRhKXccwMDNsc
OPERATIONAL,"WW4P+CX8, Jl. Sosial, Honelama, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0939225, 'lng': 138.9374522}, 'viewport': {'northeast': {'lat': -4.092563170107278, 'lng': 138.9387889798927}, 'southwest': {'lat': -4.095262829892722, 'lng': 138.9360893201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RUMAH MARCO GERAND KERDA,ChIJIUtEl7ZtPmgRFOBeo6QSkqY,0.0,ChIJIUtEl7ZtPmgRFOBeo6QSkqY,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJIUtEl7ZtPmgRFOBeo6QSkqY
OPERATIONAL,"Jl. Ambon No.1, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0951401, 'lng': 138.9486951}, 'viewport': {'northeast': {'lat': -4.093776620107278, 'lng': 138.9500378298927}, 'southwest': {'lat': -4.096476279892722, 'lng': 138.9473381701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Anggrek Wamena,ChIJnZptEoVsPmgRWCQD1wxRFIw,4.1,ChIJnZptEoVsPmgRWCQD1wxRFIw,"['lodging', 'point_of_interest', 'establishment']",32.0,"{'compound_code': 'WW3X+WF Wamena Kota, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW3X+WF'}",,"[{'height': 1004, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106902537800049153516"">Halfish Story</a>'], 'photo_reference': 'AUGGfZk_vhdP8HD-T8dPpbpQFsaXWNfz_w30C0QR1jt4ka0Pc2hl0lOZ5L8Nwhl_Fip4JyIhxcvTyqW8aixf4ZdN2iahoTpkZUgRlunMSgoILrb4PHKdmDboG5BFLe5Y5_YGCp-CS-7wrVklE3sGOCvhc-U043DKMDEqH9a0TjGfkCGv8TkD', 'width': 1339}]",,https://www.google.com/maps/place/?q=place_id:ChIJnZptEoVsPmgRWCQD1wxRFIw
OPERATIONAL,"Jl. Trikora AA No.112, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0976762, 'lng': 138.9492496}, 'viewport': {'northeast': {'lat': -4.096372820107277, 'lng': 138.9505090298927}, 'southwest': {'lat': -4.099072479892721, 'lng': 138.9478093701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tendy Hotel,ChIJhykGwI9sPmgRxXEAVrXbXfA,2.0,ChIJhykGwI9sPmgRxXEAVrXbXfA,"['lodging', 'point_of_interest', 'establishment']",1.0,"{'compound_code': 'WW2X+WM Wamena Kota, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW2X+WM'}",,,,https://www.google.com/maps/place/?q=place_id:ChIJhykGwI9sPmgRxXEAVrXbXfA
OPERATIONAL,"WW8V+4GW, Jl. Gatot Subroto, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0845992, 'lng': 138.9438423}, 'viewport': {'northeast': {'lat': -4.083254070107277, 'lng': 138.9451750798927}, 'southwest': {'lat': -4.085953729892721, 'lng': 138.9424754201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Maharani Hotel,ChIJS20mZ5BsPmgRD2nEexfZe8g,3.8,ChIJS20mZ5BsPmgRD2nEexfZe8g,"['lodging', 'point_of_interest', 'establishment']",34.0,,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102200900208737442019"">Roy richardo Rumbino</a>'], 'photo_reference': 'AUGGfZmOn-qABwAqKXiXEM-RZKP2fgPT9cQvcOQ9EPsiygrmVQ4JZMviMht7Q7e71JZ1Vn2AvJ1LIvm1y7WEDTYOe-ssaovv18NHACxVg9ThDgjlpILqStfOhaK6bPChW46JZr-b_1bobjhDYp8gV_vynqX_sVda0inwbd-s6xTMk6UsUtri', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJS20mZ5BsPmgRD2nEexfZe8g
OPERATIONAL,"Jl. Irian No.18, Honelama, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.097402, 'lng': 138.9358054}, 'viewport': {'northeast': {'lat': -4.096086670107278, 'lng': 138.9371723298927}, 'southwest': {'lat': -4.098786329892722, 'lng': 138.9344726701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Srikandi Hotel,ChIJo16SJfJsPmgRXsb_8Fq87SY,3.3,ChIJo16SJfJsPmgRXsb_8Fq87SY,"['lodging', 'point_of_interest', 'establishment']",20.0,"{'compound_code': 'WW3P+38 Honelama, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW3P+38'}",,"[{'height': 532, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107200777531885532715"">A Google User</a>'], 'photo_reference': 'AUGGfZmuDgIi9uwqf4zGCmwkr1NLeIOscd-KC_V6YnibOmoFQaIDx5JkniPRouXCafp6JUVV2oe0pVo50OZEBvMakzRUN94rmUOktlNUiajbEsY6eSDMCuxtItA3F1wprbkC7Rw47nrtY2811aKZDH3hLYVSJlbYN1V9ggHOdR4YzAFbDQNi', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJo16SJfJsPmgRXsb_8Fq87SY
