business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,url
OPERATIONAL,"589G+8F8, Lueng Baro, Suka Makmue, Nagan Raya Regency, Aceh 23671, Indonesia","{'location': {'lat': 4.1682785, 'lng': 96.32620419999999}, 'viewport': {'northeast': {'lat': 4.169773729892722, 'lng': 96.32755707989273}, 'southwest': {'lat': 4.167074070107278, 'lng': 96.32485742010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kota Suka Makmue,ChIJ2f_GdsXNPjARx-YMxutivpc,,5.0,ChIJ2f_GdsXNPjARx-YMxutivpc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2f_GdsXNPjARx-YMxutivpc
OPERATIONAL,"87CW+27, Tuwi Meuleusong, Seunagan Timur, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.3200894, 'lng': 96.2957486}, 'viewport': {'northeast': {'lat': 4.321279879892723, 'lng': 96.29739632989273}, 'southwest': {'lat': 4.318580220107279, 'lng': 96.29469667010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jombo Lampoh Amadi,ChIJQ4pyHgDXPjARDBsE1O_bCso,,0.0,ChIJQ4pyHgDXPjARDBsE1O_bCso,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ4pyHgDXPjARDBsE1O_bCso
OPERATIONAL,"882V+J4F, kandeh, jln. krueng meulaboh, Pante Cermin, Kec. Seunagan Tim., Kabupaten Nagan Raya, Aceh 23672, Indonesia","{'location': {'lat': 4.30155, 'lng': 96.34279629999999}, 'viewport': {'northeast': {'lat': 4.302855079892722, 'lng': 96.34412417989272}, 'southwest': {'lat': 4.300155420107278, 'lng': 96.34142452010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Kandeh,ChIJkX3_167VPjARMZRFJeDCu4E,,1.0,ChIJkX3_167VPjARMZRFJeDCu4E,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114258208191533111113"">A Google User</a>'], 'photo_reference': 'AUGGfZksZtHJ0uy6urV4sd-cDMNveU6dGpCOHCYY2LyLPgPVU5katttd0T9qlZhB5hsG8mEpXD-Z0g1KgZUunV8MfxJugejDk2wevc-kxuwDjU7WImNu6jWNHJ9dN7sWonWZ7t8179yAhv-mFmOpRrBI4Mp74nn2Kte7_O8FfoZKNqepqqBV', 'width': 4160}]",,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJkX3_167VPjARMZRFJeDCu4E
OPERATIONAL,"987C+P74, Blang Tengku, Seunagan Timur, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.364258, 'lng': 96.3207144}, 'viewport': {'northeast': {'lat': 4.365648729892722, 'lng': 96.32228452989271}, 'southwest': {'lat': 4.362949070107279, 'lng': 96.31958487010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ladang Kuhadin,ChIJCeu_Yx3XPjARjIUHOnCRkDU,,0.0,ChIJCeu_Yx3XPjARjIUHOnCRkDU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110945264612454959384"">Ahmad dani</a>'], 'photo_reference': 'AUGGfZlTNN7Zag3s0DIGCHBHobkCMOuZ7rJTlx8lNiTzBHBeW3l4jBrjbUu8r309d-utEnjXQh1SzOVHQS-PzB-ykYIEzwnq1SxtCf08-n1ipuUCC39uTR6rG7udJ1tyyPvO9vjkGHWO7x7C6QDxGdkWXDe2c0O0gmoXOEsW-Rl5oIGtx24P', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJCeu_Yx3XPjARjIUHOnCRkDU
OPERATIONAL,"573J+VXX, Macah, Suka Makmue, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.1547376, 'lng': 96.2824698}, 'viewport': {'northeast': {'lat': 4.156075429892721, 'lng': 96.28381937989272}, 'southwest': {'lat': 4.153375770107277, 'lng': 96.28111972010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GAMPONG MACAH,ChIJ64LJELbPPjARaOLcGkxE1R8,,0.0,ChIJ64LJELbPPjARaOLcGkxE1R8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ64LJELbPPjARaOLcGkxE1R8
OPERATIONAL,"26VV+QVV, Kubang Gajah, Kuala Pesisir, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.0444833, 'lng': 96.2446848}, 'viewport': {'northeast': {'lat': 4.0472376, 'lng': 96.2478651}, 'southwest': {'lat': 4.0435652, 'lng': 96.24362470000001}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Seunagan,ChIJaUTFlv23PjARdD53RzvjcRU,,3.6,ChIJaUTFlv23PjARdD53RzvjcRU,"['tourist_attraction', 'point_of_interest', 'establishment']",16,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105839304197333789934"">A Google User</a>'], 'photo_reference': 'AUGGfZnwlcP1p_gxCnPqeY5XdjWWWteycR4FVG07IEDmWqAjrl-1EyPG4i4Jx1Gaq0R9qez7zlSHn9e4Kdy4Ao82G2q9RL3v1RVpPSmmtW5Px88PoRVcq7YReQNpNBJ7antCTggk5H_5bzR07guDSnhmznJE53NzPG5Am9r0eh8Zs2Ok-Ttc', 'width': 720}]",,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJaUTFlv23PjARdD53RzvjcRU
OPERATIONAL,"6FRF+PV2, Blang Baro Rambong, Beutong, Nagan Raya Regency, Aceh 23672, Indonesia","{'location': {'lat': 4.2417714, 'lng': 96.4746279}, 'viewport': {'northeast': {'lat': 4.243034029892722, 'lng': 96.47603537989272}, 'southwest': {'lat': 4.240334370107278, 'lng': 96.47333572010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Krueng Isep,ChIJ37pTecktOTARCj3uNea9lLI,,3.4,ChIJ37pTecktOTARCj3uNea9lLI,"['tourist_attraction', 'point_of_interest', 'establishment']",20,"[{'height': 455, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107662321866621621576"">Lisa Fajar Wati</a>'], 'photo_reference': 'AUGGfZmTRwtA-Q5DribQ--nOTd98QxQ2UTIyRSo5BUHQ86mg_vVdEKe9JqoeOjStebqzaLLuIDZe38HAckUdBxKOduQq3A_mQ7rCKPF7t98f-QqzDFfq4RRqOXHDLreOv4cIrN9cuor8rKMQQKec9cc7Uy6ju2rppogq7CRG-KP5vpUwhCR4', 'width': 720}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ37pTecktOTARCj3uNea9lLI
OPERATIONAL,"48W2+7J, Alue Kambuek, Suka Makmue, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.145738, 'lng': 96.301503}, 'viewport': {'northeast': {'lat': 4.147162929892722, 'lng': 96.30283822989273}, 'southwest': {'lat': 4.144463270107278, 'lng': 96.30013857010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aisal sp,ChIJL3hykSnPPjAR0aPbyj9pHWQ,,0.0,ChIJL3hykSnPPjAR0aPbyj9pHWQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJL3hykSnPPjAR0aPbyj9pHWQ
OPERATIONAL,"79PJ+674, Panton Bayam, Beutong, Nagan Raya Regency, Aceh 23672, Indonesia","{'location': {'lat': 4.2855066, 'lng': 96.38071839999999}, 'viewport': {'northeast': {'lat': 4.28686672989272, 'lng': 96.3820771298927}, 'southwest': {'lat': 4.284167070107276, 'lng': 96.37937747010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan gantung Agoi Panton bayam,ChIJlw75lDLTPjARiHGK7VnHNJ8,,5.0,ChIJlw75lDLTPjARiHGK7VnHNJ8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102663846231760595609"">A Google User</a>'], 'photo_reference': 'AUGGfZnjutue4oq0V9mOJNM3ZYuOo1fHdF29UbhMPtVgCCIJPxUT4Hkyf8DjhhSHkkgs8guneXCdRJf7uGEPCCHbRBmuDZjh1eQrVVkweX70G2brE_cso-P3Fz9b3DHpr9An1_SiHfEw9D_km7V9r9flN5ecBGkRPFyvACcmBEWtN1_NSNGV', 'width': 3120}]",,,https://www.google.com/maps/place/?q=place_id:ChIJlw75lDLTPjARiHGK7VnHNJ8
OPERATIONAL,"7C2V+H5M, Meunasah Dayah, Beutong, Nagan Raya Regency, Aceh 23672, Indonesia","{'location': {'lat': 4.2514975, 'lng': 96.4429541}, 'viewport': {'northeast': {'lat': 4.252824029892721, 'lng': 96.44428077989272}, 'southwest': {'lat': 4.250124370107277, 'lng': 96.44158112010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KAWASAN TERNAMA,ChIJ-2faUwAtOTAREr2y-DwApkU,,5.0,ChIJ-2faUwAtOTAREr2y-DwApkU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ-2faUwAtOTAREr2y-DwApkU
OPERATIONAL,"2799+H9M, Kuala Trang, Kuala Pesisir, Nagan Raya Regency, Aceh 23661, Indonesia","{'location': {'lat': 4.018956, 'lng': 96.2684086}, 'viewport': {'northeast': {'lat': 4.020310529892722, 'lng': 96.26977627989272}, 'southwest': {'lat': 4.017610870107278, 'lng': 96.26707662010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Seunagan,ChIJ-8LqPWq3PjARLrFWx1Cgu-8,,4.7,ChIJ-8LqPWq3PjARLrFWx1Cgu-8,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"[{'height': 1184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114226784141700062465"">asnan cot rambong kuala pesisir</a>'], 'photo_reference': 'AUGGfZnjtEUPrlewGwbRRUZUAm_0xeuHrH-ugM6BJvSZVscrUFGUbVTY5jMlDAksa_0uT1j0qiYnWRwWTuGGRlpfsN47VU_BkF8i9j0gXcuv_qdhSUlVljEQ6cEe3rqb34qWtyQU-4cTXxVNHUq63oT7iJbzX6AUYjoWClvYGGFYMIQxzTUR', 'width': 2560}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ-8LqPWq3PjARLrFWx1Cgu-8
CLOSED_TEMPORARILY,"27J5+23W, Kuala Trang, Kuala Pesisir, Nagan Raya Regency, Aceh 23661, Indonesia","{'location': {'lat': 4.0301045, 'lng': 96.2577036}, 'viewport': {'northeast': {'lat': 4.033626949999999, 'lng': 96.25897132989273}, 'southwest': {'lat': 4.02893035, 'lng': 96.25627167010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai seunagan,ChIJJxJU9Z-3PjARkfigaT4vbw4,,0.0,ChIJJxJU9Z-3PjARkfigaT4vbw4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107238621388752236076"">A Google User</a>'], 'photo_reference': 'AUGGfZnyd1Jm3C4abbSw3jc_cDGEj91_8gcTPYiE1wB7tMozzyyV-JDxNKQiVylT2Mtvzw__wIarHGQJFyZcPTaAJXNKXGYAt6FclNAU9OccVTGem1o9p7X1stjiRGsNq7iriv3C7BAgMECC3yH6UagpWwZYXOVe1tcKV7U7hPq-JmH8GAx4', 'width': 720}]",True,,https://www.google.com/maps/place/?q=place_id:ChIJJxJU9Z-3PjARkfigaT4vbw4
