business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,price_level,plus_code,url
OPERATIONAL,"G345+Q3F, Pohe, Hulonthalangi, Gorontalo Regency, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5069393, 'lng': 123.0576773}, 'viewport': {'northeast': {'lat': 0.5083858798927222, 'lng': 123.0590321298927}, 'southwest': {'lat': 0.5056862201072777, 'lng': 123.0563324701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tangga 2000 Park,{'open_now': True},"[{'height': 3190, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107285502371378890736"">farandika andiatma</a>'], 'photo_reference': 'AUGGfZlmnQ7CrEIXkrEVWp5Em9wgjmvg99fvIZXG-vlA2EfaXzQ8vfsMrLiFX_ZTuxkXKhW51s3WEWZHuAQ9er6EG9fB2yGSVg4dQP8gNhc-7EF7K_qvjS1xEB9csDvwS7B1zDOtcGPgfHP8extpAVRUkZUWp43TGDZ8Bw6oBWLphF7t62uj', 'width': 5669}]",ChIJR03wwKEqeTIR3q4KVLC5JCY,4.2,ChIJR03wwKEqeTIR3q4KVLC5JCY,"['tourist_attraction', 'point_of_interest', 'establishment']",1015,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJR03wwKEqeTIR3q4KVLC5JCY
OPERATIONAL,"G22X+VMM, Jl. Pantai Indah, Pohe, Kec. Hulonthalangi, Kota Gorontalo, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5022222, 'lng': 123.0491667}, 'viewport': {'northeast': {'lat': 0.5035523798927223, 'lng': 123.0505361798927}, 'southwest': {'lat': 0.5008527201072779, 'lng': 123.0478365201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Indah,{'open_now': True},,ChIJz-ZUFl7VeDIR96sO_Nvva8k,5.0,ChIJz-ZUFl7VeDIR96sO_Nvva8k,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJz-ZUFl7VeDIR96sO_Nvva8k
OPERATIONAL,"G3C7+544, Talumolo, Kota Timur, Kota Gorontalo, Gorontalo, Indonesia","{'location': {'lat': 0.5203862, 'lng': 123.06284}, 'viewport': {'northeast': {'lat': 0.5217364798927223, 'lng': 123.0641632298927}, 'southwest': {'lat': 0.5190368201072778, 'lng': 123.0614635701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kawasan Santorini,,,ChIJRSoibuIreTIRiqG9uhTXe-A,0.0,ChIJRSoibuIreTIRiqG9uhTXe-A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJRSoibuIreTIRiqG9uhTXe-A
OPERATIONAL,"H23R+2MG, Jl. Palma, Libuo, Kec. Dungingi, Kota Gorontalo, Gorontalo 96136, Indonesia","{'location': {'lat': 0.5534781, 'lng': 123.040694}, 'viewport': {'northeast': {'lat': 0.5547420798927223, 'lng': 123.0421408798927}, 'southwest': {'lat': 0.5520424201072778, 'lng': 123.0394412201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bandhayo Pongayilo,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110258399011245556591"">A Google User</a>'], 'photo_reference': 'AUGGfZn8sfAzvstcBxyOjj20DWwdcX-xOdR4YvicN6H5mAZxIJOHy9_txOQ-eTqQon39NDEnllAdUulUWXoX11ZJhU75efLcoFHueV8GyJ7b3bElUOVqU3zo-zPixNWItxlbjKc0W4cE9nHuz6_m8QxFvY8yNxvNVbUlYzcjQpPLtERZXoM0', 'width': 1920}]",ChIJ4SHcpV4reTIRrhOuDbbqS7I,4.5,ChIJ4SHcpV4reTIRrhOuDbbqS7I,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJ4SHcpV4reTIRrhOuDbbqS7I
OPERATIONAL,"G3W8+3P2, Jl. Gelatik, Heledulaa, Kec. Kota Tim., Kota Gorontalo, Gorontalo 96135, Indonesia","{'location': {'lat': 0.5451463, 'lng': 123.066766}, 'viewport': {'northeast': {'lat': 0.5464961298927222, 'lng': 123.0681158298927}, 'southwest': {'lat': 0.5437964701072778, 'lng': 123.0654161701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RIDWAN TOHOPI BASECAMP,,,ChIJJRmxfmgreTIRdbt7ZtLvEjM,5.0,ChIJJRmxfmgreTIRdbt7ZtLvEjM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,https://www.google.com/maps/place/?q=place_id:ChIJJRmxfmgreTIRdbt7ZtLvEjM
OPERATIONAL,"F2WV+6PQ, Tanjung Kramat, Hulonthalangi, Kota Gorontalo, Gorontalo 96133, Indonesia","{'location': {'lat': 0.4955779, 'lng': 123.0443574}, 'viewport': {'northeast': {'lat': 0.4969379298927223, 'lng': 123.0457187798927}, 'southwest': {'lat': 0.4942382701072778, 'lng': 123.0430191201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tanjung Kramat,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105690597379534019587"">Dikki Shadiq</a>'], 'photo_reference': 'AUGGfZnBF2mE4v4dn1z5KMMiQjJNHhQb7j2kN_tyRCu0c9NYkYW-pmTexdG0uq1AbO7pHYajoIDK1_xHc5fM9m9267L42uQLyWXZxdgaGqait8F5KEQKx6Cn_uN_JLE0kNY_EeGOY1wi17kFDaPfTs3Vt4vdB8_haJjm_I1qHBPUjkw1x9pP', 'width': 2448}]",ChIJsU-UEHDVeDIRqqvLTk0JCRc,4.4,ChIJsU-UEHDVeDIRqqvLTk0JCRc,"['tourist_attraction', 'point_of_interest', 'establishment']",47,,,https://www.google.com/maps/place/?q=place_id:ChIJsU-UEHDVeDIRqqvLTk0JCRc
OPERATIONAL,"F3PM+QJ3, Ololalo, Kec. Kota Utara, Kota Gorontalo, Gorontalo, Indonesia","{'location': {'lat': 0.4868764, 'lng': 123.0840414}, 'viewport': {'northeast': {'lat': 0.4882710798927222, 'lng': 123.0854033298927}, 'southwest': {'lat': 0.4855714201072777, 'lng': 123.0827036701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Ololalo,{'open_now': True},"[{'height': 451, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106197247156374744894"">A Google User</a>'], 'photo_reference': 'AUGGfZnHQ5HXoIgy171CNq4V0JUoow9oF-onOQgCf95xL6RVa114DW9vJ3fd0ESXrM86JC4iVpAiz3DpqRqNfMAObl5rDyHqGAyVLJIAMBtfoybKCT6JaepsGztzL6zhNdIu45uPVgrWzAiHcTH0uR3jz6v1kA3YVLgemeCDaJeqPMKoMdg', 'width': 916}]",ChIJiQ4AgXArfzIRFewVYW4Uvi8,0.0,ChIJiQ4AgXArfzIRFewVYW4Uvi8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJiQ4AgXArfzIRFewVYW4Uvi8
OPERATIONAL,"H334+8HX, Limba U Dua, South Kota, Kota Gorontalo, Gorontalo 96138, Indonesia","{'location': {'lat': 0.5533568999999999, 'lng': 123.0564857}, 'viewport': {'northeast': {'lat': 0.5547944798927222, 'lng': 123.0578403798927}, 'southwest': {'lat': 0.5520948201072777, 'lng': 123.0551407201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Loket Lahilote,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109975012791880519816"">Azis 12</a>'], 'photo_reference': 'AUGGfZlWssatYuUIjLNnOuXv-4SlpLI6RnWkniY6zxAMML3JnhYiug6kNIlQDD1TPxSoLRJCroDZmzTFXioatOUXKHW-NFMjX7BE8tHeUJbWU3p-soVQoRq6XOcfBxGKVnkOJr6jDwD2xzAuKNjTv2gMgnvcDOksSEFDirRNPYwDxykyYM8E', 'width': 1920}]",ChIJSxbLaZoreTIRA-be4gJetbk,5.0,ChIJSxbLaZoreTIRA-be4gJetbk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJSxbLaZoreTIRA-be4gJetbk
OPERATIONAL,"Botubarani, Kabila Bone, Bone Bolango Regency, Gorontalo 96117, Indonesia","{'location': {'lat': 0.4743134, 'lng': 123.1006784}, 'viewport': {'northeast': {'lat': 0.4756720798927223, 'lng': 123.1020617298927}, 'southwest': {'lat': 0.4729724201072779, 'lng': 123.0993620701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Whale Shark Gorontalo,{'open_now': False},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110271985149687204037"">Johanes</a>'], 'photo_reference': 'AUGGfZkl8I9gxVCR36ZssHKokmvSEqBuxrV5TNDx6l8034tF17B6Cp8ZhqwXMGnQeZca5zgtrlzTL9ymnl4hWucmozCvI2p4kvELrfc8e4px_w2cowimebYqKXMGSiUc_gbclTH0V0lviq_2tAZP4unMB3XHlG_nxSjo405ds3ql7zes2r3O', 'width': 2976}]",ChIJD-R4Mt4qfzIRPAj484Euv5Y,4.5,ChIJD-R4Mt4qfzIRPAj484Euv5Y,"['tourist_attraction', 'point_of_interest', 'establishment']",389,,"{'compound_code': 'F4F2+P7 Botubarani, Bone Bolango Regency, Gorontalo, Indonesia', 'global_code': '6QG5F4F2+P7'}",https://www.google.com/maps/place/?q=place_id:ChIJD-R4Mt4qfzIRPAj484Euv5Y
OPERATIONAL,"G329+24G, Jl. R. Atje Slamet, Leato Utara, Kec. Dumbo Raya, Kota Gorontalo, Gorontalo 96119, Indonesia","{'location': {'lat': 0.5000865, 'lng': 123.0678429}, 'viewport': {'northeast': {'lat': 0.5013812798927222, 'lng': 123.0691443798927}, 'southwest': {'lat': 0.4986816201072778, 'lng': 123.0664447201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai leato utara,,"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111822187088649436557"">andy aryawan</a>'], 'photo_reference': 'AUGGfZl361aPrJmc90Xhrac5EWWruVbZ7CMeuUFOfP6OL0wC-fnRzdh0JqS30zw-2GLuloLs5fqKRoc95ruS2f6ISxnzrohVAZr-P9EdVkvUbO7XbP_MoP8MKzFJ5lk-qi0K3QaPW4dxIcNEzsSCYt0zMcg3Jmxz3rym9tFDGtVE4Cohbduh', 'width': 4480}]",ChIJR1uHXdTVeDIRqKz40Z1lJKc,4.4,ChIJR1uHXdTVeDIRqKz40Z1lJKc,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJR1uHXdTVeDIRqKz40Z1lJKc
OPERATIONAL,"F2XQ+2F5, Bongo, Batudaa Pantai, Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.4975046, 'lng': 123.0387308}, 'viewport': {'northeast': {'lat': 0.4988886798927223, 'lng': 123.0400828298927}, 'southwest': {'lat': 0.4961890201072778, 'lng': 123.0373831701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kuliner POLLOTAA,{'open_now': True},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100317010573431645973"">A Google User</a>'], 'photo_reference': 'AUGGfZmzFPWxEq17DcRnl0xRpCgXZEBmH9_IZbFU_C7gHKRbqLNpb3DeaokqJ4V2VewLT_Tp4_3TG3q_U9yZB-0jlX0gJgCehPFb2_OuzahOd-5UqaikfmyDfjjhHQKVk94BoJBFwH05pEe8y98VXPIHpfo8JT781wKLwVK8jtpVyB1d6eQ2', 'width': 1600}]",ChIJs3Rw9EbVeDIRpYavCPfO050,4.2,ChIJs3Rw9EbVeDIRpYavCPfO050,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJs3Rw9EbVeDIRpYavCPfO050
OPERATIONAL,"G3J5+5P5, Tenda, Hulonthalangi, Gorontalo Regency, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5303939, 'lng': 123.059356}, 'viewport': {'northeast': {'lat': 0.5318712798927223, 'lng': 123.0607215798928}, 'southwest': {'lat': 0.5291716201072778, 'lng': 123.0580219201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Patung Nani Wartabone,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101946731615719082452"">Zoel Liputo</a>'], 'photo_reference': 'AUGGfZmsCli7UDuKsfidPfwNGy7-yWVwvxN_PurRvd4aiOuGMuc-7nDvpKi0x2dD7jl41GZmOlWqBAC5NbGzy96LVAipJO9CA-uMlclrDyAsiMn1SPbyzdanAoS1yYJaFfzAhU5Qo1vJhj0gJmMj34FW2tjW9E-m5sse2bATe24ahUoBLqua', 'width': 4608}]",ChIJewyKUtwqeTIRemoU9rPPJIM,4.6,ChIJewyKUtwqeTIRemoU9rPPJIM,"['tourist_attraction', 'point_of_interest', 'establishment']",172,,,https://www.google.com/maps/place/?q=place_id:ChIJewyKUtwqeTIRemoU9rPPJIM
OPERATIONAL,"Jl. K. H. Ahmad Dahlan No.23, Limba B, Kota Sel., Kota Gorontalo, Gorontalo 96115, Indonesia","{'location': {'lat': 0.5401273999999999, 'lng': 123.0602284}, 'viewport': {'northeast': {'lat': 0.5414778298927223, 'lng': 123.0615771298927}, 'southwest': {'lat': 0.5387781701072779, 'lng': 123.0588774701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KULINER LASBEJERIN,,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106553544532975131623"">A Google User</a>'], 'photo_reference': 'AUGGfZmNx5GT_RndnsVP5aD2FVYbSAXhbjrmpAcAGnN0rcCthKoFaNC1C5coHJ_tDunnNans-x7a-Rk2PBJYrcXlJCfG-e6sp9MYVBbYQY2ZzwnKsY7RyPmhrFcubWS0FKseBr1Tllb00hDzWukRTN6ac8i1rQZ_fkTQQKHE1lrWfFVNgtw2', 'width': 4128}]",ChIJ4-qRy_oreTIRk_RQC0Ts5zk,0.0,ChIJ4-qRy_oreTIRk_RQC0Ts5zk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"{'compound_code': 'G3R6+33 Limba B, Kota Gorontalo, Gorontalo, Indonesia', 'global_code': '6QG5G3R6+33'}",https://www.google.com/maps/place/?q=place_id:ChIJ4-qRy_oreTIRk_RQC0Ts5zk
