formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,opening_hours,photos,plus_code,rating,user_ratings_total,permanently_closed,url
"G8RF+C2W, Salak II, Salak, Pakpak Bharat Regency, North Sumatra 22272, Indonesia","{'location': {'lat': 2.5411121, 'lng': 98.3225868}, 'viewport': {'northeast': {'lat': 2.542519279892722, 'lng': 98.32400482989271}, 'southwest': {'lat': 2.539819620107278, 'lng': 98.32130517010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panorama indah sindeka,ChIJZTdbyP0vMDAR6KGhhVGNvig,ChIJZTdbyP0vMDAR6KGhhVGNvig,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109366031306282919362"">A Google User</a>'], 'photo_reference': 'AUGGfZkgIVPkfreOzu18yFLI8pabe6QlrmDRMW7_XrQ--sfWJkbcKCqCXW8jSH1UTULMb_pTvNF4X2cy_AeaUG9jyamwvxy3dgVVCSiL1aW1BpzBI1f7QiG9bDebGVTMVz46JPUXGx7VlISSv1kdpYAJJa6P302M408kuIFXv4lOZh9DG--a', 'width': 1600}]",,4.2,5.0,,https://www.google.com/maps/place/?q=place_id:ChIJZTdbyP0vMDAR6KGhhVGNvig
"desa, Boangmanalu Salak, Kec. Salak, Kabupaten Pakpak Bharat, Sumatera Utara 22272, Indonesia","{'location': {'lat': 2.5564424, 'lng': 98.33409820000001}, 'viewport': {'northeast': {'lat': 2.557652329892723, 'lng': 98.33553692989273}, 'southwest': {'lat': 2.554952670107278, 'lng': 98.33283727010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sp Kopi delleng,ChIJ23TRkKIvMDARWtIejwXCxRA,ChIJ23TRkKIvMDARWtIejwXCxRA,"['tourist_attraction', 'cafe', 'point_of_interest', 'store', 'food', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101705927731443428373"">maroloph banurea</a>'], 'photo_reference': 'AUGGfZltlUSOivLUF5hp1EXGoIrl3c-X61KKudsFtVsdcizvTJ-pE2cHSqKFTI9fXMFICORx4Ndw0InJixOvdf8FZ-ooA1pyO9krnlgZMVUEz8nkiVTNqxxHE3nVB9I6EqvngxSjzGo0vwUKJ2AwZ6N4R2altCRFrxDVRwH_BoDhcX5DsnZw', 'width': 3456}]","{'compound_code': 'H84M+HJ Boangmanalu Salak, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWH84M+HJ'}",4.5,26.0,,https://www.google.com/maps/place/?q=place_id:ChIJ23TRkKIvMDARWtIejwXCxRA
"Tanjung Meriah, Sitellu Tali Urang Jehe, Pakpak Bharat Regency, North Sumatra 21167, Indonesia","{'location': {'lat': 2.6630392, 'lng': 98.2106994}, 'viewport': {'northeast': {'lat': 2.664309279892722, 'lng': 98.21206437989272}, 'southwest': {'lat': 2.661609620107278, 'lng': 98.20936472010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun Laembara,ChIJsxrQEio9MDARCV4f5wbKGxw,ChIJsxrQEio9MDARCV4f5wbKGxw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 949, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111040251594507416763"">Rian Brandalzz</a>'], 'photo_reference': 'AUGGfZlXlQntQRhJm5N6c8BxwdRJ2pLWpdmLQqsyKJEVCTfQYTkwv4pdmOFCnfcHs4Wji7sq4LZ36neGAe3dSgTS8HXKxbdftCrUqJ8jglviW1mTt8iAKAnBFK4w_WKxLgOtHgLZh18WBXBMBQJw4MGId2OMQ5n0z-fWyOUZQJ_YHelDj_1X', 'width': 712}]","{'compound_code': 'M676+67 Tanjung Meriah, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWM676+67'}",3.5,11.0,,https://www.google.com/maps/place/?q=place_id:ChIJsxrQEio9MDARCV4f5wbKGxw
"Siempat Rube I, Siempat Rube, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.6052018, 'lng': 98.3624377}, 'viewport': {'northeast': {'lat': 2.606489179892722, 'lng': 98.36397692989273}, 'southwest': {'lat': 2.603789520107277, 'lng': 98.36127727010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun percontohan kopi simsim,ChIJkTltbpAxMDARvXgWpc4SlqU,ChIJkTltbpAxMDARvXgWpc4SlqU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100127090509941180835"">A Google User</a>'], 'photo_reference': 'AUGGfZmtaNhkQLsg1uN6hRWzMVRcgF19Ba3ZPj81gTSdvCoEC95R87AI8eoKn58RvxV1yPjolTgVvU1lQrSqQ6YORpS803QPTz1a4kHj-RRAACndFpt3rHVsdtN_IczNcHZkiKjTzSDpRscXK9xKf9X-QM3Lbt_LutdGFDaKbqgLHibjDUuD', 'width': 963}]","{'compound_code': 'J946+3X Siempat Rube I, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWJ946+3X'}",5.0,3.0,,https://www.google.com/maps/place/?q=place_id:ChIJkTltbpAxMDARvXgWpc4SlqU
"M59F+PH, Mbinalun, Sitellu Tali Urang Jehe, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.669292, 'lng': 98.17387939999999}, 'viewport': {'northeast': {'lat': 2.670628029892722, 'lng': 98.17518317989271}, 'southwest': {'lat': 2.667928370107278, 'lng': 98.17248352010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Objek pemandian Lae kersik,ChIJE8Ehpxc9MDARbfhM7aAXhvQ,ChIJE8Ehpxc9MDARbfhM7aAXhvQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102382567515226683265"">A Google User</a>'], 'photo_reference': 'AUGGfZlr3ujqA0Fox1vAFRNagJFiQVJ3Fv2PFnQVZpCVdS-2pcGLd3AGWr8Xj4sg3B9LAA19obfvBSusFAhVpEOHd1PK6AK_okCphJBwpS0ViOaVdT6_2VbjwUF_opIpXEcb9ZLrBG4SCzZIe_WaNHCfadFhHVVJFeZwLwOtPbyHOxMt41CH', 'width': 1200}]",,5.0,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJE8Ehpxc9MDARbfhM7aAXhvQ
"Jl. Runding No.184, Sidiangkat, Kec. Sidikalang, Kabupaten Pakpak Bharat, Sumatera Utara 22216, Indonesia","{'location': {'lat': 2.6972328, 'lng': 98.30576339999999}, 'viewport': {'northeast': {'lat': 2.698558329892722, 'lng': 98.30715497989272}, 'southwest': {'lat': 2.695858670107278, 'lng': 98.30445532010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak Garden,ChIJtz88aCo5MDAR7p4AElf8PKQ,ChIJtz88aCo5MDAR7p4AElf8PKQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 3600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109794590461434017892"">ervin june</a>'], 'photo_reference': 'AUGGfZklP_VIrIPHxvmGkjT7ccik4eczjn-_ooAZgt53cxP7Q3XvSwU_xhoKjQjASFSxPeMM6Fuo5KT2gFMpeC_0siFw_Szj79ciq8NXUK_hskhsWjLTec__g_n8YQuMIa08tWDM6OagivogOgOag5kGg4BB1gbnXMMqX45H_Sx8MR8MIiGD', 'width': 8016}]","{'compound_code': 'M8W4+V8 Sidiangkat, Dairi Regency, North Sumatra, Indonesia', 'global_code': '6MJWM8W4+V8'}",5.0,4.0,,https://www.google.com/maps/place/?q=place_id:ChIJtz88aCo5MDAR7p4AElf8PKQ
"F9VH+QG, Ulu Merah, Sitellu Tali Urang Julu, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.494469, 'lng': 98.378783}, 'viewport': {'northeast': {'lat': 2.495876479892722, 'lng': 98.38017697989272}, 'southwest': {'lat': 2.493176820107277, 'lng': 98.37747732010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dsn Terrep Rumerah,ChIJ837vHKIpMDARVEcv30rhv-Q,ChIJ837vHKIpMDARVEcv30rhv-Q,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110214448666833504414"">A Google User</a>'], 'photo_reference': 'AUGGfZlm3DcUMa-Mi3vXCRCekdcViTYhmAvmTKJ4YvPcKQwKU07YBExCh6b-xlQ8_1HMn_wF40kdATEX47ACIjcbOEyVA-OYgulFGcSCMMgUeeWlWY4rG7HjQFgEUmEB8DAY8SzSfx5ohGgsMJOLYmGiXkhVQkJS6r2gTMtrORZkycf4lbEn', 'width': 3000}]",,5.0,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJ837vHKIpMDARVEcv30rhv-Q
"Unnamed Road, Salak II, Kec. Salak, Kabupaten Pakpak Bharat, Sumatera Utara 22271, Indonesia","{'location': {'lat': 2.5463754, 'lng': 98.311121}, 'viewport': {'northeast': {'lat': 2.547719979892722, 'lng': 98.31244587989273}, 'southwest': {'lat': 2.545020320107278, 'lng': 98.30974622010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JL Raja Barung,ChIJY_kZc3YvMDARCd4Em-rnA9A,ChIJY_kZc3YvMDARCd4Em-rnA9A,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,,"{'compound_code': 'G8W6+HC Salak II, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWG8W6+HC'}",5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJY_kZc3YvMDARCd4Em-rnA9A
"J9RJ+P26, Prongil, Tinada, Pakpak Bharat Regency, North Sumatra, Indonesia","{'location': {'lat': 2.6417773, 'lng': 98.3800203}, 'viewport': {'northeast': {'lat': 2.643127129892722, 'lng': 98.38137012989272}, 'southwest': {'lat': 2.640427470107277, 'lng': 98.37867047010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Air Terjun Sicike-cike,ChIJ4dEtAtYxMDARuXRDZ7DUI9c,ChIJ4dEtAtYxMDARuXRDZ7DUI9c,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116366918072874942262"">candra kirana nadeak</a>'], 'photo_reference': 'AUGGfZm8UQ9DoUuFRT4aK843QOQ-hKD0KxeB24doPgV50q_U-Z-wYtuRi9ac4Hq7jVFkDGQuowRrxwYiF-ZB7s9SiNy7jzg2zhyLQ3yQZ15Is7qr8ijrsZCRnbimuM_4DW5G-T6XfaUE6jWsfra063V9sfEOzK3VakPkh4u98W2ejlH4AhE', 'width': 4032}]",,5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ4dEtAtYxMDARuXRDZ7DUI9c
"Jl. Runding, Sidiangkat, Kec. Sidikalang, Kabupaten Dairi, Sumatera Utara 22216, Indonesia","{'location': {'lat': 2.6988634, 'lng': 98.30353939999999}, 'viewport': {'northeast': {'lat': 2.700175579892722, 'lng': 98.30487307989272}, 'southwest': {'lat': 2.697475920107278, 'lng': 98.30217342010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penatapan Puncak Sidiangkat,ChIJ5yrrqdk5MDARevJoDuzR2Nk,ChIJ5yrrqdk5MDARevJoDuzR2Nk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115410618688900170745"">Syahputra Putra</a>'], 'photo_reference': 'AUGGfZlANSed02V59UZ2IlVKr7KbPX5nIHfiXNmbBToS1OfmAUpQyfibq8v-b_hiAqdnFvSgdKdem48eDqV0YHMzJ0-wG0KtktBmtGEfIYpRCt9WRj_R0J022MJzYeTw908Lfdvq6ilGsg3JgV2p2A6uQuBMP9ij2wOKyIloTxtGli7xNebJ', 'width': 4160}]","{'compound_code': 'M8X3+GC Sidiangkat, Dairi Regency, North Sumatra, Indonesia', 'global_code': '6MJWM8X3+GC'}",4.2,294.0,,https://www.google.com/maps/place/?q=place_id:ChIJ5yrrqdk5MDARevJoDuzR2Nk
"JL LAE UNE No.1, Kecupak I, Kec. Pergetteng Getteng Sengkut, Kabupaten Pakpak Bharat, Sumatera Utara 22271, Indonesia","{'location': {'lat': 2.5517774, 'lng': 98.29074089999999}, 'viewport': {'northeast': {'lat': 2.553759729892722, 'lng': 98.29260132989272}, 'southwest': {'lat': 2.551060070107278, 'lng': 98.28990167010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata lae une,ChIJJfgI-AAlMDARqmCEcR-eta8,ChIJJfgI-AAlMDARqmCEcR-eta8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,,"{'compound_code': 'H72R+P7 Kecupak I, Pakpak Bharat Regency, North Sumatra, Indonesia', 'global_code': '6MJWH72R+P7'}",0.0,0.0,,https://www.google.com/maps/place/?q=place_id:ChIJJfgI-AAlMDARqmCEcR-eta8
