formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,permanently_closed,plus_code,url
"2FQJ+Q9, Ofu, Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.960505999999999, 'lng': 124.4809543}, 'viewport': {'northeast': {'lat': -9.959793620107279, 'lng': 124.4819919798927}, 'southwest': {'lat': -9.962493279892723, 'lng': 124.4792923201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Manenu Ofu,"[{'height': 2464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102561948253457087348"">Yohanes Tahoni</a>'], 'photo_reference': 'AUGGfZk9ibyGt0ygZsbDbaHSgSWuhSBx7oMFnHgDVa8g2bbCdEsKghGTw0HfdZ5kwi6ruSrh3m_QjztjI9oJ7m5VADEVqhXJ2hjdcMor5QXCo_1WKxbmZP5Y9zE5Ykm0hJuGtjDgjHDzkOl4QD81KOP-Qwv97PbcSV9zmg2FbVMsdUjCcsKi', 'width': 3280}]",ChIJG2OOoBv_VSwREwmfCdLr5Pk,ChIJG2OOoBv_VSwREwmfCdLr5Pk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJG2OOoBv_VSwREwmfCdLr5Pk
"47HG+74V, Kuatae, Soe City, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8717661, 'lng': 124.2753009}, 'viewport': {'northeast': {'lat': -9.870408070107278, 'lng': 124.2766514798927}, 'southwest': {'lat': -9.873107729892721, 'lng': 124.2739518201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Kuatae,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114506624807190997466"">A Google User</a>'], 'photo_reference': 'AUGGfZkI6tavMbd-37HNZezYT91sdmMMFzT16NOivuh6kxXdsol-5-xl8GHqf53-4jsgYUtp6WDHad888j0w0OMfQJ5koPsW7mv9obpsbTpiv-abWo6u-I-vo77kJW_ERwRKx7ufZGVJUi1w6FH_W__zYE5Jmwk1lj_S1e66CqF2y-Af3jmX', 'width': 1920}]",ChIJEedif7HlVSwRro9KxNy4HNo,ChIJEedif7HlVSwRro9KxNy4HNo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJEedif7HlVSwRro9KxNy4HNo
"Oehala, Batu Putih, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9422458, 'lng': 124.1810057}, 'viewport': {'northeast': {'lat': -9.8962901, 'lng': 124.20131}, 'southwest': {'lat': -9.96468, 'lng': 124.15903}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Oehala,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116109554058659223054"">Santy Sriharyati Rusmana</a>'], 'photo_reference': 'AUGGfZnGXMuBD549tNWn8-U4qxKdt0TtCQJV804Uioaz4wOsncz0UrYlSKbyb1rBDtgtyBfueZ0apYF5InGdqSNxI2RtL7pcVg0a_C7glJCwdVVcsISeVIA_gIdiW2uPM-w1VzONgJ2gX7lx8YLpxOT2dau-4VqbsWiZdAiRr1N9GCmxMDv9', 'width': 4000}]",ChIJfeAazRPnVSwR8HT0Z9lP43Q,ChIJfeAazRPnVSwR8HT0Z9lP43Q,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJfeAazRPnVSwR8HT0Z9lP43Q
"Pantai, Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0204408, 'lng': 124.5385041}, 'viewport': {'northeast': {'lat': -10.01903462010728, 'lng': 124.5397054298927}, 'southwest': {'lat': -10.02173427989272, 'lng': 124.5370057701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolbano Beach,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102463916079671344895"">A Google User</a>'], 'photo_reference': 'AUGGfZl2uidWTByR1mlDaL_r1ZMTJtZgaBQJXBZ-DaP0T5wySJe2i-DGUVcPRlRmVkg40hzI6bop1uPaZvxVCVcdA6Tw-OG9QoTrVkRP8xNKBe4WmWcqqdK8dySm1IVP8Kr5jKf_POHcAqBgCPcuJzy8mh6kaLUlQqk_NlZusDfBYOrRopbb', 'width': 3024}]",ChIJgeWp2fGr-CwRY9bBD2StRyo,ChIJgeWp2fGr-CwRY9bBD2StRyo,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,151.0,{'open_now': False},,"{'compound_code': 'XGHQ+RC Kolbano, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX6XGHQ+RC'}",https://www.google.com/maps/place/?q=place_id:ChIJgeWp2fGr-CwRY9bBD2StRyo
"South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.776281599999999, 'lng': 124.4198243}, 'viewport': {'northeast': {'lat': -9.4722969, 'lng': 124.8213449}, 'southwest': {'lat': -10.173848, 'lng': 124.0535299}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,South Timor Tengah Regency,"[{'height': 3265, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107102945974761546181"">Jaka Julaeha Ferri Randasari, S.Pd</a>'], 'photo_reference': 'AUGGfZkbjaLaspBrtUZm5--J78ijuxxAdENVuUWDE9iDaVUzengHSQU-ZOYgwsyv7klLs-3azsvtUI9aXx66GvvtJqmnK49Q6hGsFYNGPRMf92f1Q-RRgmwWEq0wjZxz9mEp_DeXW_11BVf3E0VQekwASdoYtqMRbjYyDj_XBPMZ-UxbkMr-', 'width': 4898}]",ChIJKYfxvTz3VSwRJRB7FN1GOt8,ChIJKYfxvTz3VSwRJRB7FN1GOt8,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJKYfxvTz3VSwRJRB7FN1GOt8
"288W+P9, Oepliki, Noebeba, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.9831472, 'lng': 124.3459856}, 'viewport': {'northeast': {'lat': -9.981747720107277, 'lng': 124.3472473798927}, 'southwest': {'lat': -9.984447379892721, 'lng': 124.3445477201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Oepliki,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116287474281971635396"">A Google User</a>'], 'photo_reference': 'AUGGfZn_WIHj3oSf7NV-Qiq9aJmOF1g6cVeVwUNM3FWETlcCweWR2rtUqbO3ZaEHxbcMz_BcQ35xWIx-Cn-C6kkA93JkUNBmSTJHxDB2-_3blgDhxZVaL8BjULj-wKdqdxmoQx9NF85kXQYZTAqWHUoggWh7UTCETOAqPvPZ70GcLGqOcYSR', 'width': 1920}]",ChIJLSH1lVL9VSwRhXqMRY143P8,ChIJLSH1lVL9VSwRhXqMRY143P8,"['lodging', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJLSH1lVL9VSwRhXqMRY143P8
"49P5+P75, Jl. Ahmad Yani, Tublopo/Meometan, Kec. Amanuban Bar., Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8632347, 'lng': 124.3582445}, 'viewport': {'northeast': {'lat': -9.861826820107277, 'lng': 124.3597052798927}, 'southwest': {'lat': -9.86452647989272, 'lng': 124.3570056201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Tublopo,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112581118475119465469"">A Google User</a>'], 'photo_reference': 'AUGGfZkbRsSqA0TRaa2rPh4FLdSJG_ZB-5x6XJk2wkGJv3dbONg7AYRRyX4BmQXd_qyNTbZGo2s1ui17nn-1EpSoeYk9fniLRwvN1Q5T1t06bdZDkjhV8aukAcbeqyFF4to3Evq8aduVKkxnZNfuLUMweTGOCFeU3N5qgHCRfrdsVkqWTvcn', 'width': 3120}]",ChIJd4TjWbb7VSwRHoj0eFXyLZ8,ChIJd4TjWbb7VSwRHoj0eFXyLZ8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,6.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJd4TjWbb7VSwRHoj0eFXyLZ8
"dusun 3 No.RT 24, Basmuti, Kec. Kuanfatu, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85517, Indonesia","{'location': {'lat': -10.0070931, 'lng': 124.4020253}, 'viewport': {'northeast': {'lat': -10.0028073, 'lng': 124.40414555}, 'southwest': {'lat': -10.0085217, 'lng': 124.40131855}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air,,ChIJx3NY5ib9VSwRVs5zN3KEtKo,ChIJx3NY5ib9VSwRVs5zN3KEtKo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,"{'compound_code': 'XCV2+5R Basmuti, South Timor Tengah Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX6XCV2+5R'}",https://www.google.com/maps/place/?q=place_id:ChIJx3NY5ib9VSwRVs5zN3KEtKo
"4CPX+G2M, Supul, Kuatnana, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8636501, 'lng': 124.4475522}, 'viewport': {'northeast': {'lat': -9.862253520107277, 'lng': 124.4489117298927}, 'southwest': {'lat': -9.864953179892721, 'lng': 124.4462120701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Supul,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113382086018104529467"">A Google User</a>'], 'photo_reference': 'AUGGfZloTcmfij8N1ONj-qeG7p6pev8MKldweXRmBSBhiPekKp4EFOso6TG5LKtpJGxd9GEsHykc_uWdALzTanH4XUGdPLAvonGLW6RolkoruxTMRYb3hEWOfiguC_phczC0M1nHpTKQmoif5YsLWRToiac38tAfshRZbF7uu9seJCfZ5LOo', 'width': 2448}]",ChIJn_R7VVH5VSwR2efidZqo43U,ChIJn_R7VVH5VSwR2efidZqo43U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJn_R7VVH5VSwR2efidZqo43U
"465F+F72, Benlutu, Batu Putih, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.891361999999999, 'lng': 124.2231376}, 'viewport': {'northeast': {'lat': -9.890018420107278, 'lng': 124.2244870798927}, 'southwest': {'lat': -9.892718079892722, 'lng': 124.2217874201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Benlutu,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111731238612185605491"">A Google User</a>'], 'photo_reference': 'AUGGfZlYZJnu02WyRlmSXKmkpOlNaz6tqscS7J4bW0sYMI9BQmAPxfxcW2QnNUJqQkLS6MqQGcLIihA9XFVVJjn8_ActMH5LWSm0FxkkhIx0hu5G1FZhbVdF51LxofA9YHPNJqVMk2b-996qYUj6Mz8pX_yOQgi5qiXHnTSE0UnJGn80ZpRl', 'width': 2448}]",ChIJw9cdM4fnVSwRMCE26YCO20U,ChIJw9cdM4fnVSwRMCE26YCO20U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,2.5,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJw9cdM4fnVSwRMCE26YCO20U
"48JX+V7, Tublopo/Meometan, Amanuban Barat, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8678635, 'lng': 124.3482211}, 'viewport': {'northeast': {'lat': -9.86424895, 'lng': 124.3493971798927}, 'southwest': {'lat': -9.869068349999996, 'lng': 124.3466975201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tae Nunuh,,ChIJYa3xWgD7VSwRRmXm3ONwMHw,ChIJYa3xWgD7VSwRRmXm3ONwMHw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJYa3xWgD7VSwRRmXm3ONwMHw
"478W+64, Mnelalete, Amanuban Barat, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8844456, 'lng': 124.2952951}, 'viewport': {'northeast': {'lat': -9.883071370107277, 'lng': 124.2965274798927}, 'southwest': {'lat': -9.885771029892721, 'lng': 124.2938278201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mia tamonob,,ChIJawh1ewDlVSwRS_8UWRlfbsA,ChIJawh1ewDlVSwRS_8UWRlfbsA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJawh1ewDlVSwRS_8UWRlfbsA
"4F76+3PP, Tubmonas, Amanuban Tengah, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.887286099999999, 'lng': 124.4618237}, 'viewport': {'northeast': {'lat': -9.886051820107276, 'lng': 124.4637102798927}, 'southwest': {'lat': -9.88875147989272, 'lng': 124.4610106201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kua Mna,,ChIJjcWl52b5VSwRQrCbJiQDFQ0,ChIJjcWl52b5VSwRQrCbJiQDFQ0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJjcWl52b5VSwRQrCbJiQDFQ0
