formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,photos,business_status,rating,user_ratings_total,opening_hours,plus_code,url
"4W8J+PX9, Baringin, Candi Laras Selatan, Tapin Regency, South Kalimantan 71162, Indonesia","{'location': {'lat': -2.883545, 'lng': 114.93139}, 'viewport': {'northeast': {'lat': -2.882318770107278, 'lng': 114.9331933298927}, 'southwest': {'lat': -2.885018429892722, 'lng': 114.9304936701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Tapang,ChIJew9F1kmt5S0RfTMprOyUKJw,ChIJew9F1kmt5S0RfTMprOyUKJw,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118023637298866636368"">A Google User</a>'], 'photo_reference': 'AUGGfZlGLHFRogwVrmhDS2rmJu-VfgibaZfJMUxO_6WqEgGBs6W5AqmTOVlWVBzlTLADP4jjiQtFVDo5_k-tQuTOqZ6DE7zb2UZtsvq7A5tlWPwHFladknLYIHe-hEhHw9Bu1nSBVqfyOsalKpWBAGQKZq2W8MLlgFR8QXW9GLoeA6--93Au', 'width': 1080}]",OPERATIONAL,2.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJew9F1kmt5S0RfTMprOyUKJw
"4W6F+G9, Margasari Ilir, North Candi Laras, Tapin Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.8881934, 'lng': 114.9243833}, 'viewport': {'northeast': {'lat': -2.886843570107278, 'lng': 114.9257331298927}, 'southwest': {'lat': -2.889543229892722, 'lng': 114.9230334701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perkebunan jeruk,ChIJGz_dt7at5S0RbSjecAzzJB0,ChIJGz_dt7at5S0RbSjecAzzJB0,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 450, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112103874049638789301"">A Google User</a>'], 'photo_reference': 'AUGGfZlNHMqrdbNVdEKlwrl8QXiq5Hjr2PvuGlMWzOFU3qWatZBIw5MyydVfX4TnWz3HgE7-SNMVFcA-FiyG8-M3czJJwIOYq5kWK1llRaTgiooyGJTjWR2g64ratsGaMH3dxmN9GdbPSEHa2OYY-qkWuaZhvAqT-Jcv-Kbuer_LV4oRHx_R', 'width': 800}]",OPERATIONAL,2.5,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJGz_dt7at5S0RbSjecAzzJB0
"27MJ+MC, Buni'in Jaya, Piani, Tapin Regency, South Kalimantan 71191, Indonesia","{'location': {'lat': -2.9657783, 'lng': 115.2810467}, 'viewport': {'northeast': {'lat': -2.964250620107278, 'lng': 115.2826108798927}, 'southwest': {'lat': -2.966950279892723, 'lng': 115.2799112201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Buniin,ChIJ_VwH_G695S0RpuBXTN9kLN0,ChIJ_VwH_G695S0RpuBXTN9kLN0,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114879368664587710229"">Asep Supriyono</a>'], 'photo_reference': 'AUGGfZnyK7GzNWaHZbqDDPWeOul28Uv5eI3nS56pNxOyw3F9fs_AocLg8MgVwPZBpE6McpKRI3ei6JdzTuQ07iNdh-Rrkz3cKql7VsceuxoGsYbnApxNikCP3qjXfj6a0TOEf-bUVVNLDgTBI29_Qv4CSwnx-1lHr1xBhJ-KJES24UWbPaa5', 'width': 1920}]",OPERATIONAL,4.6,26.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ_VwH_G695S0RpuBXTN9kLN0
"W5M4+F3C, Suato Lama, Salam Babaris, Tapin Regency, South Kalimantan 71185, Indonesia","{'location': {'lat': -3.0663233, 'lng': 115.1551445}, 'viewport': {'northeast': {'lat': -3.064980770107278, 'lng': 115.1564982298927}, 'southwest': {'lat': -3.067680429892722, 'lng': 115.1537985701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Hatiwin,ChIJm3NnVuK45S0RCw4dcTJKjUo,ChIJm3NnVuK45S0RCw4dcTJKjUo,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112145772134720964108"">Febri Blenk</a>'], 'photo_reference': 'AUGGfZnMm8_Ny6TCjBjSOaesSGiDrXaas3ZNqTjXjNGc5R4SYlxN79QUbTfKy4d4FKRB226ylbPtZ0SLMpA28Rrj3nWnsPyzhARGilJ8DQ2vHW7ZMUweGMMDP29NVpY2Ft0iM5_hbmpwNY5OWR1YUpdqqDZ3jpn6hyfrxCTBnqPVpHIniD0T', 'width': 2448}]",OPERATIONAL,4.2,116.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJm3NnVuK45S0RCw4dcTJKjUo
"Binuang, Tapin Regency, South Kalimantan 71183, Indonesia","{'location': {'lat': -3.1425328, 'lng': 115.0554378}, 'viewport': {'northeast': {'lat': -3.13906975, 'lng': 115.0569032798927}, 'southwest': {'lat': -3.143687149999999, 'lng': 115.0542036201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nyiur tunggal,ChIJx_jG5A3J5S0R8Cp3Ial_dL8,ChIJx_jG5A3J5S0R8Cp3Ial_dL8,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109973313993177539262"">A Google User</a>'], 'photo_reference': 'AUGGfZkerGp0cRoSu7-IE7NNsnwDQeSf6A2apjjeIRWKIRf8zPVADqpy92yeRhy2jN3DxQSa9k65_PVz1b2FMiMaMPnyhvz49qcmdDqA5HntfshQBHqVXT2eHQWIipPTPgQJXBDMaKu9SOWuR6dnq8_ajzQMn9VZxVS1CyTC8WIh9n78CPmw', 'width': 4160}]",OPERATIONAL,5.0,1.0,{'open_now': True},"{'compound_code': 'V344+X5 Binuang, Tapin Regency, South Kalimantan, Indonesia', 'global_code': '6P8QV344+X5'}",https://www.google.com/maps/place/?q=place_id:ChIJx_jG5A3J5S0R8Cp3Ial_dL8
"Bendungan Linuh, Linuh, Kec. Bungur, Kabupaten Tapin, Kalimantan Selatan 71153, Indonesia","{'location': {'lat': -3.0012419, 'lng': 115.2375859}, 'viewport': {'northeast': {'lat': -2.999694270107277, 'lng': 115.2387880798927}, 'southwest': {'lat': -3.002393929892722, 'lng': 115.2360884201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan Irigasi Desa Linuh,ChIJz2nM8tm95S0RxG0VGjmRsjg,ChIJz2nM8tm95S0RxG0VGjmRsjg,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107642932801697775482"">M Rezki Aulia</a>'], 'photo_reference': 'AUGGfZlw5qvfRujfPwdXFHwN2EjrsdWnV1atYsmDW8BR0JSRGWh_bTLkB-4J_GfBXqpyb3lYXR2yChK3_24veLWM10zd47XpisNDlJqUECK7NhJvmM0WDRDuaJMZKIKu5Oo0J1xDvCMt4i7RZDYARi_AwR9Db1t6ERVX35NzrV-m3NlykQA2', 'width': 4160}]",OPERATIONAL,4.8,11.0,,"{'compound_code': 'X6XQ+G2 Linuh, Tapin Regency, South Kalimantan, Indonesia', 'global_code': '6P8QX6XQ+G2'}",https://www.google.com/maps/place/?q=place_id:ChIJz2nM8tm95S0RxG0VGjmRsjg
"V5FG+45R, Batu Hapu, Hatungun, Tapin Regency, South Kalimantan 70675, Indonesia","{'location': {'lat': -3.1271282, 'lng': 115.175391}, 'viewport': {'northeast': {'lat': -3.125776720107277, 'lng': 115.1768910798928}, 'southwest': {'lat': -3.128476379892722, 'lng': 115.1741914201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa Batu Hapu,ChIJMZvFkSfH5S0R2kNlunU1QqU,ChIJMZvFkSfH5S0R2kNlunU1QqU,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109733585451961953461"">Dina Analya</a>'], 'photo_reference': 'AUGGfZmCs6UjGk6HJSUhd_HTJvB6eDyQ66q59bbetq8InzoYkOoYdqmE52Ufoy83xPsJKyTisYMrUoY9S6oGeA3NrXy0_qpVaYQdab7Mr5ieXfwQ0TuLIJjvFmo1pkrVr55URrVIZSonw5zxcer2qJEryI5MHTjGfHK1cXtP5EclbwMHM8Yx', 'width': 4032}]",OPERATIONAL,4.2,503.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJMZvFkSfH5S0R2kNlunU1QqU
"V3JR+5HR, Pulau Pinang, Binuang, Tapin Regency, South Kalimantan 71183, Indonesia","{'location': {'lat': -3.1195149, 'lng': 115.0913914}, 'viewport': {'northeast': {'lat': -3.117556420107277, 'lng': 115.0921909}, 'southwest': {'lat': -3.120256079892722, 'lng': 115.0889929}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Cokelat Binuang,ChIJFd72y3XI5S0Rft1Pgf2gGDM,ChIJFd72y3XI5S0Rft1Pgf2gGDM,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104105945890856272175"">Naya Muslimah</a>'], 'photo_reference': 'AUGGfZkdM0JN3yqZmMfZBfnzPmRVEf50e7SxmaXrzUm-gfY6JWcfMlO-b7976Sd7xgt2G-3_Vt0rvWlcuz81rLcVcrwR2GGg3I73H92WgCYMq0m9N7efRgjiQsu1uzXxURqTNgpf-px-l7cYzlgAL8DOSCrm9Bvyksk38DIB4OnuaZo-pveA', 'width': 1520}]",OPERATIONAL,3.6,13.0,,,https://www.google.com/maps/place/?q=place_id:ChIJFd72y3XI5S0Rft1Pgf2gGDM
"5VMV+PGX, Batalas, North Candi Laras, Tapin Regency, South Kalimantan 71171, Indonesia","{'location': {'lat': -2.815722, 'lng': 114.89431}, 'viewport': {'northeast': {'lat': -2.814370020107278, 'lng': 114.8956058298927}, 'southwest': {'lat': -2.817069679892723, 'lng': 114.8929061701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhan kayu kacang batalas,ChIJ1yMBiqVV5C0RsYivBR6zntE,ChIJ1yMBiqVV5C0RsYivBR6zntE,"['tourist_attraction', 'point_of_interest', 'establishment']",,OPERATIONAL,0.0,0.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ1yMBiqVV5C0RsYivBR6zntE
"265W+M39, Linuh, Bungur, Tapin Regency, South Kalimantan 71153, Indonesia","{'location': {'lat': -2.990846, 'lng': 115.245231}, 'viewport': {'northeast': {'lat': -2.9869808, 'lng': 115.2459269798927}, 'southwest': {'lat': -2.9921344, 'lng': 115.2432273201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Talikur,ChIJBcLWiyW95S0RJQCiZJIzfNI,ChIJBcLWiyW95S0RJQCiZJIzfNI,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117007983824725876086"">A Google User</a>'], 'photo_reference': 'AUGGfZnqDMBcEaVGmeLK9wv57Su6nNlH6fMSBElXdzOjIG57xpLDTEqcCnTBpvQ-dbu6IsLFUWuznpXTX5qMeeHH2qVTEQsAdzw_wjuE9W4eAmhw0poTc6q__Lr3kRvwPwJdo9xuDo6kn4O7LdVkBjp1N7HdHyDkIpY1Jv9cUoNzYTyHnHsd', 'width': 3120}]",OPERATIONAL,5.0,4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJBcLWiyW95S0RJQCiZJIzfNI
"4W9M+6M7, Jl. Raya Margasari Hilir, Baringin, Kec. Candi Laras Sel., Kabupaten Tapin, Kalimantan Selatan 71162, Indonesia","{'location': {'lat': -2.881955, 'lng': 114.9341733}, 'viewport': {'northeast': {'lat': -2.880603320107277, 'lng': 114.9355264798927}, 'southwest': {'lat': -2.883302979892722, 'lng': 114.9328268201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DAS Sungai Nagara Kec.CLU,ChIJB0D34Lmr5S0RDVeMPGx7S1k,ChIJB0D34Lmr5S0RDVeMPGx7S1k,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117542384038491576860"">A Google User</a>'], 'photo_reference': 'AUGGfZlsn1B3OeaUnXSIv9knO47-l3GnYK8dk4ZFiyndAFo1T62mmzZboxz24Ix8XtTnbMkerY0UCotavUtxTWDWP9SKb3oIDyADzSurro_LfxbA5n1u3z5ewshh65O10_Dy20mi6FlwKWL2FOfM-FfzA96rKm8yxjWC1qp_OoVDSV9DUxf1', 'width': 1080}]",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJB0D34Lmr5S0RDVeMPGx7S1k
"X4RF+9R9, Rumintin, Tapin Selatan, Tapin Regency, South Kalimantan 71181, Indonesia","{'location': {'lat': -3.0090963, 'lng': 115.1246193}, 'viewport': {'northeast': {'lat': -3.007779870107278, 'lng': 115.1259629798927}, 'southwest': {'lat': -3.010479529892722, 'lng': 115.1232633201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kumlahau,ChIJK9ZfAAC75S0RDuxOrgfzWBs,ChIJK9ZfAAC75S0RDuxOrgfzWBs,"['tourist_attraction', 'point_of_interest', 'establishment']",,OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJK9ZfAAC75S0RDuxOrgfzWBs
"28F2+MG6, Buni'in Jaya, Piani, Tapin Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.9758375, 'lng': 115.3012656}, 'viewport': {'northeast': {'lat': -2.974438070107277, 'lng': 115.3026687798928}, 'southwest': {'lat': -2.977137729892722, 'lng': 115.2999691201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Riam Balu Desa Buniin Jaya,ChIJvYXIUwCX5S0RsHkhTaNy5wo,ChIJvYXIUwCX5S0RsHkhTaNy5wo,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118220859775644836298"">A Google User</a>'], 'photo_reference': 'AUGGfZlJWnLvuxfnEQpIcamfRlNm5kArBst6kfOP5_9pOkJyGsMQslUt6TwJDcChKjeUSMmhthQNVM3qMlkVODbfmCjG9xpZ5oQvWRdarydyY6Z8Jy-nTwypezikSXoaVNNgF9ItKRTPhdELRAmBbzQ6QKKO-JPqETUOZPVf23IdDYd0HW9-', 'width': 4096}]",OPERATIONAL,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJvYXIUwCX5S0RsHkhTaNy5wo
