formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,business_status,opening_hours,plus_code,permanently_closed,url
"Pasir muncang, Wanayasa, Purwakarta Regency, West Java 41117, Indonesia","{'location': {'lat': -6.692795299999999, 'lng': 107.5760765}, 'viewport': {'northeast': {'lat': -6.691480020107277, 'lng': 107.5772695298927}, 'southwest': {'lat': -6.694179679892721, 'lng': 107.5745698701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saunghibar Hillside Purwakarta,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108931183231002373615"">A Google User</a>'], 'photo_reference': 'AUGGfZkm5t-U_gLd2dC6Uqb9is5gYxT3qGb1WtwkPYkw6PUpPXB_2zPij7d_916ihZ37l0husRcXdO-7QVACz0-noQqe8p1_obE6AHnE7H6cvxRwcD5fzOiGuo7CaFiSAv0vn3iY_6AB54vYwtDO1F0Qj97p9Z1zvH4OXh6nfc5R1nyA7v6e', 'width': 3024}]",ChIJs1V4NNUfaS4Rp3e_2ZsomJY,4.9,ChIJs1V4NNUfaS4Rp3e_2ZsomJY,"['tourist_attraction', 'campground', 'lodging', 'park', 'point_of_interest', 'establishment']",60.0,OPERATIONAL,,"{'compound_code': '8H4G+VC Babakan, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P598H4G+VC'}",,https://www.google.com/maps/place/?q=place_id:ChIJs1V4NNUfaS4Rp3e_2ZsomJY
"8H48+324, Kp. Cileungsing, Wanayasa, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.694890099999999, 'lng': 107.5650658}, 'viewport': {'northeast': {'lat': -6.693656020107277, 'lng': 107.5665161798927}, 'southwest': {'lat': -6.696355679892721, 'lng': 107.5638165201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Ciburial wanayasa,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111016146300192061288"">Demang Fedi</a>'], 'photo_reference': 'AUGGfZnpe4IIE1UUSswjTZv6H2ohwyfOoD2zTYyzoYlCBglyXpHM7W6K_fSqPx4uVJ9thlyK3tYFZ94gEqoljQtjbh6joL_TwqjHwQF7THXHFHhl4p_ZNeDZZyfh8aeUYK-f1wWeuJW-MjZvhrWigCUVmJqneOYz9ygCyaMRwrpZBErmi8q5', 'width': 8000}]",ChIJk4KCVH8daS4Rj61fnYrwhb0,4.6,ChIJk4KCVH8daS4Rj61fnYrwhb0,"['tourist_attraction', 'point_of_interest', 'establishment']",46.0,OPERATIONAL,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJk4KCVH8daS4Rj61fnYrwhb0
"Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.6809806, 'lng': 107.5553391}, 'viewport': {'northeast': {'lat': -6.58047, 'lng': 107.596092}, 'southwest': {'lat': -6.736599, 'lng': 107.5088901}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wanayasa,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101947099448956456999"">A Google User</a>'], 'photo_reference': 'AUGGfZlnnn5Ol2P3kt1YY7d8DMXTzz6_-eJ4o8-r6nzjL-MSadMQ6I5xpxXdvP3z6DuOdeHIfn9RjLqWIZgLk3kzH85KEydPZKksmDrhJgaR5zvcY2s-WBXKfCMr1wEaRiCPQKJncEUA86IEQcKrNoDQlJNQf6BVZCIQRy08SHiztPzUCHt2', 'width': 3120}]",ChIJTQATz8AbaS4RMCBnNBuy-XE,,ChIJTQATz8AbaS4RMCBnNBuy-XE,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTQATz8AbaS4RMCBnNBuy-XE
"8HH3+VV7, Jl. Raya Gandasoli, Wanasari, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.670329000000001, 'lng': 107.5546641}, 'viewport': {'northeast': {'lat': -6.669379720107278, 'lng': 107.5556046}, 'southwest': {'lat': -6.672079379892722, 'lng': 107.5518426}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SAUNG RANGGON GANDASOLI,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106960791392811655110"">Heri Mulyawan</a>'], 'photo_reference': 'AUGGfZnMMWADaPgVU7NmRVsSq9w5wMbqCu4X50-1ltbyJJQw4lL1BoEVVdmYcE_KwLN_aa6-Xiz1H9-jSmDL7-lal4Hv_EpoocYrajPZ-H9Q-j6m7DP-5Ti4-_9WqfeHyIxOAAlKnLGKxjAHyKiVjwKOC9sAtY52z_ZQYQA_bh6a-Vt6I8yo', 'width': 3000}]",ChIJh6mU30sbaS4RPLOALrk6Thk,5.0,ChIJh6mU30sbaS4RPLOALrk6Thk,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,OPERATIONAL,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJh6mU30sbaS4RPLOALrk6Thk
"Jl. Raya Wanayasa RW No, RT.04/RW.13, Taringgul Tonggoh, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.6343355, 'lng': 107.5352832}, 'viewport': {'northeast': {'lat': -6.632896120107278, 'lng': 107.5366092298927}, 'southwest': {'lat': -6.635595779892721, 'lng': 107.5339095701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Porlak JaHe - GTK (Giri Tirta Kahuripan),"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107598040592467957294"">A Google User</a>'], 'photo_reference': 'AUGGfZnEF7kUKn0F6gqlzryn4TLdQCC-zxw0TdZ6o7AU0nMUYCubbiza1fdGwWOqxeZ9FbgO3UUI1kF-Vn63Dm-Syp6jBT1cUY2QkK40upj_v0VJWbMY_NhEf5PB6k56wiihqRvOza_ky70-aFjOv5jAMokl0mIgplj_Zu2OHETqMB8rBXA', 'width': 1512}]",ChIJ1TKmi1AaaS4RXXlcVrlwMKk,4.2,ChIJ1TKmi1AaaS4RXXlcVrlwMKk,"['campground', 'lodging', 'cafe', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",3987.0,OPERATIONAL,,"{'compound_code': '9G8P+74 Taringgul Tonggoh, Purwakarta Regency, West Java, Indonesia', 'global_code': '6P599G8P+74'}",,https://www.google.com/maps/place/?q=place_id:ChIJ1TKmi1AaaS4RXXlcVrlwMKk
"9G3M+795, Legokhuni, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.6468668, 'lng': 107.5334887}, 'viewport': {'northeast': {'lat': -6.645424620107278, 'lng': 107.5349219798927}, 'southwest': {'lat': -6.648124279892722, 'lng': 107.5322223201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balai Ternak Baznas Purwakarta,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112531865128319390484"">A Google User</a>'], 'photo_reference': 'AUGGfZmnYNSKPV73bAOOBDA0Q9zNUOC0LrzfS-cEa0Ps6oUI6_E_qbkMkztBt0cqFBCQ__0pWA5G79kyfwtitfU5MdXIOOQXD37yEP6li-WBUZFp9p9_onh1oXM0_cXlUH0loW1kBrH-B8ANJxQIc9QpGbKZRBDiTahVcsqifsfUQTnmHXaF', 'width': 2160}]",ChIJQYk7wLgbaS4RDMb10Wmd_oM,5.0,ChIJQYk7wLgbaS4RDMb10Wmd_oM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,OPERATIONAL,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJQYk7wLgbaS4RDMb10Wmd_oM
"7HX7+F45, Jl. Sumurugul, Cibuntu, Kec. Wanayasa, Kabupaten Purwakarta, Jawa Barat 41174, Indonesia","{'location': {'lat': -6.701371699999999, 'lng': 107.5628572}, 'viewport': {'northeast': {'lat': -6.699964420107278, 'lng': 107.5645442798927}, 'southwest': {'lat': -6.702664079892722, 'lng': 107.5618446201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebo Burangrang,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107911161795832495125"">ade haris</a>'], 'photo_reference': 'AUGGfZnSgJiDBgKS6eRuUZ0KclNO3SZI3HW6VYUFX56XnRPZZXL_9uqjeVjDf6wQJ_svKUgvMHeXZm3BdquafNZBFfr-6KcxQizf-rz1d3QaEtXTD71yiGGoxsth5uYqJOD18u8_zM9cvRk3ySCmFysuV6KHCGMrg2RD5RKGyOzfChZR-WVk', 'width': 4128}]",ChIJCx44wngdaS4RAEs3FluEBYA,4.7,ChIJCx44wngdaS4RAEs3FluEBYA,"['tourist_attraction', 'point_of_interest', 'establishment']",62.0,OPERATIONAL,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJCx44wngdaS4RAEs3FluEBYA
"7HF3+6WR, Cibuntu, Wanayasa, Purwakarta Regency, West Java 41174, Indonesia","{'location': {'lat': -6.726880599999999, 'lng': 107.554767}, 'viewport': {'northeast': {'lat': -6.725530770107278, 'lng': 107.5561168298927}, 'southwest': {'lat': -6.728230429892722, 'lng': 107.5534171701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Sula,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108906408653433608282"">A Google User</a>'], 'photo_reference': 'AUGGfZnv7ZSxxYg1cqY5was79szBe_oiMIuXcXEQvnynqL-y9MSA_hSuSYWJiv1Uwl55yXZdCfIDvHkOTp3OIJ6S_2-FZ0XZjBeVUCSStzBQfBqI7cVCOCOkEYBTzzH0IWKijNMVg2LW7ErGsiQocK1uBtHEQ7pLF2oFfqImDVcYpOravEDM', 'width': 3232}]",ChIJuVqmfiodaS4RnP24W-3IQpk,4.3,ChIJuVqmfiodaS4RnP24W-3IQpk,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJuVqmfiodaS4RnP24W-3IQpk
"9GC6+R2, Sukadami, Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.6278933, 'lng': 107.5101183}, 'viewport': {'northeast': {'lat': -6.626028570107278, 'lng': 107.5120993298927}, 'southwest': {'lat': -6.628728229892721, 'lng': 107.5093996701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Leuweung Tiis Salam,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108461835254238904891"">desi suherlina</a>'], 'photo_reference': 'AUGGfZnVr-D9cqZtFW-4VWFD0Po-4V_15SqJCKmLTGIBkCMu7b8y7Xb72VnI6osRqP6OdrSSbFSDlMCFDYzjKWWf86tQPOViBYncuvxfbQKcauwJIhF-LBG5GLFTdekkgk16EuNnYKjHs8ENcHAiBX2_aYrW__wzCyv1EmIV_tzYf3ncsIVg', 'width': 4080}]",ChIJI76mWf8baS4RiMETH_NqoVc,5.0,ChIJI76mWf8baS4RiMETH_NqoVc,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,,,,https://www.google.com/maps/place/?q=place_id:ChIJI76mWf8baS4RiMETH_NqoVc
"9G2P+C66, Legokhuni, Wanayasa, Purwakarta Regency, West Java, Indonesia","{'location': {'lat': -6.648954799999999, 'lng': 107.5355198}, 'viewport': {'northeast': {'lat': -6.647580470107278, 'lng': 107.5366463798927}, 'southwest': {'lat': -6.650280129892722, 'lng': 107.5339467201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BERKAH LANCAR FISHING,,ChIJCwbn0REbaS4R5uRI3Qg9e0U,5.0,ChIJCwbn0REbaS4R5uRI3Qg9e0U,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,OPERATIONAL,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJCwbn0REbaS4R5uRI3Qg9e0U
