User_Id,Location,Age,Preferences
189,"Cirebon, Jawa Barat",21,['point_of_interest']
190,"Subang, Jawa Barat",18,"['food', 'local_government_office', 'lodging', 'rv_park', 'cafe']"
191,"Karawang, Jawa Barat",32,['local_government_office']
192,"Purwakarat, Jawa Barat",37,"['amusement_park', 'bar', 'spa', 'place_of_worship']"
193,"Jakarta Utara, DKI Jakarta",20,"['spa', 'museum', 'travel_agency']"
194,"Jakarta Selatan, DKI Jakarta",31,"['store', 'food', 'travel_agency', 'tourist_attraction']"
195,"Jakarta Pusat, DKI Jakarta",29,['night_club']
196,"Bekasi, Jawa Barat",28,"['cafe', 'point_of_interest']"
197,"Bogor, Jawa Barat",27,['food']
198,"Karawang, Jawa Barat",26,"['local_government_office', 'place_of_worship']"
199,"Subang, Jawa Barat",18,"['cafe', 'place_of_worship']"
200,"Serang, Banten",34,"['bar', 'travel_agency', 'point_of_interest', 'rv_park']"
201,"Bekasi, Jawa Barat",21,"['cafe', 'tourist_attraction', 'travel_agency', 'bar']"
202,"Lampung, Sumatera Selatan",21,"['park', 'tourist_attraction', 'night_club']"
203,"Jakarta Utara, DKI Jakarta",24,"['store', 'food', 'establishment', 'travel_agency', 'bar']"
204,"Jakarta Selatan, DKI Jakarta",21,"['local_government_office', 'lodging', 'place_of_worship', 'bar']"
205,"Bandung, Jawa Barat",24,"['place_of_worship', 'local_government_office', 'establishment', 'spa']"
206,"Surabaya, Jawa Timur",30,['cafe']
207,"Bekasi, Jawa Barat",20,"['local_government_office', 'store', 'tourist_attraction', 'restaurant']"
208,"Yogyakarta, DIY",27,['travel_agency']
209,"Bogor, Jawa Barat",19,['food']
210,"Depok, Jawa Barat",18,"['night_club', 'establishment', 'tourist_attraction', 'travel_agency', 'park']"
211,"Jakarta Pusat, DKI Jakarta",22,['establishment']
212,"Jakarta Timur, DKI Jakarta",28,"['tourist_attraction', 'spa', 'place_of_worship']"
213,"Bekasi, Jawa Barat",20,"['amusement_park', 'place_of_worship', 'park', 'establishment']"
214,"Semarang, Jawa Tengah",30,"['lodging', 'park']"
215,"Yogyakarta, DIY",23,"['lodging', 'establishment']"
216,"Cirebon, Jawa Barat",28,"['travel_agency', 'lodging']"
217,"Lampung, Sumatera Selatan",20,"['amusement_park', 'bar', 'food', 'travel_agency', 'place_of_worship']"
218,"Semarang, Jawa Tengah",29,"['museum', 'bar']"
219,"Subang, Jawa Barat",24,"['establishment', 'lodging']"
220,"Jakarta Barat, DKI Jakarta",23,"['store', 'travel_agency', 'place_of_worship']"
221,"Bekasi, Jawa Barat",30,['cafe']
222,"Lampung, Sumatera Selatan",30,"['bar', 'night_club', 'lodging', 'tourist_attraction', 'spa']"
223,"Palembang, Sumatera Selatan",20,['travel_agency']
224,"Bogor, Jawa Barat",28,"['amusement_park', 'bar', 'park', 'tourist_attraction', 'cafe']"
225,"Sragen, Jawa Tengah",19,['food']
226,"Ponorogo, Jawa Timur",23,"['local_government_office', 'amusement_park', 'place_of_worship', 'store', 'museum']"
227,"Depok, Jawa Barat",25,"['night_club', 'local_government_office', 'restaurant', 'park']"
228,"Jakarta Selatan, DKI Jakarta",18,"['night_club', 'rv_park']"
229,"Bekasi, Jawa Barat",20,"['restaurant', 'rv_park', 'food', 'place_of_worship']"
230,"Ponorogo, Jawa Timur",20,"['point_of_interest', 'restaurant']"
231,"Sragen, Jawa Tengah",28,"['night_club', 'store', 'spa']"
232,"Klaten, Jawa Tengah",30,"['rv_park', 'store', 'cafe', 'local_government_office', 'place_of_worship']"
233,"Solo, Jawa Tengah",23,"['store', 'museum', 'cafe']"
234,"Tanggerang, Banten",27,['place_of_worship']
235,"Serang, Banten",18,"['tourist_attraction', 'rv_park', 'place_of_worship']"
236,"Cilacap, Jawa Tengah",23,"['point_of_interest', 'rv_park', 'cafe', 'amusement_park', 'museum']"
237,"Semarang, Jawa Tengah",20,"['lodging', 'local_government_office', 'restaurant']"
238,"Yogyakarta, DIY",30,"['cafe', 'travel_agency', 'rv_park']"
239,"Kota Gede, DIY",23,"['spa', 'lodging', 'bar']"
240,"Cirebon, Jawa Barat",22,"['store', 'point_of_interest', 'travel_agency']"
241,"Subang, Jawa Barat",20,"['museum', 'establishment', 'travel_agency', 'lodging']"
242,"Karawang, Jawa Barat",20,"['bar', 'local_government_office', 'place_of_worship', 'lodging']"
243,"Purwakarat, Jawa Barat",20,"['bar', 'museum', 'travel_agency']"
244,"Jakarta Utara, DKI Jakarta",27,"['place_of_worship', 'local_government_office', 'museum', 'store']"
245,"Jakarta Selatan, DKI Jakarta",27,"['museum', 'point_of_interest', 'cafe', 'establishment']"
246,"Jakarta Pusat, DKI Jakarta",28,"['tourist_attraction', 'rv_park', 'restaurant', 'lodging', 'bar']"
247,"Bekasi, Jawa Barat",28,"['night_club', 'local_government_office', 'travel_agency']"
248,"Bogor, Jawa Barat",29,['lodging']
249,"Karawang, Jawa Barat",19,"['lodging', 'night_club', 'bar']"
250,"Subang, Jawa Barat",27,"['cafe', 'store', 'tourist_attraction', 'food']"
251,"Semarang, Jawa Tengah",29,"['travel_agency', 'museum', 'spa', 'point_of_interest', 'local_government_office']"
252,"Bekasi, Jawa Barat",30,"['museum', 'restaurant']"
253,"Cirebon, Jawa Barat",34,"['museum', 'night_club', 'point_of_interest', 'tourist_attraction']"
254,"Bekasi, Jawa Barat",34,['spa']
255,"Lampung, Sumatera Selatan",30,['local_government_office']
256,"Jakarta Utara, DKI Jakarta",39,"['store', 'museum']"
257,"Jakarta Selatan, DKI Jakarta",25,['restaurant']
258,"Bandung, Jawa Barat",38,['restaurant']
259,"Surabaya, Jawa Timur",27,['park']
260,"Bekasi, Jawa Barat",33,['local_government_office']
261,"Yogyakarta, DIY",38,"['amusement_park', 'museum']"
262,"Bogor, Jawa Barat",38,"['bar', 'point_of_interest']"
263,"Depok, Jawa Barat",27,"['store', 'establishment', 'spa', 'night_club']"
264,"Jakarta Pusat, DKI Jakarta",37,"['lodging', 'park']"
265,"Jakarta Timur, DKI Jakarta",30,"['local_government_office', 'point_of_interest', 'park', 'bar', 'establishment']"
266,"Bekasi, Jawa Barat",32,"['place_of_worship', 'tourist_attraction']"
267,"Semarang, Jawa Tengah",31,"['point_of_interest', 'local_government_office', 'restaurant', 'park']"
268,"Yogyakarta, DIY",32,"['museum', 'cafe']"
269,"Cirebon, Jawa Barat",36,"['rv_park', 'tourist_attraction', 'lodging', 'bar', 'night_club']"
270,"Lampung, Sumatera Selatan",25,"['travel_agency', 'local_government_office', 'point_of_interest', 'night_club', 'tourist_attraction']"
271,"Semarang, Jawa Tengah",37,"['cafe', 'spa', 'local_government_office', 'park', 'rv_park']"
272,"Subang, Jawa Barat",30,"['lodging', 'museum', 'establishment', 'store', 'bar']"
273,"Jakarta Barat, DKI Jakarta",33,['bar']
274,"Bekasi, Jawa Barat",38,"['restaurant', 'food', 'amusement_park', 'museum', 'tourist_attraction']"
275,"Lampung, Sumatera Selatan",34,['food']
276,"Lampung, Sumatera Selatan",39,['tourist_attraction']
277,"Jakarta Utara, DKI Jakarta",29,"['amusement_park', 'local_government_office', 'travel_agency']"
278,"Jakarta Selatan, DKI Jakarta",40,"['rv_park', 'restaurant', 'museum', 'cafe', 'night_club']"
279,"Bandung, Jawa Barat",28,"['cafe', 'museum', 'lodging', 'park', 'establishment']"
280,"Surabaya, Jawa Timur",40,['place_of_worship']
281,"Bekasi, Jawa Barat",30,"['store', 'lodging', 'park']"
282,"Yogyakarta, DIY",39,"['spa', 'lodging', 'tourist_attraction', 'restaurant']"
283,"Bogor, Jawa Barat",37,"['amusement_park', 'travel_agency', 'bar', 'place_of_worship', 'local_government_office']"
284,"Depok, Jawa Barat",29,"['park', 'lodging', 'place_of_worship', 'point_of_interest', 'travel_agency']"
285,"Jakarta Pusat, DKI Jakarta",29,"['museum', 'park', 'local_government_office']"
286,"Jakarta Timur, DKI Jakarta",35,"['rv_park', 'store', 'spa', 'cafe', 'tourist_attraction']"
287,"Bekasi, Jawa Barat",27,"['bar', 'food']"
288,"Semarang, Jawa Tengah",30,"['store', 'establishment', 'museum']"
289,"Yogyakarta, DIY",35,"['rv_park', 'travel_agency']"
290,"Cirebon, Jawa Barat",34,['place_of_worship']
291,"Lampung, Sumatera Selatan",25,"['amusement_park', 'cafe', 'point_of_interest', 'food', 'restaurant']"
292,"Semarang, Jawa Tengah",29,"['establishment', 'amusement_park', 'travel_agency']"
293,"Subang, Jawa Barat",34,"['night_club', 'tourist_attraction', 'amusement_park', 'point_of_interest']"
294,"Jakarta Barat, DKI Jakarta",28,"['travel_agency', 'local_government_office', 'food']"
295,"Bekasi, Jawa Barat",31,"['bar', 'tourist_attraction']"
296,"Lampung, Sumatera Selatan",31,"['spa', 'amusement_park', 'establishment', 'rv_park']"
297,"Palembang, Sumatera Selatan",39,"['local_government_office', 'establishment', 'tourist_attraction', 'night_club']"
298,"Bogor, Jawa Barat",38,"['rv_park', 'point_of_interest', 'store']"
299,"Sragen, Jawa Tengah",27,['point_of_interest']
300,"Ponorogo, Jawa Timur",26,"['travel_agency', 'museum']"
