name,reviews,main_category,categories,rating,address,link,coordinates
Rumah Lebah Astuty,1,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"Jl. Pendidikan No.63 A, RT.002/RW.03, Cinangka, Kec. Sawangan, Kota Depok, Jawa Barat 16516",https://www.google.com/maps/place/Rumah+Lebah+Astuty/data=!4m7!3m6!1s0x2e69ef265792d1d5:0x53daf70d24a186a6!8m2!3d-6.3735159!4d106.7585985!16s%2Fg%2F11t8rv1082!19sChIJ1dGSVybvaS4RpoahJA332lM?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3735159, ""longitude"": 106.75859849999999}"
Masjid Kubah Emas Dian Al-Mahri Depok,12865,Masjid,"[""Masjid"", ""Tujuan Wisata""]",4.7,"Jl. Meruyung Raya, Meruyung, Kec. Limo, Kota Depok, Jawa Barat 16515",https://www.google.com/maps/place/Masjid+Kubah+Emas+Dian+Al-Mahri+Depok/data=!4m7!3m6!1s0x2e69ef282b03e03d:0x7a3c654ea43229d2!8m2!3d-6.3839091!4d106.7719375!16s%2Fg%2F11b6f1xhf_!19sChIJPeADKyjvaS4R0ikypE5lPHo?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3839090999999994, ""longitude"": 106.77193749999999}"
Taman Lembah Gurame,5905,Taman,"[""Taman""]",4.4,"Jl. Nangka Raya No.68, Depok Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432",https://www.google.com/maps/place/Taman+Lembah+Gurame/data=!4m7!3m6!1s0x2e69e95b06363469:0x1be3f336966e409a!8m2!3d-6.3945775!4d106.8089486!16s%2Fg%2F11b5qxwz1w!19sChIJaTQ2BlvpaS4RmkBuljbz4xs?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3945775, ""longitude"": 106.8089486}"
Taman Wisata Pasir Putih,5040,Pusat Rekreasi,"[""Pusat Rekreasi"", ""Tujuan Wisata"", ""Taman Rekreasi Air""]",4.3,"Jl. Garuda Raya No.1, RT.01/RW.07, Pasir Putih, Kec. Sawangan, Kota Depok, Jawa Barat 16519",https://www.google.com/maps/place/Taman+Wisata+Pasir+Putih/data=!4m7!3m6!1s0x2e69e9a4b53074df:0xa694f89f9e7ef1cb!8m2!3d-6.4330627!4d106.787352!16s%2Fg%2F11b6ggb1x3!19sChIJ33QwtaTpaS4Ry_F-np_4lKY?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4330627, ""longitude"": 106.787352}"
Taman Merdeka,4999,Taman Kota,"[""Taman Kota"", ""Taman"", ""Tujuan Wisata""]",4.4,"Jl. Merdeka No.1, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411",https://www.google.com/maps/place/Taman+Merdeka/data=!4m7!3m6!1s0x2e69ebebcf09a419:0x85d5c254bae9694d!8m2!3d-6.396849!4d106.8367608!16s%2Fg%2F11bx8qs61d!19sChIJGaQJz-vraS4RTWnpulTC1YU?authuser=0&hl=id&rclk=1,"{""latitude"": -6.396849, ""longitude"": 106.8367608}"
Green Lake View Waterpark,3260,Taman Rekreasi Air,"[""Taman Rekreasi Air"", ""Tujuan Wisata""]",4.3,"Jl. Rajabrana, Curug, Kec. Cimanggis, Kota Depok, Jawa Barat 16453",https://www.google.com/maps/place/Green+Lake+View+Waterpark/data=!4m7!3m6!1s0x2e69eb7446154601:0xb79f69bf09f3934!8m2!3d-6.3963844!4d106.8690167!16s%2Fg%2F11c1x22xqd!19sChIJAUYVRnTraS4RNDmf8Jv2eQs?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3963844, ""longitude"": 106.86901669999999}"
Taman Lembah Mawar,2729,Taman,"[""Taman"", ""Tujuan Wisata""]",4.5,"Jl. Mawar Raya, Depok Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432",https://www.google.com/maps/place/Taman+Lembah+Mawar/data=!4m7!3m6!1s0x2e69e95a743db47f:0x366fc5698e70d0de!8m2!3d-6.3922489!4d106.8100607!16s%2Fg%2F11dxb3sdfg!19sChIJf7Q9dFrpaS4R3tBwjmnFbzY?authuser=0&hl=id&rclk=1,"{""latitude"": -6.392248899999999, ""longitude"": 106.8100607}"
Danau Jambore,1664,Tujuan Wisata,"[""Tujuan Wisata"", ""Taman""]",4.5,"Jl. Buperta No.1, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454",https://www.google.com/maps/place/Danau+Jambore/data=!4m7!3m6!1s0x2e69eca53b80dff5:0x728f25cf867d8fa8!8m2!3d-6.3692125!4d106.8984361!16s%2Fg%2F11c6014vnb!19sChIJ9d-AO6XsaS4RqI99hs8lj3I?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3692125, ""longitude"": 106.8984361}"
Situ Rawa Besar Depok,1330,Tujuan Wisata,"[""Tujuan Wisata""]",4.5,"Jl. Pakis No.106, Depok Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432",https://www.google.com/maps/place/Situ+Rawa+Besar+Depok/data=!4m7!3m6!1s0x2e69e9578b0dc0d3:0x3ef7026405904fcf!8m2!3d-6.3918738!4d106.8160162!16s%2Fg%2F11c521pn_d!19sChIJ08ANi1fpaS4Rz0-QBWQC9z4?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3918738, ""longitude"": 106.81601619999999}"
Arina Waterpark,1186,Taman Rekreasi Air,"[""Taman Rekreasi Air"", ""Tujuan Wisata""]",4.0,"JPMC+QRH, Pd. Petir, Kec. Bojongsari, Kota Depok, Jawa Barat 16517",https://www.google.com/maps/place/Arina+Waterpark/data=!4m7!3m6!1s0x2e69e5f56a9285ed:0xc879273d2528f01a!8m2!3d-6.3655639!4d106.7221161!16s%2Fg%2F11b7q4s692!19sChIJ7YWSavXlaS4RGvAoJT0necg?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3655639, ""longitude"": 106.7221161}"
Setu Pengasinan,1173,Tujuan Wisata,"[""Tujuan Wisata""]",4.4,"HPHX+XRG, Jl. Setu Pengasinan Indah No.27, Pengasinan, Kec. Sawangan, Kota Depok, Jawa Barat 16518",https://www.google.com/maps/place/Setu+Pengasinan/data=!4m7!3m6!1s0x2e69e90f191d3cb3:0x3cb4f6b73d60f6e7!8m2!3d-6.4206933!4d106.7499217!16s%2Fg%2F11lh6bxstx!19sChIJszwdGQ_paS4R5_ZgPbf2tDw?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4206933, ""longitude"": 106.7499217}"
Taman Mekarsari,1041,Taman,"[""Taman"", ""Tujuan Wisata""]",4.5,"Jl. Bunga Raya No.22a, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat 16452",https://www.google.com/maps/place/Taman+Mekarsari/data=!4m7!3m6!1s0x2e69ec8a02a59555:0x8f97688f9db8245e!8m2!3d-6.364461!4d106.865693!16s%2Fg%2F1234zgjd!19sChIJVZWlAorsaS4RXiS4nY9ol48?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3644609999999995, ""longitude"": 106.865693}"
Taman Cibubur Ciraos Adib RS,843,Tujuan Wisata,"[""Tujuan Wisata"", ""Taman""]",4.4,"Jl. Pratidina No.6, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454",https://www.google.com/maps/place/Taman+Cibubur+Ciraos+Adib+RS/data=!4m7!3m6!1s0x2e69eca230bc44df:0x57fcb50d2fcea8c!8m2!3d-6.3729555!4d106.8906503!16s%2Fg%2F11c5rt24w3!19sChIJ30S8MKLsaS4RjOr80lDLfwU?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3729555, ""longitude"": 106.89065029999999}"
Setu Bojongsari,763,Tujuan Wisata,"[""Tujuan Wisata""]",4.4,"Gg. Enam No.88, Kedaung, Kec. Sawangan, Kota Depok, Jawa Barat 16516",https://www.google.com/maps/place/Setu+Bojongsari/data=!4m7!3m6!1s0x2e69e8cc9bc9a689:0x9595ff97c73d9624!8m2!3d-6.3853876!4d106.7566751!16s%2Fg%2F11cnbsy_rq!19sChIJiabJm8zoaS4RJJY9x5f_lZU?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3853876, ""longitude"": 106.7566751}"
Situ Sidomukti,511,Tujuan Wisata,"[""Tujuan Wisata""]",4.3,"HRMV+MG8, Sukmajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412",https://www.google.com/maps/place/Situ+Sidomukti/data=!4m7!3m6!1s0x2e69ebb67a2df40b:0x11e9b04ad0b5aa86!8m2!3d-6.4158384!4d106.843816!16s%2Fg%2F11crx85z40!19sChIJC_QterbraS4Rhqq10Eqw6RE?authuser=0&hl=id&rclk=1,"{""latitude"": -6.415838399999999, ""longitude"": 106.84381599999999}"
Hutan Pinus Cibubur,493,Tujuan Wisata,"[""Tujuan Wisata""]",4.5,"Jl. Al-Muzamil No.5, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454",https://www.google.com/maps/place/Hutan+Pinus+Cibubur/data=!4m7!3m6!1s0x2e69ed473470a613:0xcbeeda928e2d1aef!8m2!3d-6.3693522!4d106.9010335!16s%2Fg%2F11gy3m_wzh!19sChIJE6ZwNEftaS4R7xotjpLa7ss?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3693522, ""longitude"": 106.9010335}"
Setu Pengarengan Cisalak,402,Tujuan Wisata,"[""Tujuan Wisata""]",4.1,"JV95+F3G, Kali Cijantung, Cisalak, Kec. Sukmajaya, Kota Depok, Jawa Barat 16416",https://www.google.com/maps/place/Setu+Pengarengan+Cisalak/data=!4m7!3m6!1s0x2e69eb873fd31013:0x99ce329acaff0ecb!8m2!3d-6.3813011!4d106.8576951!16s%2Fg%2F11c1nc4vls!19sChIJExDTP4fraS4Ryw7_ypoyzpk?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3813011, ""longitude"": 106.8576951}"
Situ Sawangan Bojongsari,259,Tujuan Wisata,"[""Tujuan Wisata""]",4.3,"JQ75+R49, Sawangan Lama, Kec. Sawangan, Kota Depok, Jawa Barat 16517",https://www.google.com/maps/place/Situ+Sawangan+Bojongsari/data=!4m7!3m6!1s0x2e69e8cda5a8c039:0xb6ad8f753d2399a0!8m2!3d-6.3854515!4d106.7578746!16s%2Fg%2F11f3s5h7ck!19sChIJOcCopc3oaS4RoJkjPXWPrbY?authuser=0&hl=id&rclk=1,"{""latitude"": -6.385451499999999, ""longitude"": 106.7578746}"
Bangor Betta pedongkelan,255,Tujuan Wisata,"[""Tujuan Wisata""]",4.5,"Kp. areman, RT.05/RW.5, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16451",https://www.google.com/maps/place/Bangor+Betta+pedongkelan/data=!4m7!3m6!1s0x2e69ede3b598d66b:0x7b2bf31d0526d02e!8m2!3d-6.3488735!4d106.8561323!16s%2Fg%2F11hzpkj_gx!19sChIJa9aYtePtaS4RLtAmBR3zK3s?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3488735, ""longitude"": 106.8561323}"
Cagar Alam Depok,251,Cagar Alam,"[""Cagar Alam""]",4.7,"Jl. Raya Cagar Alam No.54, Pancoran MAS, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16436",https://www.google.com/maps/place/Cagar+Alam+Depok/data=!4m7!3m6!1s0x2e69e952020cebaf:0xfe0eb0ad1a948f31!8m2!3d-6.4076315!4d106.8140767!16s%2Fg%2F11ht9pcdc8!19sChIJr-sMAlLpaS4RMY-UGq2wDv4?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4076315, ""longitude"": 106.8140767}"
Setu cilangkap,137,Tujuan Wisata,"[""Tujuan Wisata""]",4.4,"HV26+W97, Jl. Setu Barat, Cilangkap, Kec. Tapos, Kota Depok, Jawa Barat 16458",https://www.google.com/maps/place/Setu+cilangkap/data=!4m7!3m6!1s0x2e69ebb95bc446c5:0xa10f0e1054848c3!8m2!3d-6.4477173!4d106.8609295!16s%2Fg%2F11lrvd3ny_!19sChIJxUbEW7nraS4Rw0hIBeHwEAo?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4477173, ""longitude"": 106.8609295}"
Tanah merah,123,Tujuan Wisata,"[""Tujuan Wisata""]",4.6,"Jl. Desa Cipayung Raya No.5, Cipayung Jaya, Kec. Cipayung, Kota Depok, Jawa Barat 16437",https://www.google.com/maps/place/Tanah+merah/data=!4m7!3m6!1s0x2e69e9278c1d5ccd:0xa35e2683988567b5!8m2!3d-6.436721!4d106.791907!16s%2Fg%2F11h_4_266k!19sChIJzVwdjCfpaS4RtWeFmIMmXqM?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4367209999999995, ""longitude"": 106.791907}"
Perkemahan Kampung Cemara Mas,80,Cagar Alam,"[""Cagar Alam"", ""Tujuan Wisata""]",4.4,"Jl. KH. Muhasan 2, Meruyung, Kec. Limo, Kota Depok, Jawa Barat 16515",https://www.google.com/maps/place/Perkemahan+Kampung+Cemara+Mas/data=!4m7!3m6!1s0x2e69e978da0c3dd5:0x840feb11cfed69e5!8m2!3d-6.3839964!4d106.7636048!16s%2Fg%2F11g1g9ysw7!19sChIJ1T0M2njpaS4R5WntzxHrD4Q?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3839964, ""longitude"": 106.7636048}"
Warung kopi depan Setu (Wadas),23,Tujuan Wisata,"[""Tujuan Wisata"", ""Toko kopi""]",4.8,"Bojongsari Lama, Kec. Bojongsari bojong sari, Setu, Kec. Sawangan, Kota Depok, Jawa Barat 16517",https://www.google.com/maps/place/Warung+kopi+depan+Setu+%28Wadas%29/data=!4m7!3m6!1s0x2e69e906da647de3:0x7c477a7dcf3d6462!8m2!3d-6.3889487!4d106.7516169!16s%2Fg%2F11n0tx5qnh!19sChIJ431k2gbpaS4RYmQ9z316R3w?authuser=0&hl=id&rclk=1,"{""latitude"": -6.388948699999999, ""longitude"": 106.7516169}"
Wisata Air Setu tujuh Muara Bojongsari,22,Tujuan Wisata,"[""Tujuan Wisata""]",4.9,"JQ52+R4H, Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat",https://www.google.com/maps/place/Wisata+Air+Setu+tujuh+Muara+Bojongsari/data=!4m7!3m6!1s0x2e69e908a24d8241:0xa201eddf485ad2ed!8m2!3d-6.3904284!4d106.7503618!16s%2Fg%2F11pvwj9gbr!19sChIJQYJNogjpaS4R7dJaSN_tAaI?authuser=0&hl=id&rclk=1,"{""latitude"": -6.390428399999999, ""longitude"": 106.7503618}"
Baba domba,20,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"Jl. Niim No.17 RT 05/09, Tanah Baru, Kecamatan Beji, Kota Depok, Jawa Barat 16426",https://www.google.com/maps/place/Baba+domba/data=!4m7!3m6!1s0x2e69ef1ce2e38b2d:0x310ef8e1204fa24e!8m2!3d-6.3673759!4d106.8007601!16s%2Fg%2F11q1vvdn9p!19sChIJLYvj4hzvaS4RTqJPIOH4DjE?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3673759, ""longitude"": 106.80076009999999}"
Wesel Depok,17,Tujuan Wisata,"[""Tujuan Wisata""]",4.9,"Jl. Parung Belimbing, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",https://www.google.com/maps/place/Wesel+Depok/data=!4m7!3m6!1s0x2e69e93bc7409b25:0x90215260ef62493a!8m2!3d-6.4073926!4d106.8164628!16s%2Fg%2F11qws84d61!19sChIJJZtAxzvpaS4ROkli72BSIZA?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4073926, ""longitude"": 106.8164628}"
Bakso Pikul Pak Slamet,15,Tujuan Wisata,"[""Tujuan Wisata""]",4.9,"Sukamaju, Kec. Cilodong, Kota Depok, Jawa Barat 16415",https://www.google.com/maps/place/Bakso+Pikul+Pak+Slamet/data=!4m7!3m6!1s0x2e69eb75fbc35b8f:0xa1e3af14d7d9fa11!8m2!3d-6.4163801!4d106.8551114!16s%2Fg%2F11jvgqdtmq!19sChIJj1vD-3XraS4REfrZ1xSv46E?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4163801, ""longitude"": 106.8551114}"
Cagar Budaya Rumah Blandongan,13,Tujuan Wisata,"[""Tujuan Wisata""]",4.9,"Duren Mekar, Kec. Bojongsari, Kota Depok, Jawa Barat",https://www.google.com/maps/place/Cagar+Budaya+Rumah+Blandongan/data=!4m7!3m6!1s0x2e69e9240011268d:0x5604ccd3b24e0fd7!8m2!3d-6.4133875!4d106.7422256!16s%2Fg%2F11ftl9xdh9!19sChIJjSYRACTpaS4R1w9OstPMBFY?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4133875, ""longitude"": 106.7422256}"
Kabul fishing,13,Tujuan Wisata,"[""Tujuan Wisata""]",4.8,"Jalan Asrama Cilodong Blok Niman No.56, RT.5/RW.3, Kalibaru, Kec. Cilodong, Kota Depok, Jawa Barat 16414",https://www.google.com/maps/place/Kabul+fishing/data=!4m7!3m6!1s0x2e69ebf4d884e30b:0xec92a5ac0916f5ae!8m2!3d-6.436727!4d106.836976!16s%2Fg%2F11lkd2ry_9!19sChIJC-OE2PTraS4RrvUWCaylkuw?authuser=0&hl=id&rclk=1,"{""latitude"": -6.436726999999999, ""longitude"": 106.83697599999999}"
Setu Tipar,11,Tujuan Wisata,"[""Tujuan Wisata""]",4.9,"Jl. Tipar Danau No.35, RT.1/RW.06, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat 16452",https://www.google.com/maps/place/Setu+Tipar/data=!4m7!3m6!1s0x2e69ede49244e4e5:0x9cde7feccbeb6b1e!8m2!3d-6.3564149!4d106.8680497!16s%2Fg%2F11ksq3d400!19sChIJ5eREkuTtaS4RHmvry-x_3pw?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3564149, ""longitude"": 106.8680497}"
Live music depok,9,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"JR2P+GCF, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411",https://www.google.com/maps/place/Live+music+depok/data=!4m7!3m6!1s0x2e69eb9e15314a63:0x6ca28f8b4261fe03!8m2!3d-6.3986862!4d106.8360449!16s%2Fg%2F11k6f58r44!19sChIJY0oxFZ7raS4RA_5hQouPomw?authuser=0&hl=id&rclk=1,"{""latitude"": -6.398686199999999, ""longitude"": 106.83604489999999}"
RPD,8,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"Masuk gg kelurahan ) lurus terus gajauh disamping TK ) Tanya orang kalo nyasar, Jl. Raya Pengasinan No.27, RT.03/RW.03, Pengasinan, Kec. Sawangan, Kota Depok, Jawa Barat 16518",https://www.google.com/maps/place/RPD/data=!4m7!3m6!1s0x2e69e93023f3c447:0x4be8cf1fd6f35975!8m2!3d-6.4233278!4d106.7537175!16s%2Fg%2F11srjfl3t2!19sChIJR8TzIzDpaS4RdVnz1h_P6Es?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4233278, ""longitude"": 106.7537175}"
PMC TELAGA DENOK,7,Tujuan Wisata,"[""Tujuan Wisata""]",4.9,"Jl. H. Nangsan, Rangkapan Jaya Baru, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16434",https://www.google.com/maps/place/PMC+TELAGA+DENOK/data=!4m7!3m6!1s0x2e69e92f1fb03473:0xa41fc01a823ede12!8m2!3d-6.4026577!4d106.7851011!16s%2Fg%2F11vlr76tmq!19sChIJczSwHy_paS4REt4-ghrAH6Q?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4026577, ""longitude"": 106.78510109999999}"
Rifaldy burung tekukur,7,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"Jl. Raya Muchtar No.38, RT.4/RW.1, Sawangan Baru, Kec. Sawangan, Kota Depok, Jawa Barat 16511",https://www.google.com/maps/place/Rifaldy+burung+tekukur/data=!4m7!3m6!1s0x2e69e9cf12fab4c5:0xb08db55ce2605132!8m2!3d-6.4048678!4d106.7657722!16s%2Fg%2F11vjl5d06v!19sChIJxbT6Es_paS4RMlFg4ly1jbA?authuser=0&hl=id&rclk=1,"{""latitude"": -6.4048678, ""longitude"": 106.7657722}"
Telaga Bojongsari,7,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat 16516",https://www.google.com/maps/place/Telaga+Bojongsari/data=!4m7!3m6!1s0x2e69e9cb4284900f:0xd3b1d0fcbdd22174!8m2!3d-6.398346!4d106.7459955!16s%2Fg%2F11n13fvbqm!19sChIJD5CEQsvpaS4RdCHSvfzQsdM?authuser=0&hl=id&rclk=1,"{""latitude"": -6.398346, ""longitude"": 106.74599549999999}"
Anaklaut Underwater Center,6,Tujuan Wisata,"[""Tujuan Wisata""]",5.0,"Jl. Al-Muawanah No.26, RT.02/RW.022 Sugutamu, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418",https://www.google.com/maps/place/Anaklaut+Underwater+Center/data=!4m7!3m6!1s0x2e69ed298a2c3b5d:0x9d990aac30ff8e14!8m2!3d-6.3761643!4d106.8481969!16s%2Fg%2F11rcwf1r6y!19sChIJXTssiintaS4RFI7_MKwKmZ0?authuser=0&hl=id&rclk=1,"{""latitude"": -6.3761643, ""longitude"": 106.84819689999999}"
Babeh Maggot BSF,6,Tujuan Wisata,"[""Tujuan Wisata""]",4.8,"Jl. H. Muhidin No.1, RT.3/RW.2, Cipayung Jaya, Kec. Cipayung, Kota Depok, Jawa Barat 16437",https://www.google.com/maps/place/Babeh+Maggot+BSF/data=!4m7!3m6!1s0x2e69e9e103e0e12f:0x8c6017af24963c08!8m2!3d-6.431715!4d106.7945083!16s%2Fg%2F11rjkbs5js!19sChIJL-HgA-HpaS4RCDyWJK8XYIw?authuser=0&hl=id&rclk=1,"{""latitude"": -6.431715, ""longitude"": 106.79450829999999}"
