business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,opening_hours,price_level,permanently_closed,url
OPERATIONAL,"JWRW+XH9, RT.003/RW.010, Jatirangga, Jatisampurna, Bekasi, West Java 17434, Indonesia","{'location': {'lat': -6.3575772, 'lng': 106.9464799}, 'viewport': {'northeast': {'lat': -6.356163420107279, 'lng': 106.9478697298927}, 'southwest': {'lat': -6.358863079892723, 'lng': 106.9451700701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan mang ata,ChIJ5TdS8H6TaS4RdxRNohvdFjk,,4.9,ChIJ5TdS8H6TaS4RdxRNohvdFjk,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114933884794256507763"">A Google User</a>'], 'photo_reference': 'AUGGfZlh1ixrm5QQvsVCUZ0NzNKKvOdwweOa93rfrUVZ9anDzM73zg0tBeO9v8L8F2_xwd8PzcLHiR14vk1Odqu6QpGWZ3dSCs1mMQYZcUB9CRYEdtIm2wjK94M2TuQyHK9RpcdlGEZsRA5AerBDNWmFLEs_QdlRCv7RqNoBwvsPE6MCTTOp', 'width': 4160}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ5TdS8H6TaS4RdxRNohvdFjk
OPERATIONAL,"Perumahan wahana pondok gede blok, Blk. N1 No.14, Kota Bks, Jawa Barat 17432, Indonesia","{'location': {'lat': -6.338375999999999, 'lng': 106.9395074}, 'viewport': {'northeast': {'lat': -6.337061220107278, 'lng': 106.9408508798927}, 'southwest': {'lat': -6.339760879892722, 'lng': 106.9381512201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haji plus,ChIJy_pt2G-TaS4R0fMZBpeHYDI,"{'compound_code': 'MW6Q+JR Jatiranggon, Bekasi, West Java, Indonesia', 'global_code': '6P58MW6Q+JR'}",0.0,ChIJy_pt2G-TaS4R0fMZBpeHYDI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104899685683092321237"">A Google User</a>'], 'photo_reference': 'AUGGfZngIQJD_xS9b4dtdUrmxR_10D0BoNzK3ta6L5KaxHYExQ4S5JxD68ki06kkPVeD30-kd6Y0nBLSx8R7f4sHImzqT4_lWJvrgS8rcEZMZTq-B1pIJ_C5KGWftIlGApSWfkmbli-rPxtJCe8D66cFjVnzk4zN1ch7c72APz6_3UgAzkP6', 'width': 3000}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJy_pt2G-TaS4R0fMZBpeHYDI
OPERATIONAL,"JWMF+5FH, Jl. Rw. Haur, Jatisampurna, Kec. Jatisampurna, Kota Bks, Jawa Barat 17433, Indonesia","{'location': {'lat': -6.367051, 'lng': 106.9237308}, 'viewport': {'northeast': {'lat': -6.365692970107277, 'lng': 106.9251111298927}, 'southwest': {'lat': -6.368392629892721, 'lng': 106.9224114701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN GALATAMA LELE TELAGA HAUT,ChIJu8v7ewCTaS4RUYxNCkeVbNs,,5.0,ChIJu8v7ewCTaS4RUYxNCkeVbNs,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJu8v7ewCTaS4RUYxNCkeVbNs
OPERATIONAL,"Gg. Cemp. No.1 6, RT.001/RW.006, Jatiranggon, Kec. Jatisampurna, Kota Bks, Jawa Barat 17432, Indonesia","{'location': {'lat': -6.3439481, 'lng': 106.9188704}, 'viewport': {'northeast': {'lat': -6.342695970107277, 'lng': 106.9202045798927}, 'southwest': {'lat': -6.345395629892721, 'lng': 106.9175049201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Mutiara Indah,ChIJ77mmShyTaS4RJVYaij9lI-Q,"{'compound_code': 'MW49+CG Jatiranggon, Bekasi, West Java, Indonesia', 'global_code': '6P58MW49+CG'}",5.0,ChIJ77mmShyTaS4RJVYaij9lI-Q,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110348058390530918432"">Agus ST</a>'], 'photo_reference': 'AUGGfZnXeqbtfNcn6JWaA3Fi1GTFwlbxsXXcK0ZvJFpXZKFVTJ8C7kYVZt6NNo0wGdh5vklLgnAo-D-lOTdUmy9btQLK2h_nQr5tqx91DVKJ4BNXaOmI1WqS4DisY6le6lJR6QVeUDeCRMqBTIVdz3TM2c2KmK7gjCfqujIA1hqlZ7K_w5mi', 'width': 3120}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ77mmShyTaS4RJVYaij9lI-Q
OPERATIONAL,"JWXX+6WR, RT.006/RW.006, Jatisari, Jatiasih, Bekasi, West Java 17426, Indonesia","{'location': {'lat': -6.3518595, 'lng': 106.9497669}, 'viewport': {'northeast': {'lat': -6.350527170107277, 'lng': 106.9511166298927}, 'southwest': {'lat': -6.353226829892721, 'lng': 106.9484169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan JALATUNDA (Batas Bogor Timur - Kota Bekasi),ChIJ2Y_wWreTaS4Ray92zhBayic,,4.6,ChIJ2Y_wWreTaS4Ray92zhBayic,"['tourist_attraction', 'point_of_interest', 'establishment']",21,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116210287966815943722"">A Google User</a>'], 'photo_reference': 'AUGGfZldNpLiE7XubEkKDkXYS8kY2T1FMtvXchFXkbzlslmDFAw58gt4t98QXADPv6_4tIlV-cvnndVy6zFHFD-WLFqvJYvvHUiY3cHMK__HFGttqmA2Zvct-cNCmuJrO5hVUZDOonKhODahEdmCbdqOk9q5wqcFOnvwuYbQbjsQqKrLPG3S', 'width': 4000}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ2Y_wWreTaS4Ray92zhBayic
OPERATIONAL,"Jl. Raya Kp. Sawah No.74, RT.006/RW.004, Jatimelati, Kec. Pd. Melati, Kota Bks, Jawa Barat 17446, Indonesia","{'location': {'lat': -6.3221085, 'lng': 106.9374695}, 'viewport': {'northeast': {'lat': -6.320766720107278, 'lng': 106.9387882298927}, 'southwest': {'lat': -6.323466379892722, 'lng': 106.9360885701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarang Bacil,ChIJqz_ita6TaS4Rb63Db5pDgFI,"{'compound_code': 'MWHP+5X Jatimelati, Bekasi, West Java, Indonesia', 'global_code': '6P58MWHP+5X'}",5.0,ChIJqz_ita6TaS4Rb63Db5pDgFI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqz_ita6TaS4Rb63Db5pDgFI
OPERATIONAL,"Jl. Pertamina B No.25, RT.002/RW.006, Jatiraden, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Indonesia","{'location': {'lat': -6.3533069, 'lng': 106.926289}, 'viewport': {'northeast': {'lat': -6.351951520107278, 'lng': 106.9277032298927}, 'southwest': {'lat': -6.354651179892722, 'lng': 106.9250035701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,D'RUSA RESTO,ChIJn1KeojmTaS4RyjeBJVEmBYw,"{'compound_code': 'JWWG+MG Jatiraden, Bekasi, West Java, Indonesia', 'global_code': '6P58JWWG+MG'}",4.2,ChIJn1KeojmTaS4RyjeBJVEmBYw,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",1114,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105916732181190506368"">Billy Wijaya</a>'], 'photo_reference': 'AUGGfZmrbKQAxVDvIiqNMqAC_1ENnHVpV90_vNc8iJXBLfdJDH9cV2VedoOqs_0MhblsslJEOHhkcjhdC_lnUpjddT5uBF-oyGwFns6HljquJqvgVvziFpLIRVPO6gIR-eizKOWaon9sovKXe2VVrFXe19mzMwzxvy18QHtJYeVa3zFgaBDs', 'width': 4160}]",{'open_now': False},2.0,,https://www.google.com/maps/place/?q=place_id:ChIJn1KeojmTaS4RyjeBJVEmBYw
OPERATIONAL,"Jl. Rasman, RT.002/RW.004, Jatimurni, Kec. Pd. Melati, Kota Bks, Jawa Barat 17415, Indonesia","{'location': {'lat': -6.3211257, 'lng': 106.9312975}, 'viewport': {'northeast': {'lat': -6.319870720107279, 'lng': 106.9326744798927}, 'southwest': {'lat': -6.322570379892722, 'lng': 106.9299748201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Koh Yapin,ChIJxfmdgp6TaS4RGri7Ii2cT8c,"{'compound_code': 'MWHJ+HG Jatimurni, Bekasi, West Java, Indonesia', 'global_code': '6P58MWHJ+HG'}",5.0,ChIJxfmdgp6TaS4RGri7Ii2cT8c,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118251341160774077016"">A Google User</a>'], 'photo_reference': 'AUGGfZn3yqtVmhzd1i8yC6xsui0ZVwUbBrgBKO2VecqiLgcTdwBI9M7vbDtCKti_QmDrOtQ62BD3XCw9OTlQg7_nNe6GxdVYjZajkhSdyakj104d6kFAocqbc1Srid6vNCIm3LDz5YtUVyUZbTeFdpcz1bM7dq7KU3RXQ07lKZSxoXBFQ9x2', 'width': 1920}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJxfmdgp6TaS4RGri7Ii2cT8c
OPERATIONAL,"MX95+736, Jl. Sirojul Munir, RT.005/RW.002, Jatisari, Kec. Jatiasih, Kota Bks, Jawa Barat 17426, Indonesia","{'location': {'lat': -6.3324341, 'lng': 106.9569793}, 'viewport': {'northeast': {'lat': -6.331084270107277, 'lng': 106.9583291298927}, 'southwest': {'lat': -6.333783929892721, 'lng': 106.9556294701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,rumah ketua bojong selatan,ChIJwaziOACTaS4RAESY5Mg6qD8,,0.0,ChIJwaziOACTaS4RAESY5Mg6qD8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwaziOACTaS4RAESY5Mg6qD8
OPERATIONAL,"Cluster Bananas Residence 1, Blk. B5 No.8, Jatikramat, Kec. Jatiasih, Kota Bks, Jawa Barat 17426, Indonesia","{'location': {'lat': -6.346828599999999, 'lng': 106.9359852}, 'viewport': {'northeast': {'lat': -6.345485170107278, 'lng': 106.9373336298927}, 'southwest': {'lat': -6.348184829892721, 'lng': 106.9346339701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sabah sengok way lakak,ChIJjfguOACTaS4R09OjPQBaF9M,"{'compound_code': 'MW3P+79 Jatikramat, Bekasi, West Java, Indonesia', 'global_code': '6P58MW3P+79'}",0.0,ChIJjfguOACTaS4R09OjPQBaF9M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJjfguOACTaS4R09OjPQBaF9M
OPERATIONAL,"Jl. Bulak Jawa Gg. Mataram No.5, RT.003/RW.003, Jatisari, Kec. Jatiasih, Kota Bks, Jawa Barat 17426, Indonesia","{'location': {'lat': -6.33967, 'lng': 106.956074}, 'viewport': {'northeast': {'lat': -6.337861820107279, 'lng': 106.9574608298927}, 'southwest': {'lat': -6.340561479892723, 'lng': 106.9547611701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Jambu ibu Zanibar,ChIJqwjTI8yTaS4RtCN7WhoxvnM,"{'compound_code': 'MX64+4C Jatisari, Bekasi, West Java, Indonesia', 'global_code': '6P58MX64+4C'}",0.0,ChIJqwjTI8yTaS4RtCN7WhoxvnM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqwjTI8yTaS4RtCN7WhoxvnM
