formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,price_level,url
"946G+W4R, Riit, Nita, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6376369, 'lng': 122.125275}, 'viewport': {'northeast': {'lat': -8.636134420107279, 'lng': 122.1266282298927}, 'southwest': {'lat': -8.638834079892723, 'lng': 122.1239285701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Foto Negri Di Awan Puncak KIMBUL,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106585376953318662895"">oswaldbl oswald</a>'], 'photo_reference': 'AUGGfZmhOSDaGnCJpaNXbThIN-NPC67xZlJB5ZA3CyzvUOoz41ILyeBCZCz9uRndZV7YkAfs1BR1UBVi7JFAnLVekbQy_fF1IVkCRDWP0ylXBDlpzhB8Z323f-cA3sNfrkKvHnT9kWHpGwG8FNbQN28k-zdQMFqLR0734SwzBcNrchPLn1gS', 'width': 2048}]",ChIJvfl_uToRrS0Rkpndx3BTscA,ChIJvfl_uToRrS0Rkpndx3BTscA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,5.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJvfl_uToRrS0Rkpndx3BTscA
"77X4+HX, Mekendetung, Kangae, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.7011293, 'lng': 122.257424}, 'viewport': {'northeast': {'lat': -8.699837520107277, 'lng': 122.2588189298927}, 'southwest': {'lat': -8.70253717989272, 'lng': 122.2561192701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Istana Raja Kangae,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101965752424862717879"">A Google User</a>'], 'photo_reference': 'AUGGfZkoHHWUN9jHc4pvJX15hWwRP4q2kMt0m5HyGALWLr94N4l4X5nbSn1WV-ZttCvqxwzew6EzyQPXAJUmdfSUvHyBv4x-ZasZExahM-L5xOvlbOK2RwkDevxrwMNZY5OFjyYP3p4XWMCro8rzZzf3fOf6ajFJLNkgN8OSLMB-YiDNf2kq', 'width': 3120}]",ChIJCYS4U6EZrS0RYkyc92rfYrg,ChIJCYS4U6EZrS0RYkyc92rfYrg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,6.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJCYS4U6EZrS0RYkyc92rfYrg
"F44J+JCM, Kolisia B, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.543410399999999, 'lng': 122.1310525}, 'viewport': {'northeast': {'lat': -8.542127120107276, 'lng': 122.1324499798927}, 'southwest': {'lat': -8.54482677989272, 'lng': 122.1297503201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Waturia,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105244314827196352336"">novel yushar yahya</a>'], 'photo_reference': 'AUGGfZmtC2hov1REUjPVEhOspwoYAFc7sMtcteckB3JmM0wXRhpCqomRMMl9xOUs72O5HklP3HEgx9nPMIN7QTmOHiZiE1pL8KaViTCsxxxMfFDtJQcv4Ohvi9tC-fMj64QfzVwV0_ARd3SOD-W_h07ryxeOVVqWonTIYFV0gG2ySjuh5kSM', 'width': 4032}]",ChIJSyU4I34PrS0RDc0XBSm8a-U,ChIJSyU4I34PrS0RDc0XBSm8a-U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,26.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJSyU4I34PrS0RDc0XBSm8a-U
"977C+6JC, Tanaduen, Kangae, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.636936700000001, 'lng': 122.2715211}, 'viewport': {'northeast': {'lat': -8.63587287010728, 'lng': 122.2728265798928}, 'southwest': {'lat': -8.638572529892723, 'lng': 122.2701269201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Galilea Bolawolon,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116418529643484863242"">A Google User</a>'], 'photo_reference': 'AUGGfZlhU6XZ0Pxk7T9Mie9wGS1fqMfHh7Ul_UeSCHjtdueUxYleRRotv2vfKWX4KWS7VE4eJ0kPOGYe3gnae_7qqA59SIXn7rDjJcYKZCN20FDQi3eZ22bx8JAk2VSFCnP02MOLg5jqJAoevqUTYiSwTgK7K9Ndn3KYfuPjnSofXpX6K4c', 'width': 2352}]",ChIJ7_rQZ_QfrS0RkkTT7rP9r7Y,ChIJ7_rQZ_QfrS0RkkTT7rP9r7Y,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7_rQZ_QfrS0RkkTT7rP9r7Y
"F3CQ+V8Q, Kolisia, Magepanda, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.527795, 'lng': 122.0883729}, 'viewport': {'northeast': {'lat': -8.526445170107278, 'lng': 122.0897227298927}, 'southwest': {'lat': -8.529144829892722, 'lng': 122.0870230701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nusa Kutu,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105432342470204594050"">Aga Bluenight</a>'], 'photo_reference': 'AUGGfZlXPzg7FKwGzuSJc0GNPQ8YfIL6SaFu6T448zCXSLM-8-oidZnqtCNVbn8dAWI5TTpf7x5kYSRKEo-Ml49EX24gyuL0RBGFWNEBjot89IG8QGICtf1_CDIQAkLFeuI-ikFCrZmoPIXAgA47Fs2VbE5HHKOnq_e-PMkTTMJiQ-3Z64kb', 'width': 4624}]",ChIJUxkhGn4OrS0RrOeUMUwNTAs,ChIJUxkhGn4OrS0RrOeUMUwNTAs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.4,30.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJUxkhGn4OrS0RrOeUMUwNTAs
"96M9+PGF, Uneng City, Alok, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.615693, 'lng': 122.2188003}, 'viewport': {'northeast': {'lat': -8.61435677010728, 'lng': 122.2198873298927}, 'southwest': {'lat': -8.617056429892724, 'lng': 122.2171876701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhan maumere,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102468606166217012552"">Lukman Mukti Wibowo</a>'], 'photo_reference': 'AUGGfZkmmQLCCcHfxZY158l4XmBTYNv437-yZXb2w09_lMvvsXbGdkCsKqHEFqqiLhv4gu6WeTZpFmJQC_GPtA0aeFgJMvA2yzvrSEzwuevgvtIgyczypRJ2hZf3WNaAHfw7rFRUhccp9XKtuIXcj6FIOsyKZBksrqcNdrhKn9W-sNgU9qkb', 'width': 1844}]",ChIJ08BJYnsbrS0R-QWo3fCKbRQ,ChIJ08BJYnsbrS0R-QWo3fCKbRQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.1,105.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ08BJYnsbrS0R-QWo3fCKbRQ
"8CPR+8RC, Nangatobong, Waigete, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6641908, 'lng': 122.4420153}, 'viewport': {'northeast': {'lat': -8.66284192010728, 'lng': 122.4433901798927}, 'southwest': {'lat': -8.665541579892723, 'lng': 122.4406905201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA ALAM EGON,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101782695393299003359"">Yanto dojja</a>'], 'photo_reference': 'AUGGfZn1mC1mzAePd-OGmrzlN13D5gNrpVu5xZ_AScdOjoICQQO21HDCBDL8s4hVgzV4cLNgZRKA1qpzRmeS4-czW9RE73pp55qIiZRyEzwBgDl7VQU2PJPLK2kgNO5xZx2wYlAclqUq3o4vYL1P-pfbMU0ZhrIzJ319mLYaeTGPC6qnl1jp', 'width': 4208}]",ChIJr7Ngq1zhrC0RjIYShAoqVtU,ChIJr7Ngq1zhrC0RjIYShAoqVtU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.6,14.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJr7Ngq1zhrC0RjIYShAoqVtU
"75RJ+3CG, Lela, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.709823499999999, 'lng': 122.1810639}, 'viewport': {'northeast': {'lat': -8.708645520107277, 'lng': 122.1824937298927}, 'southwest': {'lat': -8.71134517989272, 'lng': 122.1797940701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batik Wair,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106585376953318662895"">oswaldbl oswald</a>'], 'photo_reference': 'AUGGfZnD_a3r5on-Cz8Ke2s7gsqE_d9E6B1fLiT-64Ci5Iwyu3BhxNZkpkxuTf7oKLrJO4R7wY5riyDXFLyNZ4H3ACIH-84zSBNe4LgHhL7nQz7yvngpjSPi-bmGkvCTqkV_TzUj5nwlXIqJ_0wT9WbeL-Q0AsqOUHMId0n4KMyK3RvwUrCT', 'width': 5184}]",ChIJWeC5diAZrS0RiStJJm0jX4E,ChIJWeC5diAZrS0RiStJJm0jX4E,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.9,7.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJWeC5diAZrS0RiStJJm0jX4E
"Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.676617499999999, 'lng': 122.1291843}, 'viewport': {'northeast': {'lat': -8.1058678, 'lng': 122.6868669}, 'southwest': {'lat': -8.807056, 'lng': 121.6755091}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sikka Regency,"[{'height': 985, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117036497981337599000"">A Google User</a>'], 'photo_reference': 'AUGGfZlVnQ-z5aXNkUkfeZHMuOILsQ4W7iEWkfZEwSX0Ej6uZJBVRiXQwhYy7Kqvp6SJQ000b3XNfUY1KYqu15-2TNlmiVc0beZED4rYG8H5daFiX9VVkja9NBXBbsK2kB6adVW34e7AOBu9T-ptZbDBiAGnp4vYJcEckXVk2URQBDv1FwJZ', 'width': 1004}]",ChIJD1cfCSQGrS0RxqnmtaL6zpg,ChIJD1cfCSQGrS0RxqnmtaL6zpg,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJD1cfCSQGrS0RxqnmtaL6zpg
"85MM+9QC, jln raya maumere - ende, STFK Ledalero, Desa Takaplager, Kecamatan Nita, Nita, Flores, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6665543, 'lng': 122.1844025}, 'viewport': {'northeast': {'lat': -8.665247970107279, 'lng': 122.1857702798928}, 'southwest': {'lat': -8.667947629892723, 'lng': 122.1830706201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Bikon Blewut,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113902589363574360856"">A Google User</a>'], 'photo_reference': 'AUGGfZk23rFgaBQ_xvf2VScMOTtL5u0wwtgroGByGRiITnyTsYoDFL9nP0H8xV3uZvuKmcCq3P3eK8Vj8xr6Zv07vFTs1ZCuFKYcfOLc9cZ52-b5mdVI3oQFG2lPrc7_r42XgjC_ewrXw9TLg64aoHyNLEFDZlsJjZRchGBf_aCDzcojSvnl', 'width': 4000}]",ChIJmUS_TC0arS0R5kRq3Wd8XoY,ChIJmUS_TC0arS0R5kRq3Wd8XoY,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.1,91.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJmUS_TC0arS0R5kRq3Wd8XoY
"973X+MWJ, Namangkewa, Kewapante, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.645788699999999, 'lng': 122.2997589}, 'viewport': {'northeast': {'lat': -8.644452670107277, 'lng': 122.3005515798927}, 'southwest': {'lat': -8.647152329892721, 'lng': 122.2978519201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lahan Petani Cb,,ChIJI56ccAAfrS0Rt3XKRGRms8Q,ChIJI56ccAAfrS0Rt3XKRGRms8Q,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJI56ccAAfrS0Rt3XKRGRms8Q
"98HG+JW6, Wairbleler, Waigete, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6209733, 'lng': 122.3272725}, 'viewport': {'northeast': {'lat': -8.619641420107275, 'lng': 122.3308746}, 'southwest': {'lat': -8.622341079892719, 'lng': 122.3260718}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wairita Mieke colson,,ChIJBTOYpb0frS0R9EurhjyisLM,ChIJBTOYpb0frS0R9EurhjyisLM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJBTOYpb0frS0R9EurhjyisLM
