formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,rating,user_ratings_total,business_status,opening_hours,plus_code,url
"JV6C+JCM, Kebun Pisang, Badiri, Central Tapanuli Regency, North Sumatra 22617, Indonesia","{'location': {'lat': 1.6115805, 'lng': 98.87104459999999}, 'viewport': {'northeast': {'lat': 1.612735629892722, 'lng': 98.87268242989272}, 'southwest': {'lat': 1.610035970107278, 'lng': 98.86998277010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Badiri Lopian Dam,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105184516978635898866"">Evalinda Margaretha</a>'], 'photo_reference': 'AUGGfZn6rVBPISYLhc8pUVZLPCr5UfgfMlfgwa4-qLXzHK74ULMFKjUJ66VVjRd7pqDDJIMQcr7YDq7WxbelsiSdKDnDvjg3ZxWMn5N0ajIq3S5JLB-C-HKnnbrCn0bFrMCeeyrljNT-OxiHY6ur5M7efRuZRmVWYtNhZZuhKrPTjug_8kVw', 'width': 4000}]",ChIJT_u4yKiTLjARy8rfPhSwBoc,ChIJT_u4yKiTLjARy8rfPhSwBoc,"['tourist_attraction', 'point_of_interest', 'establishment']",4.8,13.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJT_u4yKiTLjARy8rfPhSwBoc
"RR44+63P, Unnamed Road, Rampa, Kec. Sitahuis, Kabupaten Tapanuli Tengah, Sumatera Utara 22618, Indonesia","{'location': {'lat': 1.8055824, 'lng': 98.8052084}, 'viewport': {'northeast': {'lat': 1.808844449999999, 'lng': 98.8087535}, 'southwest': {'lat': 1.80449505, 'lng': 98.8040267}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Rampa,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111771219943064416233"">Daeng Haris</a>'], 'photo_reference': 'AUGGfZn1G0I0NcvtKBuYCDeLN-5Fs7pGmD72tE8IUWqGSb6fLweVucIvRhayyoQ5B5-tXlLZ38Ka9nzwTmBqY3OR3mFqtDzciALnhvWSxLOV7QS8x5ckqCONb6nHlxhiEX5A4C8Nb8ZpCyGaIX2ldh076UZL0AOqLgXkrqUzEIWygraqBIpK', 'width': 3024}]",ChIJqVhjXpz1LjARW9LL27cpGVU,ChIJqVhjXpz1LjARW9LL27cpGVU,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,124.0,OPERATIONAL,{},,https://www.google.com/maps/place/?q=place_id:ChIJqVhjXpz1LjARW9LL27cpGVU
"Batu Leap, 22562, Simarpinggan, Kolang, Central Tapanuli Regency, North Sumatra 22563, Indonesia","{'location': {'lat': 1.9017324, 'lng': 98.6872978}, 'viewport': {'northeast': {'lat': 1.904317099999999, 'lng': 98.68864587989272}, 'southwest': {'lat': 1.900872700000001, 'lng': 98.68594622010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Dabuan Bodil,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106635274945048588538"">A Google User</a>'], 'photo_reference': 'AUGGfZm10EWoSED85SdD84Bq2c0Zbo_9AGcnGo-WIzDJEQX_6q6dNuo8b31dO_MdAB5aJUmkr_DLaCeREBsmho5PiVX0-9paqpunhARd2oVRASWOVlwsNg4CrqQmxxKuYMzAMwwaVYBH5cjgerKlqoEmSupP9uDTzjM-_dcHSAK-y-5RZvAP', 'width': 3120}]",ChIJ0f4iCTxaLjAR87nyY0eQpco,ChIJ0f4iCTxaLjAR87nyY0eQpco,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,35.0,OPERATIONAL,,"{'compound_code': 'WM2P+MW Simarpinggan, Central Tapanuli Regency, North Sumatra, Indonesia', 'global_code': '6MHWWM2P+MW'}",https://www.google.com/maps/place/?q=place_id:ChIJ0f4iCTxaLjAR87nyY0eQpco
"VRXR+F4J, Pahieme I, Sorkam Bar., Kabupaten Tapanuli Tengah, Sumatera Utara 22563, Indonesia","{'location': {'lat': 1.8987026, 'lng': 98.8402682}, 'viewport': {'northeast': {'lat': 1.89967995, 'lng': 98.84101422989272}, 'southwest': {'lat': 1.89577055, 'lng': 98.83831457010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panatapan Lobunahot,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110615562397072701169"">Pirhot Tobing</a>'], 'photo_reference': 'AUGGfZnPHvmBAFy5C_6ecwI0QhA8Ja-sUAjHUd2DWJzgBXzv_tMx2Vwgz5asN0dfiP8909JB9QYGbWCLjteq1GeakXSwbJwOCcDKTD8YnljPr8RSCid2YIJRSflep9yoCAlOAwTI_eoM_QD-uzXtjyXnWG2WiHGnwzloDoxaLXXZ_COWG5iY', 'width': 3120}]",ChIJJTLz255nLjARlHDNmHhQzSU,ChIJJTLz255nLjARlHDNmHhQzSU,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,3.0,OPERATIONAL,,,https://www.google.com/maps/place/?q=place_id:ChIJJTLz255nLjARlHDNmHhQzSU
"WGR6+F4, Sosor Gadong, Central Tapanuli Regency, North Sumatra, Indonesia","{'location': {'lat': 1.9411875, 'lng': 98.5103125}, 'viewport': {'northeast': {'lat': 1.942708079892722, 'lng': 98.51172567989272}, 'southwest': {'lat': 1.940008420107278, 'lng': 98.50902602010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata pantai Talawa,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109901340952752642316"">A Google User</a>'], 'photo_reference': 'AUGGfZlJeKoQZR_pSVwumKMOQr3GIMHaLVSTjwlrpX9z4hu8wXUkguWi6ihrr0O6D0Y7p9DXbJh6I0kPqAxk-DYTq4uB8-v2pHerlHYZO26znUFgcYj_nmv6Gf0w5punn82Wnb6tTQ-CHw71cVjAkDbW-WsFG6xez2R-5JsvqV3_2aSK8ygL', 'width': 720}]",ChIJc3cMpvhTLjAR-Qt5SvMt-l0,ChIJc3cMpvhTLjAR-Qt5SvMt-l0,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,OPERATIONAL,,,https://www.google.com/maps/place/?q=place_id:ChIJc3cMpvhTLjAR-Qt5SvMt-l0
"QR38+57F, Sarudik, Central Tapanuli Regency, North Sumatra 22611, Indonesia","{'location': {'lat': 1.7529376, 'lng': 98.8156834}, 'viewport': {'northeast': {'lat': 1.754287429892722, 'lng': 98.81703322989271}, 'southwest': {'lat': 1.751587770107278, 'lng': 98.81433357010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun Holong,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100949388462025186587"">Erick Tulus</a>'], 'photo_reference': 'AUGGfZn42i1qjsYj5vbLRB-VO7tCrvtoev9-wm71oov-vRUlGnpwKx6zAPKOyr7rE1S0kJLPXET4i7cwLG4DYSgrhwqhR6_NeS_Phg_iQSNqOus5Qq5zY6_kansXP6pW7ADk_VnM7g1YIlG-iJk37WhFSsccFMs-y0_iSMrsMlNPla79GVpt', 'width': 3072}]",ChIJNWVHrPT1LjARApyGmv5KQjA,ChIJNWVHrPT1LjARApyGmv5KQjA,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,OPERATIONAL,,,https://www.google.com/maps/place/?q=place_id:ChIJNWVHrPT1LjARApyGmv5KQjA
"VHQ4+M7V, Binasi, Sorkam Barat, Central Tapanuli Regency, North Sumatra 22563, Indonesia","{'location': {'lat': 1.8892277, 'lng': 98.5556778}, 'viewport': {'northeast': {'lat': 1.891075279892722, 'lng': 98.55756337989271}, 'southwest': {'lat': 1.888375620107277, 'lng': 98.55486372010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lembaga Konservasi Penyu Tapteng,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105446323998427108614"">Maecenas adhara donnya</a>'], 'photo_reference': 'AUGGfZlqL1metzX7WHyFHr6BXTxJjvTJ8iNL9b66xEUWdNKZdYKYBmGrCgZ4JVe4oYAY0he2uXIGRUxzZwZzEXw1ZVMEByJRYaefaRIglP3qg1afF9BKKvLSpkM2gAjzo33srmQEYf1nq5xj5RP57PgYGLoYPbGRkN2Wgc4ranY8zMKrr9_a', 'width': 1280}]",ChIJf5qZCtxTLjAR1SWmn7TpIvM,ChIJf5qZCtxTLjAR1SWmn7TpIvM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.9,14.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJf5qZCtxTLjAR1SWmn7TpIvM
"XFHG+5J6, Barambang, Sosor Gadong, Central Tapanuli Regency, North Sumatra 22564, Indonesia","{'location': {'lat': 1.9779025, 'lng': 98.4765154}, 'viewport': {'northeast': {'lat': 1.979646679892722, 'lng': 98.47818677989272}, 'southwest': {'lat': 1.976947020107278, 'lng': 98.47548712010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pal 7,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112255612146720594951"">Rosalin Manalu</a>'], 'photo_reference': 'AUGGfZkXB3IIbpxUE5cOsVwC4sCpGbQ0OWC1L_u4-mFqj2XgJLXVSlgnOpEcZv2X8JSOaP-vfbrJEwz8HbHFnBK9yfnuGDR-a8EntMbBfQfUF4QXtDwgMCbc_VDbUDLgg_m1kbQoA_BRasofNvi6ENMy-bW7NkC-kViFkFS_JeC1MeAssCwg', 'width': 4160}]",ChIJkVwOjcRSLjARdEasWAPFfic,ChIJkVwOjcRSLjARdEasWAPFfic,"['tourist_attraction', 'point_of_interest', 'establishment']",4.4,46.0,OPERATIONAL,{},,https://www.google.com/maps/place/?q=place_id:ChIJkVwOjcRSLjARdEasWAPFfic
"MR4J+MF6, Hajoran, Pandan, Central Tapanuli Regency, North Sumatra 22611, Indonesia","{'location': {'lat': 1.6566578, 'lng': 98.83114499999999}, 'viewport': {'northeast': {'lat': 1.65742465, 'lng': 98.83293252989272}, 'southwest': {'lat': 1.65435725, 'lng': 98.83023287010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pantai Batu Gajah, Hajoran","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103459624781131549655"">syahrial amri</a>'], 'photo_reference': 'AUGGfZkMnQuHr_en_ZWeJ91ycfH6LhlAF3wMUFEjjEljBgP-XuUZ5Wf3l6pibBAqruV744Jnvo-ZVSY9UBkN8icTrW8SxEYZbNhJlMDFkM8RjS0TP43PtzQExk8Fxdu88MlC4kXUAIOwb8vN_K9s57Vwy7gOLv002MyBeBZcC538kOYnyKNN', 'width': 3264}]",ChIJh0J9BKryLjARH7tjjKakLUM,ChIJh0J9BKryLjARH7tjjKakLUM,"['tourist_attraction', 'point_of_interest', 'establishment']",4.3,274.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJh0J9BKryLjARH7tjjKakLUM
"HHVM+WFF, Tapian Nauli I, Tapian Nauli, Central Tapanuli Regency, North Sumatra 22618, Indonesia","{'location': {'lat': 1.5948168, 'lng': 98.58366670000001}, 'viewport': {'northeast': {'lat': 1.596166629892722, 'lng': 98.58501652989273}, 'southwest': {'lat': 1.593466970107278, 'lng': 98.58231687010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pulau Sitaban Barat,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102832527225517586379"">olan zul</a>'], 'photo_reference': 'AUGGfZmFBtUB3tWO-1dSAWmoToDbSHlthsgcq4gWEzVTYSZjbsXj4bUI7zge3XtB2fqNBrwxEVksQNaao7fWLEyHPDiSEfHxdD105zR85PK6Qr8NjY_rJ-UW095FjU6TCHQiWrTfJ010VCPWocSyjUqKhQx4J5bF4euiOHcp1jsjqXtNsmXG', 'width': 4160}]",ChIJceJp-BHkLjARsYVLWPSJj4o,ChIJceJp-BHkLjARsYVLWPSJj4o,"['tourist_attraction', 'point_of_interest', 'establishment']",4.2,11.0,OPERATIONAL,,,https://www.google.com/maps/place/?q=place_id:ChIJceJp-BHkLjARsYVLWPSJj4o
"JR2C+579, Badiri, tapamulitengah, Sumatera Barat, Indonesia","{'location': {'lat': 1.6004016, 'lng': 98.82074449999999}, 'viewport': {'northeast': {'lat': 1.601738079892722, 'lng': 98.82215647989271}, 'southwest': {'lat': 1.599038420107278, 'lng': 98.81945682010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman rekreasi,,ChIJByMg0xjtLjARZaTPGm1_Aq4,ChIJByMg0xjtLjARZaTPGm1_Aq4,"['tourist_attraction', 'point_of_interest', 'establishment']",3.3,3.0,OPERATIONAL,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJByMg0xjtLjARZaTPGm1_Aq4
