formatted_address,name,place_id,types,rating,user_ratings_total,photos,lat,lng
"Btn cipta mandiri II, Marti Guna, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78618, Indonesia",Open trip dan private trip gunung bukit raya jalur sintang,ChIJ605Hvjwf_jERssg5pxEnaRg,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100180215780418447237"">A Google User</a>'], 'photo_reference': 'AUGGfZk-W_LfWwwo0eVxx61kpwAaXwfKHWtQbP04giXRQSOwCp4eAphquo_kDHxM4KR9nddUcfHQXhYNj4lgNgjLT-SM2zWtoZxPtpNvM-5HR_0CUyHx2QcyM_I6hSFB-4wh4pvJZZwNlOEN2iG09j2zSPEohGERSw2mApI1lMLWbtTZ6Xuf', 'width': 4032}]",0.0398018,111.4750695
"X76R+XF, Nanga Bayan, Ketungau Hulu, Sintang Regency, West Kalimantan, Indonesia",Villa Pak lgas,ChIJLcCaGgC7_jERGnzK7MgC-hE,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,2.0,"[{'height': 2464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114677951793024048447"">Hian Liong</a>'], 'photo_reference': 'AUGGfZnmae6KO_joE7iB4Goo6FxEPxlcjPxFZfWH4nrLgwj-4kz9g6k3o3AezKUlNk4jhpDty3Y--O4Ci5XLNPZtCwwj9pwk2yAa_bqWNpsjEgPN8s9GtyS7cTA3JLzPOsBUcdIAhx3res7nkph4t7BlqoXcZ7xKkSww5JgU6bBoHlSAfP0', 'width': 3280}]",0.9624174999999999,111.2911552
"3FMR+7MF, Kapuas Kiri Hulu, Sintang, Kapuas Kiri Hilir, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613, Indonesia",Museum Dara Juanti Sintang,ChIJ236RNREi_jERXC16RCWYJJE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",4.3,130.0,"[{'height': 958, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107406833333978105248"">Hafidh Yusril</a>'], 'photo_reference': 'AUGGfZnn1ES0IeTk7QwFxXMQe6kcV5kFkmUsviiP1UlXvOmwcShHKdr35v_B6A5NJQSRZWtVyj4NhpLwl6dguSv1QdRoBUzwIGSEVYU2_ug2qSCxTbYT4LRw-X91mTnT51BEiitapk96K9fniZMCsg-i_cBQMW8JI6A2HBiWNm1-byGseLez', 'width': 1500}]",0.083184,111.4916587
"3G22+VHM, Baning Kota, Sintang, Sintang Regency, West Kalimantan, Indonesia",Lebak bali,ChIJ9RQqJAAh_jERKTPQLA05WWo,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118393694732381928857"">Mastoyo 513</a>'], 'photo_reference': 'AUGGfZnBssWMYm798eZRdp_0nAuA8e5UtVtwtKnO2oHSl3et2jVh86UCuRY2n33R4oLkEEPhRpAI24RDb2fjXekxHh3kwNx3YYGW3G4-wopVcJ0kkqUIx8GC-vvsfgO_ePs_oZ4wCJyQwHfNT74g-5LWaDSbSTZ6p19gWALPMhK3ZXmjdFMk', 'width': 1080}]",0.0522082,111.5014267
"3GG4+VG7, Jalan Alambawa, Tj. Puri, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78614, Indonesia",Rumah Betang Kobus,ChIJLWtqkSQi_jERo60YdmIATac,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,177.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102648348081269538026"">A Google User</a>'], 'photo_reference': 'AUGGfZmzJjQWwwY_94eIYSAJuG9ureHtF36EQ9xcTq7M5Kb3VUIfMdv7Vgs-PLEn6U8AEToIHep6hgwykWiIPUlNHPDmSS0AaaKK7WYgXfI8_BkhWEl6DlZZzjae2KuRix88HErhw0XNh-zqO3JeJEkGvbBw9pdNry89qBprPb77nArLIpn7', 'width': 4160}]",0.07711169999999999,111.5063153
"94FC+9J, Bime, Pegunungan Bintang Regency, Papua, Indonesia",Puncak Maha Gonang,ChIJT4VQRmGZQGgRu-doeuIBHm0,"['place_of_worship', 'point_of_interest', 'establishment']",5.0,3.0,,-4.6265502,140.1215795
"Jl. Kembar, Kalibobo, Distrik Nabire, Kabupaten Nabire, Papua 98818, Indonesia",Manase Beach,ChIJ_cYytWSjH2gR2SOmw1EnTv8,"['tourist_attraction', 'point_of_interest', 'establishment']",4.4,313.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109181607118321139806"">Farrel Minnezco</a>'], 'photo_reference': 'AUGGfZk0bbBJfxexoFs8oz7R0qC9U0j4abqE6c819UsNe4BmeaZDW007yTLAvuuUp6wTZ46C7JLZQZbs8kBVALh_rp-YwitGmdPCdfChzLHX10Q3U_Dp6JeDVuEcNffSGedxboRtz4knK-wxeelM5sb3iOKZ8A1QDQ6pWfwrodkuZCill-jT', 'width': 4608}]",-3.3702062,135.477506
"Unnamed Road, Tlk. Kimi, 98818, Air Mandidi, Distrik Tlk. Kimi, Kabupaten Nabire, Papua 98818, Indonesia",Pantai Monalisa,ChIJa86NrVuoH2gRLKc-RDsbwEI,"['tourist_attraction', 'point_of_interest', 'establishment']",4.1,85.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106675863245688803119"">maulana pradika</a>'], 'photo_reference': 'AUGGfZlNKZXN7R1CdKKtqnMSwdAFVq59J-Rgo03aKCdsUwsbgZdnlMAAvbB0ezbWov1I23KvFHJAqR_46h3NRRz99-8R0-vfcEJt7OxoGReAbwiUwXP1S_qJIMpf9wmS9DeZPPbB9sThV8vxDiQzBLwxvZJQoFQaPTGcAJBydpRfiZKjs5vE', 'width': 4000}]",-3.24126,135.5694583
"PHQ4+P7G, Lani, Teluk Kimi, Nabire Regency, Papua 98817, Indonesia",Pantai Sirih Nabire Papua,ChIJ5fN-TlCnH2gRPfJMyT-yxzc,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,1.0,"[{'height': 1352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111614362485719139410"">Bboy Ichang</a>'], 'photo_reference': 'AUGGfZlc6gRCgj1EkJhmaBfJr8UfUF2d98MiTYl0KS48e5e8fso9-sSyms0SssIN8-eegfYcxW0omBcSzwBoy31Jz07jfk4b3ukxQogB6rnjwktZHqSTb88WTmWdAAXU7gPQ3XaC8YlrG7czV_yLevHfzw01QXT8ZWQOuLjIsVw3nYEUqFY9', 'width': 1080}]",-3.2606941,135.5556934
"JGR2+972, Jl. Merdeka, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811, Indonesia",Tugu Cendrawasih,ChIJ9wlPy0OiH2gR7cxquPzG7Hk,"['tourist_attraction', 'point_of_interest', 'establishment']",4.2,320.0,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111930655327173270027"">irianto sa</a>'], 'photo_reference': 'AUGGfZkXUZsHkJ78YYeMNdjUmKPfUSierZe4gYmbWu8Qts-wyI73K7LAZ_jwUZkAjrIcOmUt5Po4r21bwL1XDLlYDwR_w7NRvuBeVTIJaGznsJCytTKzl3w1xGA7VkOtBgNcikbk5M_WOQ4aD4376xcj3J_ddmfl16KtqT0uQKPwtPrAqnJj', 'width': 3264}]",-3.3591183,135.500636
"525P+W7, Kurudu, Pulau Kurudu, Yapen Islands Regency, Papua 98252, Indonesia","Pantai Makoi Kurudu, Papua",ChIJOc0uGwDNGmgRlB1up_0PsSE,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,0.0,,-1.8389259,137.0354724
