formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,rating,user_ratings_total,plus_code,price_level,permanently_closed,url
"XRV8+Q9F, Perjuangan, Teluk Nibung, Tanjung Balai City, North Sumatra 21352, Indonesia","{'location': {'lat': 2.9944454, 'lng': 99.8159164}, 'viewport': {'northeast': {'lat': 2.9954786, 'lng': 99.81747677989273}, 'southwest': {'lat': 2.991345799999999, 'lng': 99.81477712010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Pasir Timbul,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101940438605634055496"">Ismail Amnur</a>'], 'photo_reference': 'AUGGfZlLND6qYKnYmk55Rr-p6USO_I9jnQclqRDoHSGhVGB2rYszLuoNw-AwmYKhVsq5IiM4jnj9ei8cFDZbT8XObTGC4pekzl4WMaV_BGEKxPhcJlZSPGwYMTtGf6zVeO4tbycBHVL0YZXxHrwFsMWXNBWUtUih83CCO-qfQ4knMPRfp8Aj', 'width': 4608}]",ChIJtcBbpbJVMjARH9JyX-8k8MY,ChIJtcBbpbJVMjARH9JyX-8k8MY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.0,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJtcBbpbJVMjARH9JyX-8k8MY
"XQHW+52M, Muara Sentosa, Sei Tualang Raso, Tanjung Balai City, North Sumatra 21333, Indonesia","{'location': {'lat': 2.9780263, 'lng': 99.7956698}, 'viewport': {'northeast': {'lat': 2.979416279892722, 'lng': 99.79704207989272}, 'southwest': {'lat': 2.976716620107277, 'lng': 99.79434242010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kuantang,,ChIJMcvYFQBTMjARxJPYBFOZlpI,ChIJMcvYFQBTMjARxJPYBFOZlpI,"['lodging', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJMcvYFQBTMjARxJPYBFOZlpI
"XR9F+HXJ, Sei Serindan, Sei Kepayang Barat, Asahan Regency, North Sumatra, Indonesia","{'location': {'lat': 2.9689534, 'lng': 99.82489679999999}, 'viewport': {'northeast': {'lat': 2.970360429892722, 'lng': 99.82628277989271}, 'southwest': {'lat': 2.967660770107277, 'lng': 99.82358312010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,COCONUT GARDEN,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100148599195336936745"">A Google User</a>'], 'photo_reference': 'AUGGfZl2hx3GySDDRMV-WJx-wlvM0Y73Wru8cBdNxcoVhskoucA5iGqSylhZU-6T5ayz-TLl-a86zC-oV6qBqa0dcB86L1bIX6l3dIZvMTPn8JcY2w3tbifW35VoGn2HfP26Ykl74o1ymrkTkCRWoc0Ja76TPobN7IrMKGPl3BPVw-_351Gp', 'width': 1080}]",ChIJl_dcaABXMjARV-kWo-FTmVw,ChIJl_dcaABXMjARV-kWo-FTmVw,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.7,7.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJl_dcaABXMjARV-kWo-FTmVw
"XQ8X+98H, Pantai Burung, South Tanjungbalai, Tanjung Balai City, North Sumatra, Indonesia","{'location': {'lat': 2.9659488, 'lng': 99.79835059999999}, 'viewport': {'northeast': {'lat': 2.967296729892722, 'lng': 99.79970397989271}, 'southwest': {'lat': 2.964597070107277, 'lng': 99.79700432010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tangkahan tanjung balai,,ChIJj-k7BC5RMjAR-EZj8HD_0cI,ChIJj-k7BC5RMjAR-EZj8HD_0cI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,1.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJj-k7BC5RMjAR-EZj8HD_0cI
"XJC4+7JR, Jl. Damai, Tj. Alam, Kec. Air Batu, Kabupaten Asahan, Sumatera Utara 21211, Indonesia","{'location': {'lat': 2.970728, 'lng': 99.60652669999999}, 'viewport': {'northeast': {'lat': 2.972003779892722, 'lng': 99.60780182989271}, 'southwest': {'lat': 2.969304120107278, 'lng': 99.60510217010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Lau Silo,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102053698586027578408"">Haris Tirtana Karo-Karo</a>'], 'photo_reference': 'AUGGfZmgqK0h1TJuclTkRC6Nl3uFT3TmxwYFZYmqnducpDfG-25_8G3UmG0fLVKo0OxUDkTwBWBdN_J3PLWdLyE-_0EgAPUjjp96QztaNtYYD4WsFVEM9iWz_R4FfkSQnDkPOnSxhLw9T0tygxm9qidpGC4UhtZi7YDvBQ8QHR1GFhcC1ppv', 'width': 3264}]",ChIJwb64VzhJMjARM-2IMH62zHg,ChIJwb64VzhJMjARM-2IMH62zHg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.3,24.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJwb64VzhJMjARM-2IMH62zHg
"Sei Serindan, Sei Kepayang Barat, Asahan Regency, North Sumatra, Indonesia","{'location': {'lat': 2.9620362, 'lng': 99.82015559999999}, 'viewport': {'northeast': {'lat': 2.963657979892722, 'lng': 99.82149462989273}, 'southwest': {'lat': 2.960958320107277, 'lng': 99.81879497010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Pasir Putih Geseran Naga,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113004910645057770533"">Sari Juliana Ariska</a>'], 'photo_reference': 'AUGGfZkZKHfOOslLDuANNoONCfxZBe7NyrwHI1rTPfNeo-zVyyq1GaUyiis-RFOxLb53s5J3WoVC9CImXfUTTDomVsrdw6hG8lbeiFqdu3Quw52GuPUL0Z7oLcVieMTar41fvjFaKLZ00FEOd0UHs-dNRQbJdTUNY1uNHnvW_mvC2wCcQAjv', 'width': 4032}]",ChIJDU5ejUxXMjARJkr_2zgFcKs,ChIJDU5ejUxXMjARJkr_2zgFcKs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{},3.5,48.0,"{'compound_code': 'XR6C+R3 Sei Serindan, Asahan Regency, North Sumatra, Indonesia', 'global_code': '6MJXXR6C+R3'}",,,https://www.google.com/maps/place/?q=place_id:ChIJDU5ejUxXMjARJkr_2zgFcKs
"XR95+67V Pantai Amor, Indra Sakti, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara 21352, Indonesia","{'location': {'lat': 2.9681217, 'lng': 99.8081682}, 'viewport': {'northeast': {'lat': 2.969452679892722, 'lng': 99.80948022989274}, 'southwest': {'lat': 2.966753020107278, 'lng': 99.80678057010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Amor Tanjungbalai Beach,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104052844860275978708"">andika andec</a>'], 'photo_reference': 'AUGGfZnMRigPDmy3SPJAQgq_sDcU27xbNrRTMdOVwmJA-vF1FAIOcMEfEApMpZowO_A_ltitVgrExpTqmLxO-NYrAwa5znk9oRHQRbbrpT04-MxmsuuUiKGLrYKDUZZQL-0G7xK_f7YrgRnIOSYIROuessvBjOOtPWz0eYqvZ9bwv7NLsK8L', 'width': 1920}]",ChIJYxASzVVRMjARX3Cwfun-hYI,ChIJYxASzVVRMjARX3Cwfun-hYI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJYxASzVVRMjARX3Cwfun-hYI
"XQRW+WJ, Kapias Pulau Buaya, Teluk Nibung, Tanjung Balai City, North Sumatra 21352, Indonesia","{'location': {'lat': 2.992289, 'lng': 99.796595}, 'viewport': {'northeast': {'lat': 2.993637729892722, 'lng': 99.79794742989273}, 'southwest': {'lat': 2.990938070107278, 'lng': 99.79524777010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Rani,,ChIJ8_aKKXlTMjAROZpTt6u7-CA,ChIJ8_aKKXlTMjAROZpTt6u7-CA,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,,4.0,4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8_aKKXlTMjAROZpTt6u7-CA
"4Q5R+35J, Silo Baru, Silau Laut, Asahan Regency, North Sumatra, Indonesia","{'location': {'lat': 3.1077125, 'lng': 99.7903906}, 'viewport': {'northeast': {'lat': 3.109062329892722, 'lng': 99.79174042989271}, 'southwest': {'lat': 3.106362670107278, 'lng': 99.78904077010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Mangrove Desa Silo Baru,"[{'height': 6120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105116258676982354631"">wawan sulistiawan</a>'], 'photo_reference': 'AUGGfZnmLBFEWzlW94XJh70eis-Ub3jCsL78J9rxXZTkfCJUYiXNal3LnehQ3lxUUYEtFNn15Dt1CEdXQlgVm2VHUXiqV0UD9mwOC71-afGO67yF-EG6lny51K5toiWliGeomDJzuV_DDuRJP96BT3gzuzGSL0TGxtECZLlX1LSywe44m69U', 'width': 8160}]",ChIJ4SSHJFKtMzAR5fGVbo1E4oQ,ChIJ4SSHJFKtMzAR5fGVbo1E4oQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.4,57.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4SSHJFKtMzAR5fGVbo1E4oQ
"Jl. Sipirok No.5, Perwira, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara, Indonesia","{'location': {'lat': 2.9623993, 'lng': 99.80542589999999}, 'viewport': {'northeast': {'lat': 2.963837879892722, 'lng': 99.80696297989273}, 'southwest': {'lat': 2.961138220107277, 'lng': 99.80426332010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu lima,,ChIJd-XRXQBRMjARdwnxx1J4jd4,ChIJd-XRXQBRMjARdwnxx1J4jd4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,"{'compound_code': 'XR64+X5 Perwira, Tanjung Balai City, North Sumatra, Indonesia', 'global_code': '6MJXXR64+X5'}",,,https://www.google.com/maps/place/?q=place_id:ChIJd-XRXQBRMjARdwnxx1J4jd4
"XQ9X+6X3, Tanjung Balai Kota III, North Tanjungbalai, Tanjung Balai City, North Sumatra 21332, Indonesia","{'location': {'lat': 2.9678093, 'lng': 99.79964439999999}, 'viewport': {'northeast': {'lat': 2.969158879892722, 'lng': 99.80098432989273}, 'southwest': {'lat': 2.966459220107277, 'lng': 99.79828467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Fahreza rawo,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108926730443378274870"">A Google User</a>'], 'photo_reference': 'AUGGfZkdaASFfnTb0P3NV7SZuVksr6pqlMjdFIvYBt0FwXV0JPUOorbuayawe-Bh28uPjZrJ75BURuyjwj8Mgd3Q4IvH2LY-M5GMmUT9UVe0IJzcCmqCPu2jLa94CAdEEIkaYiVhUE7SJRweQZ6cf6kCBkPueBIIXvqDxHFqZDeS8wkhDxCS', 'width': 3120}]",ChIJl7VPw9tRMjARFZi4xbS8n4s,ChIJl7VPw9tRMjARFZi4xbS8n4s,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJl7VPw9tRMjARFZi4xbS8n4s
"XQVW+RXQ, Kapias Pulau Buaya, Teluk Nibung, Tanjung Balai City, North Sumatra 21352, Indonesia","{'location': {'lat': 2.995087, 'lng': 99.79759999999999}, 'viewport': {'northeast': {'lat': 2.996412829892722, 'lng': 99.79889602989272}, 'southwest': {'lat': 2.993713170107278, 'lng': 99.79619637010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wahyu Riski,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105930599469661441614"">tan allard</a>'], 'photo_reference': 'AUGGfZlisWTRi4B7WKY2BO7hYknVM8Zcuh9LP3OffPJTA-OLQ6tlMKc3oQC3LgeSk9siKjv0FI59W_PXguqOFHz7Lwv8Q_f0nkMigKJc3F0HShks7jy6Qzf2cc6Sov-wHWW6O7Qyj7IpzMLzn_Q7Lyd29uxm0DtTs9k-QTml3H5frq0QOvA', 'width': 810}]",ChIJV3CeDp5TMjAR0RGDhO1Kwgk,ChIJV3CeDp5TMjAR0RGDhO1Kwgk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{},0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJV3CeDp5TMjAR0RGDhO1Kwgk
"XQ9R+MFF, Sirantau, Datuk Bandar, Tanjung Balai City, North Sumatra 21333, Indonesia","{'location': {'lat': 2.9691757, 'lng': 99.7911834}, 'viewport': {'northeast': {'lat': 2.970525529892723, 'lng': 99.79253322989273}, 'southwest': {'lat': 2.967825870107278, 'lng': 99.78983357010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung balai sekitar,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113589250996189263228"">Endang Jaenudin</a>'], 'photo_reference': 'AUGGfZl4hyI7vrXr_rHBg6xtVtGGKoWUuOqg9JyustuPO61-DoB2-DuzfnLT-xAKyM8GDRT4c5X4D4Wzu8kGwUh10CBX0rsqScFs6kTc124BX2SVQxpmfUBqGKrZRVd4esyeFX-Zv9iRNAD5qoU9_dTnPNJXnm02c-Wk9lIDgndrG0tT8Ie6', 'width': 4160}]",ChIJ0zQyK1pRMjARbVZ1pPFtVCU,ChIJ0zQyK1pRMjARbVZ1pPFtVCU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0zQyK1pRMjARbVZ1pPFtVCU
