formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,price_level,permanently_closed,url
"XVHQ+5XV, Nagreg, Bandung Regency, West Java 40215, Indonesia","{'location': {'lat': -7.0220157, 'lng': 107.8899147}, 'viewport': {'northeast': {'lat': -7.020602720107278, 'lng': 107.8914661298927}, 'southwest': {'lat': -7.023302379892722, 'lng': 107.8887664701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LITTLE HILLS NAGREG,,ChIJ83FJAZPJaC4RY3W-9VnnTzs,ChIJ83FJAZPJaC4RY3W-9VnnTzs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ83FJAZPJaC4RY3W-9VnnTzs
"Jl. Raya Lingkar Nagreg No.991, Ciherang, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.037627899999999, 'lng': 107.9099666}, 'viewport': {'northeast': {'lat': -7.036294220107277, 'lng': 107.9113706798927}, 'southwest': {'lat': -7.038993879892721, 'lng': 107.9086710201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Cikaledong - Simpang Lingkar Nagreg,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100735421707828535179"">al hadhy</a>'], 'photo_reference': 'AUGGfZkdmUtjUoH_TOxjeRnNMD5hUr2JPlqpzdleJUfjWQCAxqs3TF7r8yCDNwpN1z1r8HkW9ImArI--bxLKEzo0zHjkpOdbpkM63VPJ5CcmdviafhHbWertqJ3tVT_dzLXPYFg1hoq9R8QrJtUYESYVAQRJN_e93kP-CZsY_DwnaJgMEzM', 'width': 2988}]",ChIJEUchHgHJaC4RbA1TDjwEjrw,ChIJEUchHgHJaC4RbA1TDjwEjrw,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XW65+WX Ciherang, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XW65+WX'}",4.2,598.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJEUchHgHJaC4RbA1TDjwEjrw
"2WH2+R24, Tanjungwangi, Cicalengka, Bandung Regency, West Java 40395, Indonesia","{'location': {'lat': -6.9704767, 'lng': 107.9000749}, 'viewport': {'northeast': {'lat': -6.969190120107277, 'lng': 107.9013412798927}, 'southwest': {'lat': -6.971889779892721, 'lng': 107.8986416201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Greenhouse Bamboo (CV. Budi Agro Perdana),"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107870553347462862502"">Agus Tomi</a>'], 'photo_reference': 'AUGGfZl8yFRfNVArSf1D8rbxXwXiqIEizVxzp3Dmzfl2PkNT0HgB2dr1dlTk-d3mtPQ_BfHEjfCWsZ-HLN28o8zvicuK7yTC6BznTG2kBqslerptYUAzHXoTevmhwa248JE0WIxBoHLIWFWGG5DY29X5dzlfDLn1WvyWOfmvwRIcLj8gIq1e', 'width': 1836}]",ChIJcS4sgxzPaC4RjSk8TZTwK_0,ChIJcS4sgxzPaC4RjSk8TZTwK_0,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.3,23.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJcS4sgxzPaC4RjSk8TZTwK_0
"Jl.Raya Nagreg KM 34, Nagrog, Kec. Cicalengka, Kabupaten Bandung, Jawa Barat 40395, Indonesia","{'location': {'lat': -7.007594399999999, 'lng': 107.8653306}, 'viewport': {'northeast': {'lat': -7.006056170107278, 'lng': 107.8667770298927}, 'southwest': {'lat': -7.008755829892722, 'lng': 107.8640773701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rest Area Kampoeng Nagreg,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107600579476230595085"">Agung Prastyo</a>'], 'photo_reference': 'AUGGfZkf9xgLFFRZqmsEqZ9v8oulqMS8Sus2xKyyl5_5B0FaRQBJ_c4YYAzTUVN--u4dEBPruE7iLZQsUcqQmuKxv8F1gjhF7USC0xYjLtfqOHzNQeI3MrguJEUDG1FCG8-QVMoP9p-PlEyNEabplxohn8SnivwpnTQwAdl5u8M0pGVOf88k', 'width': 4032}]",ChIJa7C6xa7IaC4RkUyW8PHEoIU,ChIJa7C6xa7IaC4RkUyW8PHEoIU,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XVR8+X4 Nagrog, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XVR8+X4'}",4.2,3003.0,{'open_now': True},2.0,,https://www.google.com/maps/place/?q=place_id:ChIJa7C6xa7IaC4RkUyW8PHEoIU
"kp Nenggeng, Citaman, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0056777, 'lng': 107.8891208}, 'viewport': {'northeast': {'lat': -7.004327870107276, 'lng': 107.8904706298927}, 'southwest': {'lat': -7.00702752989272, 'lng': 107.8877709701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Nagreg,"[{'height': 2620, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108519877854344370172"">ari jamaludin</a>'], 'photo_reference': 'AUGGfZkAJ-2uHU3IzX85Svjv-oombqZfkjXGFrvdg_nN-vhRVHk3-YVCMG0Hilk_LDmc1aKHvGDx6O12Q9OaElQJccp8b-hoXeLyid0GDhKwBwH1lSIPGPCFy455shn_cd1eQg6dF3vuRivaIay3D_zhts77skhYACFC7Vgilp0Uw3nXoBJI', 'width': 4656}]",ChIJT9_z9_rJaC4Rb1V9K-MkNQQ,ChIJT9_z9_rJaC4Rb1V9K-MkNQQ,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XVVQ+PJ Citaman, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XVVQ+PJ'}",4.4,225.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJT9_z9_rJaC4Rb1V9K-MkNQQ
"XVHG+3M4, Kp. Mekarbakti, RT.01/RW.12, desa ganjarsabar, Kec. Nagreg, Kabupaten Bandung, Indonesia","{'location': {'lat': -7.0223548, 'lng': 107.8767109}, 'viewport': {'northeast': {'lat': -7.021031120107278, 'lng': 107.8780429798927}, 'southwest': {'lat': -7.023730779892722, 'lng': 107.8753433201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang RW Azis,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110666462485880297341"">A Google User</a>'], 'photo_reference': 'AUGGfZnc-XFZZEnWZ7cU0uevXdEmJF-Mkv-H5PbqfyT-Bi6iTdklDWKTAkLEbJneIymXWDafxiabfOfOS7EGVLHREoboOO4KLfGRT3q-GGGISID1Mts1uZHGvgpx5hh9cSnGbWIzcggpBlJQe3pqbl3KB15xH_zcLodb4Uut8Nap-MPRthQt', 'width': 960}]",ChIJg7ddO7TJaC4RR45_q2iO1ug,ChIJg7ddO7TJaC4RR45_q2iO1ug,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.5,4.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJg7ddO7TJaC4RR45_q2iO1ug
"WRWM+PX, Mekarlaksana, Cikancung, Bandung Regency, West Java 40396, Indonesia","{'location': {'lat': -7.0531301, 'lng': 107.8349613}, 'viewport': {'northeast': {'lat': -7.052223870107278, 'lng': 107.8361909298927}, 'southwest': {'lat': -7.054923529892722, 'lng': 107.8334912701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Padaringan Highland,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101079848534182884995"">A Google User</a>'], 'photo_reference': 'AUGGfZlrxGhZNBtj4JuOX2gaQc2EMMqPvIMHwhSH_WI0RPHKP5R28eDFO2eumfACMODsBIbrQYSwJijeCTPMqq8wV7aYK3VS-6URdTCIQpx9vDp1rrOGLC30soOjwWXx0tVjN7DJwvsWajYJTvcUHhAnmK7KncsdJP8PPz5AtqjN0KfLZ4L9', 'width': 4000}]",ChIJlU6jHI3HaC4RgmURX1jhH_A,ChIJlU6jHI3HaC4RgmURX1jhH_A,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,10.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJlU6jHI3HaC4RgmURX1jhH_A
"XV8V+WJ7, Jl. Raya Lingkar Nagreg, Ciherang, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0327189, 'lng': 107.8940425}, 'viewport': {'northeast': {'lat': -7.031380970107278, 'lng': 107.8953630798927}, 'southwest': {'lat': -7.034080629892721, 'lng': 107.8926634201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Foto Jambatan Citiis Nagreg.,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101879994147458829107"">ahmad nurbaeni</a>'], 'photo_reference': 'AUGGfZmBqgpv0XXN_tHK99WWS0BOPrwpcwKL_JDNPT8UYKRzrrOs6pvLaSMV_O1dDZKjwz0N0hWw7jMu70z4Yra7QLSxarWBGxJ8spXxQ2jVQ7gSgcwsxJl2rHekcB0BJ3RcwbDpC8QA2Gg30gsO_K9yC1vlQ3r4T7xaTCZ22_AY-TVpkBhm', 'width': 4128}]",ChIJOU5Qt4vJaC4R389egiefELE,ChIJOU5Qt4vJaC4R389egiefELE,"['point_of_interest', 'establishment']",OPERATIONAL,,5.0,2.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJOU5Qt4vJaC4R389egiefELE
"desa ganjarsabar, Kp Tugaran, Citaman, Kec. Nagreg, Kabupaten Bandung, Jawa Barat 40215, Indonesia","{'location': {'lat': -7.0105133, 'lng': 107.8684899}, 'viewport': {'northeast': {'lat': -7.009193820107278, 'lng': 107.8698116798927}, 'southwest': {'lat': -7.011893479892722, 'lng': 107.8671120201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah bidang,,ChIJLcxcHPHJaC4RcaFrgfU_q_c,ChIJLcxcHPHJaC4RcaFrgfU_q_c,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJLcxcHPHJaC4RcaFrgfU_q_c
"XRJR+QXW, Kp. Garogol, RW.06, Margaasih, Cicalengka, Bandung Regency, West Java 40395, Indonesia","{'location': {'lat': -7.0180225, 'lng': 107.8424624}, 'viewport': {'northeast': {'lat': -7.016646470107278, 'lng': 107.8438073798927}, 'southwest': {'lat': -7.019346129892722, 'lng': 107.8411077201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Pot Pampers,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107181597337169586611"">A Google User</a>'], 'photo_reference': 'AUGGfZnJrGVW0Pd11OB6lfZxAM1PKAkuTm4YoW-L2rKmXkI8S8slDNqtKggbV8bksH9PysOEJ2CoD0rPQppbI7aRg3zPiAELMqdXe9iyPV4hl9EUnQIhA2KaY_rfEcK1Kkb_GP1C1rzF_AWUkCy7_71jW0w-qmChSBhtfKdDGxlYn3IcBe2G', 'width': 4032}]",ChIJQZYDsvjHaC4R3dNyOTxPRYs,ChIJQZYDsvjHaC4R3dNyOTxPRYs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJQZYDsvjHaC4R3dNyOTxPRYs
"XVWP+FR4, Citaman, Nagreg, Bandung Regency, West Java 40215, Indonesia","{'location': {'lat': -7.0038741, 'lng': 107.8870734}, 'viewport': {'northeast': {'lat': -7.002675470107278, 'lng': 107.8883480798927}, 'southwest': {'lat': -7.005375129892722, 'lng': 107.8856484201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah Milik DS,,ChIJTSbvbvTJaC4RA8fNxR8l9Nc,ChIJTSbvbvTJaC4RA8fNxR8l9Nc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJTSbvbvTJaC4RA8fNxR8l9Nc
"Citaman, Nagreg, Bandung Regency, West Java 40215, Indonesia","{'location': {'lat': -7.0202899, 'lng': 107.88065}, 'viewport': {'northeast': {'lat': -7.018852970107279, 'lng': 107.8818513798927}, 'southwest': {'lat': -7.021552629892723, 'lng': 107.8791517201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Situ Pak Usman,,ChIJVSQpPADJaC4RBKLISbhi2QU,ChIJVSQpPADJaC4RBKLISbhi2QU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'XVHJ+V7 Citaman, Bandung Regency, West Java, Indonesia', 'global_code': '6P49XVHJ+V7'}",0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJVSQpPADJaC4RBKLISbhi2QU
